items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash & Equivalents,"9,799","7,675","8,937","9,594",ABT
Short Term Investments,450,483,353,313,ABT
Cash and Short Term Invs,"10,249","8,158","9,290","9,907",ABT
"Trade Accts Recvble, Gross","7,006","7,819","7,771","6,928",ABT
Prov. for Doubtful Accts,(519),(640),(572),(520),ABT
"Total Receivables, Net","6,487","7,179","7,199","6,408",ABT
Invent. - Finished Goods,"3,081","3,470","3,570","3,407",ABT
Invent. - Work In Progress,694,695,710,726,ABT
Invent. - Raw Materials,"1,382","1,526","1,619","1,601",ABT
Total Inventory,"5,157","5,691","5,899","5,734",ABT
Prepaid Expenses,"2,346","2,401","2,568","2,796",ABT
Total Current Assets,"24,239","23,429","24,956","24,845",ABT
Prop./Plant/Equip. - Gross,"19,364","19,521","19,458","19,306",ABT
Accumulated Depreciation,"(10,405)","(10,613)","(10,640)","(10,617)",ABT
Prop./Plant/Equip. - Net,"8,959","8,908","8,818","8,689",ABT
"Goodwill, Net","23,231","23,179","22,744","22,284",ABT
Intangibles - Gross,"28,639","28,625","28,192","27,750",ABT
Accum. Intangible Amort.,"(15,900)","(16,400)","(16,600)","(16,900)",ABT
Intangibles - Net,"12,739","12,225","11,592","10,850",ABT
LT Invt. - Affiliate Comp.,748,703,620,604,ABT
LT Investments - Other,68,60,114,160,ABT
Long Term Investments,816,763,734,764,ABT
Def. Inc. Tax - LT Asset,"5,212","5,503","5,358","5,369",ABT
Total Assets,"75,196","74,007","74,202","72,801",ABT
Accounts Payable,"4,408","4,757","4,493","4,133",ABT
Accrued Expenses,"6,806","6,724","6,715","6,901",ABT
Notes Payable/ST Debt,0,0,0,0,ABT
Curr. Port. LT Dbt/Cap Ls.,754,4,5,"1,117",ABT
Dividends Payable,831,824,824,820,ABT
Income Taxes Payable,306,338,355,394,ABT
"Other Curr. Lblts, Total","1,137","1,162","1,179","1,214",ABT
Total Current Liabilities,"13,105","12,647","12,392","13,365",ABT
Total Long Term Debt,"17,296","17,086","16,755","15,297",ABT
Total Debt,"18,050","17,090","16,760","16,414",ABT
Minority Interest,222,230,226,209,ABT
"Other Liabilities, Total","8,771","8,645","8,339","8,255",ABT
Total Liabilities,"39,394","38,608","37,712","37,126",ABT
Common Stock,"24,470","24,304","24,429","24,560",ABT
Ret. Earn.(Accum. Deficit),"31,528","33,295","34,487","35,115",ABT
Treasury Stock - Common,"(11,822)","(13,726)","(13,720)","(14,555)",ABT
Cum. Trans. Adjustment,"(5,839)","(5,945)","(6,260)","(7,268)",ABT
Min. Pension Lblty Adj.,"(2,670)","(2,608)","(2,554)","(2,498)",ABT
Other Comprehensive Income,135,79,108,321,ABT
"Other Equity, Total","(8,374)","(8,474)","(8,706)","(9,445)",ABT
Total Equity,"35,802","35,399","36,490","35,675",ABT
Total Liabilities & Shareholders’ Equity,"75,196","74,007","74,202","72,801",ABT
Ttl Comm. Shares Outs.,"1,764","1,751","1,751","1,744",ABT
Trsy. Shrs-Comm. Primary Iss.,221,235,234,242,ABT
