items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Total Revenue,"3,655","1,000",988,"1,112",ADS
"Cost of Revenue, Total",323,82,84,82,ADS
Selling/Gen/Admin Expense,160,31,50,44,ADS
Labor & Related Expense,671,179,191,202,ADS
"Sell/Gen/AdminExpenses,Tot",831,210,241,246,ADS
Depreciation/Amortization,92,21,30,29,ADS
"Inter Expense,Net Operatng",383,79,95,133,ADS
Other Operating Expense,438,113,118,129,ADS
"Other, Net",544,193,404,304,ADS
"Other Operat Expse, Total",982,306,522,433,ADS
Total Operating Expense,"2,611",698,972,923,ADS
Total Operating Income,"1,044",302,16,189,ADS
Income Before Tax,"1,044",302,16,189,ADS
Income Tax - Total,255,91,4,55,ADS
Income After Tax,789,211,12,134,ADS
Net Inc Before Extra Items,789,211,12,134,ADS
Discontinued Operations,38,(1),0,0,ADS
Extraordinary Item,8,--,--,--,ADS
Tax on Extraordinary Items,(34),--,--,--,ADS
Total Extraordinary Items,12,(1),0,0,ADS
Total Net Income,801,210,12,134,ADS
Income Available to Common Excl. Extra. Items,789,211,12,134,ADS
Income Available to Common Incl. Extra. Items,801,210,12,134,ADS
Basic/Primary Weighted Average Shares,50,50,50,50,ADS
Basic/Primary EPS Excl. Extra. Items,15.88,4.23,0.24,2.69,ADS
Basic/Primary EPS Incl. Extra. Items,16.12,4.21,0.24,2.69,ADS
Diluted Weighted Average Shares,50,50,50,50,ADS
Diluted EPS Excl. Extra. Items,15.78,4.22,0.24,2.69,ADS
Diluted EPS Incl. Extra. Items,16.02,4.20,0.24,2.69,ADS
Div/Share-ComStockPrimIssue,0.84,0.21,0.21,0.21,ADS
Gross Divid - Common Stock,42,10,12,10,ADS
Pro Forma Net Income,--,--,--,--,ADS
"Interest Expense, Suppl",383,79,95,133,ADS
"Depreciat/Amort, Suppl",63,21,30,29,ADS
Normalzd Income Before Tax,"1,044",302,16,189,ADS
IncTxsExcl ImpctofSpec Itms,255,91,4,55,ADS
Normalized Income After Tax,789,211,12,134,ADS
Normalzd Inc Avail to Common,789,211,12,134,ADS
Basic Normalized EPS,15.88,4.23,0.24,2.69,ADS
Diluted Normalized EPS,15.78,4.22,0.24,2.69,ADS
