items,2017,2018,2019,2020,2021,ticker
Net Income,2,67,(355),(123),332,AM
Depreciation/Depletion,--,--,96,109,109,AM
Amortization,--,--,57,71,71,AM
Deferred Taxes,0,(1),(102),0,117,AM
Unusual Items,--,--,762,677,30,AM
Equity in Net Earnings/Loss,(70),(143),13,12,29,AM
Other Non-Cash Items,88,158,128,7,18,AM
Non-Cash Items,19,16,903,696,77,AM
"Cash Taxes Pd, Supplemental",--,--,16,39,(16),AM
"Cash Interest Pd, Suppl",--,--,83,141,180,AM
Accounts Receivable,0,0,43,11,10,AM
Prepaid Expenses,--,0,0,--,1,AM
Other Assets,--,--,--,0,--,AM
Accounts Payable,--,1,(12),2,1,AM
Accrued Expenses,0,--,9,(13),(7),AM
Payable/Accrued,--,0,--,--,--,AM
Changes in Working Capital,7,3,23,0,4,AM
Total Cash from Operations,28,84,622,753,710,AM
Capital Expenditures,--,--,(393),(197),(233),AM
Sale of Business,--,--,620,--,0,AM
Sale of Fixed Assets,--,--,--,3,2,AM
Purchase of Investments,--,--,(154),(25),(2),AM
Other Investing Cash Flow,--,--,(598),--,0,AM
"OtherInvestCashFlowItms,Tot",--,--,(133),(23),0,AM
Total Cash from Investing,--,--,(526),(219),(233),AM
Financing Cash Flow Items,0,0,(11),(124),(22),AM
Cash Divids Paid - Common,(32),(86),(496),(590),(471),AM
Cash Divs Paid - Preferred,--,--,0,(1),(1),AM
Total Cash Dividends Paid,(32),(86),(496),(590),(472),AM
"Iss (Retirmnt) of Stock,Net",--,--,(126),(25),0,AM
"Short Term Debt, Net",--,--,(116),--,(66),AM
Long Term Debt Issued,--,--,650,550,750,AM
Long Term Debt Reduction,--,--,--,--,(667),AM
"Long Term Debt, Net",--,--,650,204,83,AM
"Iss (Retirmnt) of Debt, Net",--,--,535,204,16,AM
Total Cash From Financing,(32),(87),(98),(535),(477),AM
Net Change in Cash,(4),(3),(2),(1),(1),AM
NetCash-BeginBal/RsvdforFutUse,10,6,3,1,1,AM
NetCash-EndBal/RsrvforFutUse,6,3,1,1,0,AM
"Depreciation, Supplemental",--,--,96,109,109,AM
