items,Q1 2022,Q2 2022,Q3 2022,Q4 2022,ticker
Cash and Short Term Invs,"10,219","9,005","9,977","12,416",AVGO
"Total Receivables, Net","2,539","3,083","2,708","2,958",AVGO
Invent. - Finished Goods,526,590,641,780,AVGO
Invent. - Work In Progress,779,851,994,966,AVGO
Invent. - Raw Materials,215,227,203,179,AVGO
Total Inventory,"1,520","1,668","1,838","1,925",AVGO
Prepaid Expenses,579,689,728,864,AVGO
"Other Curr. Assets, Total",484,365,310,341,AVGO
Total Current Assets,"15,341","14,810","15,561","18,504",AVGO
Prop./Plant/Equip. - Net,"2,303","2,262","2,250","2,223",AVGO
"Goodwill, Net","43,450","43,603","43,608","43,614",AVGO
Intangibles - Gross,"34,119","32,339","32,339","27,903",AVGO
Accum. Intangible Amort.,"(23,875)","(23,098)","(24,165)","(20,792)",AVGO
Intangibles - Net,"10,244","9,241","8,174","7,111",AVGO
Other Long Term Assets,"1,886","1,803","1,733","1,797",AVGO
Total Assets,"73,224","71,719","71,326","73,249",AVGO
Accounts Payable,"1,078","1,069",712,998,AVGO
Accrued Expenses,948,751,"1,079","1,595",AVGO
Notes Payable/ST Debt,0,0,0,0,AVGO
Curr. Port. LT Dbt/Cap Ls.,300,302,304,440,AVGO
Customer Advances,"3,027","3,600","3,297","2,931",AVGO
Income Taxes Payable,556,477,471,680,AVGO
Other Current Liabilities,378,711,839,408,AVGO
"Other Curr. Lblts, Total","3,961","4,788","4,607","4,019",AVGO
Total Current Liabilities,"6,287","6,910","6,702","7,052",AVGO
Long Term Debt,"39,198","39,162","39,192","39,053",AVGO
Capital Lease Obligations,33,29,26,22,AVGO
Total Long Term Debt,"39,231","39,191","39,218","39,075",AVGO
Total Debt,"39,531","39,493","39,522","39,515",AVGO
"Other Liabilities, Total","4,738","4,655","4,530","4,413",AVGO
Total Liabilities,"50,256","50,756","50,450","50,540",AVGO
Redeemable Preferred Stock,"3,737","3,737","3,737",0,AVGO
"Pref. Stock-Non Rdmbl, Net","(3,737)","(3,737)","(3,737)",--,AVGO
Common Stock,0,0,0,0,AVGO
Additional Paid-In Capital,"23,083","21,078","20,990","21,159",AVGO
Ret. Earn.(Accum. Deficit),0,0,0,"1,604",AVGO
Other Equity,0,0,0,0,AVGO
Other Comprehensive Income,(115),(115),(114),(54),AVGO
"Other Equity, Total",(115),(115),(114),(54),AVGO
Total Equity,"22,968","20,963","20,876","22,709",AVGO
Total Liabilities & Shareholders’ Equity,"73,224","71,719","71,326","73,249",AVGO
Ttl Comm. Shares Outs.,410,406,405,418,AVGO
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,AVGO
Trsry Shrs-Pref. Iss. 1,0,0,0,0,AVGO
