items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Interest & Fees on Loans,253,260,370,581,BK
Inter & Divs/ Invest Securs,435,444,519,692,BK
Fed. Fund/Resale,31,37,116,321,BK
Interest on Deposits,(4),16,132,355,BK
Trading Account Interest,14,21,22,35,BK
"Interest Income, Bank",729,778,"1,159","1,984",BK
Interest on Deposit,(43),(25),176,786,BK
Inter on Other Borrowings,95,105,159,272,BK
Total Interest Expense,52,80,335,"1,058",BK
Net Interest Income,677,698,824,926,BK
Loan Loss Provision,(17),2,47,(30),BK
NetInterIn after Loan Loss Provision,694,696,777,956,BK
Fees & Commish from Operat,"2,104","2,038","2,250","2,200",BK
Commish & Fees/Secur Act,896,883,833,800,BK
Dealer Trading Acct Profit,(6),5,45,65,BK
Invest Securities Gains,68,57,54,3,BK
Foreign Currency Gains,199,207,222,203,BK
Other Unusual Income,0,--,0,37,BK
Other Revenue,77,38,26,45,BK
"Non-Interest Income, Bank","3,338","3,228","3,430","3,353",BK
Labor & Related Expenses,"(1,633)","(1,702)","(1,623)","(1,673)",BK
Amortization of Intangibles,(19),(17),(17),(17),BK
Other Unusual Expense,--,--,--,(680),BK
Other Expense,"(1,315)","(1,287)","(1,472)","(1,309)",BK
"Non-Interest Expense, Bank","(2,967)","(3,006)","(3,112)","(3,679)",BK
Income Before Tax,"1,065",918,"1,095",630,BK
Income Tax - Total,196,153,231,242,BK
Income After Tax,869,765,864,388,BK
Minority Interest,(6),8,5,0,BK
Net Inc Before Extra Items,863,773,869,388,BK
Total Net Income,863,773,869,388,BK
Preferred Dividends,(41),(74),(34),(69),BK
Misc Earnings Adjustment,0,0,--,--,BK
Total Adjust to Net Income,(41),(74),(34),(69),BK
Income Available to Common Excl. Extra. Items,822,699,835,319,BK
Income Available to Common Incl. Extra. Items,822,699,835,319,BK
Basic/Primary Weighted Average Shares,811,809,811,811,BK
Basic/Primary EPS Excl. Extra. Items,1.01,0.86,1.03,0.39,BK
Basic/Primary EPS Incl. Extra. Items,1.01,0.86,1.03,0.39,BK
Diluted Weighted Average Shares,817,814,814,815,BK
Diluted EPS Excl. Extra. Items,1.01,0.86,1.03,0.39,BK
Diluted EPS Incl. Extra. Items,1.01,0.86,1.03,0.39,BK
Div/Share-ComStockPrimIssue,0.34,0.34,0.34,0.37,BK
Gross Divid - Common Stock,280,278,279,303,BK
Pro Forma Net Income,--,--,--,--,BK
"Depreciat/Amort, Suppl",442,420,405,379,BK
Total Special Items,0,--,0,643,BK
Normalzd Income Before Tax,"1,065",918,"1,095","1,273",BK
Efct/SpecItemsIncTxs (STEC),0,--,0,247,BK
IncTxsExcl ImpctofSpec Itms,196,153,231,489,BK
Normalized Income After Tax,869,765,864,784,BK
Normalzd Inc Avail to Common,822,699,835,715,BK
Basic Normalized EPS,1.01,0.86,1.03,0.88,BK
Diluted Normalized EPS,1.01,0.86,1.03,0.88,BK
