items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash and Short Term Invs,"9,323","7,262","6,481","6,797",BLK
"Total Receivables, Net","3,789","3,801","3,471","3,361",BLK
Total Current Assets,--,--,--,--,BLK
Prop./Plant/Equip. - Gross,"2,018","2,160","2,244","2,358",BLK
Accumulated Depreciation,"(1,256)","(1,309)","(1,344)","(1,393)",BLK
Prop./Plant/Equip. - Net,"2,383","2,434","2,443","2,456",BLK
"Goodwill, Net","15,351","15,349","15,346","15,344",BLK
Intangibles - Gross,"18,852","18,825","18,824","18,824",BLK
Accum. Intangible Amort.,(399),(410),(447),(485),BLK
Intangibles - Net,"18,453","18,415","18,377","18,339",BLK
LT Invt. - Affiliate Comp.,--,"1,797","1,782","1,801",BLK
LT Investments - Other,"7,262","5,818","5,520","5,106",BLK
Long Term Investments,"7,262","7,615","7,302","6,907",BLK
Restricted Cash - LT,17,17,17,17,BLK
Other Assets,"96,070","88,434","72,529","62,209",BLK
"Other Assets, Total","96,070","88,434","72,529","62,209",BLK
Total Assets,"152,648","143,327","125,966","115,430",BLK
Payable/Accrued,"1,397","1,451","1,324","1,601",BLK
Accrued Expenses,"4,823","2,946","3,223","3,520",BLK
Notes Payable/ST Debt,0,0,0,0,BLK
Total Current Liabilities,--,--,--,--,BLK
Total Long Term Debt,"7,446","7,430","6,635","6,591",BLK
Total Debt,"7,446","7,430","6,635","6,591",BLK
Deferred Income Tax,"2,758","2,857","2,801","2,695",BLK
Minority Interest,"1,200","1,370","1,216",955,BLK
"Other Liabilities, Total","97,331","89,784","73,678","62,906",BLK
Total Liabilities,"114,955","105,838","88,877","78,268",BLK
Common Stock,2,2,2,2,BLK
Additional Paid-In Capital,"19,640","19,302","19,469","19,609",BLK
Ret. Earn.(Accum. Deficit),"27,688","28,338","28,678","29,348",BLK
Treasury Stock - Common,"(9,087)","(9,478)","(9,969)","(10,325)",BLK
"Other Equity, Total",(550),(675),"(1,091)","(1,472)",BLK
Total Equity,"37,693","37,489","37,089","37,162",BLK
Total Liabilities & Shareholders’ Equity,"152,648","143,327","125,966","115,430",BLK
Ttl Comm. Shares Outs.,152,152,151,150,BLK
Trsy. Shrs-Comm. Primary Iss.,20,20,21,22,BLK
Shrs Out-Pref Primary Iss.,0,--,--,--,BLK
Shrs Out-Pref Stk Iss. 3,0,--,--,--,BLK
Shrs Out-Pref Stk Iss. 4,0,--,--,--,BLK
Trsry Shrs-Pref. Iss. 1,0,--,--,--,BLK
Trsry Shrs-Pref. Iss. 3,0,--,--,--,BLK
Trsry Shrs-Pref. Iss. 4,0,--,--,--,BLK
