items,2017,2018,2019,2020,2021,ticker
Cash & Equivalents,657,784,767,900,"1,139",CINF
Prop./Plant/Equip. - Gross,438,460,483,498,508,CINF
Accumulated Depreciation,(253),(265),(276),(285),(303),CINF
Prop./Plant/Equip. - Net,185,195,207,213,205,CINF
LT Invt. - Affiliate Comp.,35,60,71,128,227,CINF
LT Investments - Other,"17,016","16,672","19,675","21,414","24,439",CINF
Long Term Investments,"17,051","16,732","19,746","21,542","24,666",CINF
Insurance Receivables,"1,589","1,644","1,777","1,879","2,053",CINF
Note Rcvble - Long Term,195,203,210,231,242,CINF
Def. Policy Acq. Costs,670,738,774,805,905,CINF
Reinsurance - Asset,432,484,610,517,570,CINF
Separate Accounts - Assets,806,803,882,952,959,CINF
Other Assets,258,352,435,503,648,CINF
"Other Assets, Total","1,496","1,639","1,927","1,972","2,177",CINF
Total Assets,"21,843","21,935","25,408","27,542","31,387",CINF
Insurance Reserves,"8,002","8,486","8,982","9,661","10,319",CINF
Unearned Prem. Or Rev.,"2,404","2,516","2,788","2,960","3,271",CINF
Sep. Accounts - Liability,806,803,882,952,959,CINF
Policy Liabilities,"11,212","11,805","12,652","13,573","14,549",CINF
Notes Payable/ST Debt,24,32,39,54,54,CINF
Long Term Debt,787,788,788,788,789,CINF
Capital Lease Obligations,40,46,58,57,54,CINF
Total Long Term Debt,827,834,846,845,843,CINF
Total Debt,851,866,885,899,897,CINF
Deferred Income Tax,745,627,"1,079","1,299","1,744",CINF
"Other Liabilities, Total",792,804,928,982,"1,092",CINF
Total Liabilities,"13,600","14,102","15,544","16,753","18,282",CINF
Common Stock,397,397,397,397,397,CINF
Additional Paid-In Capital,"1,265","1,281","1,306","1,328","1,356",CINF
Ret. Earn.(Accum. Deficit),"5,180","7,625","9,257","10,085","12,625",CINF
Treasury Stock - Common,"(1,387)","(1,492)","(1,544)","(1,790)","(1,921)",CINF
Unrealized Gain (Loss),"2,807",37,467,811,627,CINF
Min. Pension Lblty Adj.,(11),(14),(9),(34),20,CINF
Other Comprehensive Income,(8),(1),(10),(8),1,CINF
"Other Equity, Total",(19),(15),(19),(42),21,CINF
Total Equity,"8,243","7,833","9,864","10,789","13,105",CINF
Total Liabilities & Shareholders’ Equity,"21,843","21,935","25,408","27,542","31,387",CINF
Ttl Comm. Shares Outs.,164,163,163,161,160,CINF
Trsy. Shrs-Comm. Primary Iss.,34,36,35,37,38,CINF
