items,2017,2018,2019,2020,2021,ticker
Net Income,"2,174","2,558","2,527","2,860","2,338",CL
Depreciation/Depletion,475,511,519,539,556,CL
Deferred Taxes,108,27,17,(120),(132),CL
Extraordinary Item,275,80,0,0,--,CL
Unusual Items,91,(7),18,(48),625,CL
Other Non-Cash Items,46,42,(13),107,135,CL
Non-Cash Items,412,115,5,59,760,CL
"Cash Taxes Pd, Supplemental","1,037",847,803,845,890,CL
"Cash Interest Pd, Suppl",150,194,185,188,194,CL
Accounts Receivable,(15),(79),19,138,(84),CL
Inventories,(8),(58),(77),(251),(72),CL
Payable/Accrued,(96),18,36,520,14,CL
Changes in Working Capital,(115),(155),65,381,(197),CL
Total Cash from Operations,"3,054","3,056","3,133","3,719","3,325",CL
Capital Expenditures,(553),(436),(335),(410),(567),CL
Acquisition of Business,0,(728),"(1,711)",(353),0,CL
Sale of Fixed Assets,44,1,1,--,--,CL
Sale/Maturity of Investment,391,156,131,124,141,CL
Purchase of Investments,(347),(169),(184),(143),(141),CL
Other Investing Cash Flow,(6),6,(1),3,(25),CL
"OtherInvestCashFlowItms,Tot",82,(734),"(1,764)",(369),(25),CL
Total Cash from Investing,(471),"(1,170)","(2,099)",(779),(592),CL
Financing Cash Flow Items,--,--,--,(99),(24),CL
Total Cash Dividends Paid,"(1,529)","(1,591)","(1,614)","(1,654)","(1,679)",CL
"Common Stock, Net","(1,399)","(1,238)","(1,202)","(1,476)","(1,320)",CL
Options Exercised,507,329,498,874,424,CL
"Iss (Retirmnt) of Stock,Net",(892),(909),(704),(602),(896),CL
"Short Term Debt, Net",--,--,--,497,(171),CL
Long Term Debt Issued,--,--,--,--,699,CL
Long Term Debt Reduction,"(4,808)","(7,355)","(6,611)","(1,061)",(703),CL
"Long Term Debt, Net",(29),(179),"1,448","(1,061)",(4),CL
"Iss (Retirmnt) of Debt, Net",(29),(179),"1,448",(564),(175),CL
Total Cash From Financing,"(2,450)","(2,679)",(870),"(2,919)","(2,774)",CL
Foreign Exchange Effects,87,(16),(7),(16),(15),CL
Net Change in Cash,220,(809),157,5,(56),CL
NetCash-BeginBal/RsvdforFutUse,"1,315","1,535",726,883,888,CL
NetCash-EndBal/RsrvforFutUse,"1,535",726,883,888,832,CL
"Depreciation, Supplemental",475,511,519,539,556,CL
