items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Total Revenue,"1,961","2,021","2,213","2,220",CMG
"Cost of Revenue, Total","1,457","1,490","1,541","1,542",CMG
"Sell/Gen/AdminExpenses,Tot",274,265,260,264,CMG
Depreciation/Amortization,66,72,70,71,CMG
Unusual Expense (Income),5,4,5,6,CMG
Loss(Gain)/Sale Asts (Oper),3,4,4,6,CMG
Total Operating Expense,"1,802","1,830","1,876","1,884",CMG
Total Operating Income,158,190,338,336,CMG
"Inter/Invest Inc, Non-Oper",9,0,11,4,CMG
Income Before Tax,168,190,348,340,CMG
Income Tax - Total,34,32,88,83,CMG
Income After Tax,133,158,260,257,CMG
Net Inc Before Extra Items,133,158,260,257,CMG
Total Net Income,133,158,260,257,CMG
Income Available to Common Excl. Extra. Items,133,158,260,257,CMG
Income Available to Common Incl. Extra. Items,133,158,260,257,CMG
Basic/Primary Weighted Average Shares,28,28,28,28,CMG
Basic/Primary EPS Excl. Extra. Items,4.75,5.64,9.32,9.26,CMG
Basic/Primary EPS Incl. Extra. Items,4.75,5.64,9.32,9.26,CMG
Diluted Weighted Average Shares,28,28,28,28,CMG
Diluted EPS Excl. Extra. Items,4.69,5.59,9.25,9.20,CMG
Diluted EPS Incl. Extra. Items,4.69,5.59,9.25,9.20,CMG
Div/Share-ComStockPrimIssue,--,0.00,0.00,0.00,CMG
Pro Forma Net Income,--,--,--,--,CMG
"Depreciat/Amort, Suppl",66,72,70,71,CMG
Total Special Items,5,4,5,6,CMG
Normalzd Income Before Tax,172,194,353,346,CMG
Efct/SpecItemsIncTxs (STEC),1,1,1,2,CMG
IncTxsExcl ImpctofSpec Itms,35,32,89,84,CMG
Normalized Income After Tax,137,162,263,262,CMG
Normalzd Inc Avail to Common,137,162,263,262,CMG
Basic Normalized EPS,4.88,5.77,9.44,9.43,CMG
Diluted Normalized EPS,4.82,5.72,9.38,9.37,CMG
