items,2017,2018,2019,2020,2021,ticker
Cash & Due from Banks,"13,306","13,299","6,924","13,564","8,750",DFS
Other Short Trm Invest.,--,--,--,"2,200",0,DFS
Securities Held,173,233,272,260,204,DFS
Securities for Sale,"1,395","3,133","10,173","9,277","6,549",DFS
Total Invest. Securities,"1,568","3,370","10,595","9,914","6,904",DFS
"Other Erng. Assets, Total","1,568","3,370","10,595","12,114","6,904",DFS
Total Gross Loans,"84,248","90,512","95,894","90,449","93,684",DFS
Loan Loss Allowances,"(2,621)","(3,041)","(3,383)","(8,226)","(6,822)",DFS
Net Loans,"81,627","87,471","92,511","82,223","86,862",DFS
Buildings,641,671,693,673,676,DFS
Land/Improvements,42,42,42,38,38,DFS
Machinery/Equipment,2,--,--,--,--,DFS
Other Prop./Plant/Equip.,"1,474","1,685","1,982","2,026","2,118",DFS
Prop./Plant/Equip. - Gross,"2,159","2,398","2,717","2,737","2,832",DFS
Accumulated Depreciation,"(1,334)","(1,462)","(1,611)","(1,710)","(1,849)",DFS
Prop./Plant/Equip. - Net,825,936,"1,106","1,027",983,DFS
"Goodwill, Net",255,255,255,255,255,DFS
Intangibles - Gross,229,232,228,169,--,DFS
Accum. Intangible Amort.,(66),(71),(73),(74),--,DFS
Intangibles - Net,163,161,155,95,0,DFS
Long Term Investments,297,295,336,353,388,DFS
Def. Inc. Tax - LT Asset,--,--,551,"1,775","1,494",DFS
Other Assets,"2,046","3,766","1,563","1,483","4,606",DFS
"Other Assets, Total","2,046","3,766","1,563","1,483","4,606",DFS
Total Assets,"100,087","109,553","113,996","112,889","110,242",DFS
Accrued Expenses,"4,105","3,436","3,690","3,860","4,214",DFS
Non-Interest Bearing Dep.,599,675,791,"1,209","1,575",DFS
Interest Bearing Deposits,"58,165","67,084","71,955","75,695","70,818",DFS
Total Deposits,"58,764","67,759","72,746","76,904","72,393",DFS
Total ST Borrowings,--,--,--,--,"1,750",DFS
Curr. Port. LT Dbt/Cap Ls.,"5,272","6,511","5,247","4,217","5,185",DFS
Total Long Term Debt,"21,054","20,717","20,454","17,024","13,292",DFS
Total Debt,"26,326","27,228","25,701","21,241","20,227",DFS
Total Liabilities,"89,195","98,423","102,137","102,005","96,834",DFS
Pref. Stock - Non Rdmbl.,563,563,563,--,--,DFS
Conv. Pref. Stk-Non Rdmbl.,--,--,--,"1,056","1,056",DFS
"Pref. Stock-Non Rdmbl, Net",563,563,563,"1,056","1,056",DFS
Common Stock,6,6,6,6,6,DFS
Additional Paid-In Capital,"4,042","4,130","4,206","4,257","4,369",DFS
Ret. Earn.(Accum. Deficit),"16,687","18,906","21,290","19,955","24,766",DFS
Treasury Stock - Common,"(10,254)","(12,319)","(14,087)","(14,435)","(16,695)",DFS
Unrealized Gain (Loss),(5),10,112,284,114,DFS
Min. Pension Lblty Adj.,(157),(188),(214),(227),(199),DFS
Other Comprehensive Income,10,22,(17),(12),(9),DFS
"Other Equity, Total",(147),(166),(231),(239),(208),DFS
Total Equity,"10,892","11,130","11,859","10,884","13,408",DFS
Total Liabilities & Shareholders’ Equity,"100,087","109,553","113,996","112,889","110,242",DFS
Ttl Comm. Shares Outs.,358,331,310,307,288,DFS
Trsy. Shrs-Comm. Primary Iss.,206,233,256,261,281,DFS
Trsry Shrs-Pref. Iss. 1,0,0,0,0,0,DFS
