items,Q2 2022,Q3 2022,Q4 2022,Q1 2023,ticker
Cash and Short Term Invs,"4,603","3,836","3,957","2,938",EL
"Trade Accts Recvble, Gross","2,115","2,245","1,656","2,184",EL
Prov. for Doubtful Accts,(36),(36),(27),(28),EL
"Total Receivables, Net","2,079","2,209","1,629","2,156",EL
Invent. - Finished Goods,"1,317","1,454","1,449","1,499",EL
Invent. - Work In Progress,299,336,366,343,EL
Invent. - Raw Materials,726,778,791,853,EL
Inventories - Other,270,262,314,323,EL
Total Inventory,"2,612","2,830","2,920","3,018",EL
Prepaid Expenses,661,625,792,754,EL
Total Current Assets,"9,955","9,500","9,298","8,866",EL
Buildings,"2,837","2,803","2,737","2,652",EL
Land/Improvements,57,56,53,51,EL
Machinery/Equipment,"2,422","2,420","2,462","2,520",EL
Construction in Progress,500,589,759,806,EL
Other Prop./Plant/Equip.,"2,230","2,163","2,078","1,985",EL
Prop./Plant/Equip. - Gross,"8,046","8,031","8,089","8,014",EL
Accumulated Depreciation,"(3,493)","(3,504)","(3,490)","(3,502)",EL
Prop./Plant/Equip. - Net,"4,553","4,527","4,599","4,512",EL
"Goodwill, Net","2,572","2,591","2,521","2,415",EL
Intangibles - Gross,"4,548","4,341","4,056","3,833",EL
Accum. Intangible Amort.,(665),(703),(628),(643),EL
Intangibles - Net,"3,883","3,638","3,428","3,190",EL
Other Long Term Assets,"1,115","1,103","1,064","1,006",EL
Total Assets,"22,078","21,359","20,910","19,989",EL
Accounts Payable,"1,639","1,470","1,822","1,392",EL
Accrued Expenses,"3,029","3,063","3,413","2,968",EL
Notes Payable/ST Debt,0,0,0,0,EL
Curr. Port. LT Dbt/Cap Ls.,272,269,268,266,EL
Customer Advances,377,313,312,313,EL
Income Taxes Payable,445,299,--,332,EL
"Other Curr. Lblts, Total",822,612,312,645,EL
Total Current Liabilities,"5,762","5,414","5,815","5,271",EL
Total Long Term Debt,"5,259","5,188","5,144","5,107",EL
Total Debt,"5,531","5,457","5,412","5,373",EL
Minority Interest,874,901,842,808,EL
"Other Liabilities, Total","3,965","3,706","3,519","3,286",EL
Total Liabilities,"15,860","15,209","15,320","14,472",EL
Common Stock,6,6,6,6,EL
Additional Paid-In Capital,"5,605","5,746","5,796","5,875",EL
Ret. Earn.(Accum. Deficit),"13,735","14,076","13,912","14,185",EL
Treasury Stock - Common,"(12,482)","(13,052)","(13,362)","(13,471)",EL
Cum. Trans. Adjustment,(484),(471),(716),"(1,068)",EL
Min. Pension Lblty Adj.,(172),(169),(114),(116),EL
Other Comprehensive Income,10,14,68,106,EL
"Other Equity, Total",(646),(626),(762),"(1,078)",EL
Total Equity,"6,218","6,150","5,590","5,517",EL
Total Liabilities & Shareholders’ Equity,"22,078","21,359","20,910","19,989",EL
Shr Outs.-Com. Primary Iss.,233,232,232,231,EL
Shr Outs.-Com. Stk. Iss. 2,126,126,126,126,EL
Ttl Comm. Shares Outs.,359,358,357,357,EL
Trsy. Shrs-Comm. Primary Iss.,233,235,236,237,EL
