items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Net Income,"5,096","2,167","2,517","3,296",GSK
Depreciation/Depletion,"2,377",704,"1,335","2,291",GSK
Discontinued Operations,--,--,775,765,GSK
Unusual Items,(38),--,0,0,GSK
Equity in Net Earnings/Loss,(33),1,3,4,GSK
Other Non-Cash Items,"1,452",633,854,"1,265",GSK
Non-Cash Items,"1,381",634,"1,632","2,034",GSK
"Cash Taxes Pd, Supplemental","1,291",213,534,"1,110",GSK
"Cash Interest Pd, Suppl",786,85,437,504,GSK
Accounts Receivable,"(1,096)",--,--,--,GSK
Inventories,25,--,--,--,GSK
Accounts Payable,"1,063",--,--,--,GSK
Payable/Accrued,"1,608",--,--,--,GSK
Changes in Working Capital,(902),(963),"(1,307)","(2,123)",GSK
Total Cash from Operations,"7,952","2,542","4,177","5,498",GSK
Purchase of Fixed Assets,"(1,172)",(222),(430),(705),GSK
Purchase/Acq of Intangibles,"(1,759)",(379),(597),(802),GSK
Capital Expenditures,"(2,931)",(601),"(1,027)","(1,507)",GSK
Acquisition of Business,(17),--,(12),"(3,049)",GSK
Sale of Business,--,1,--,--,GSK
Sale of Fixed Assets,143,6,6,13,GSK
Sale/Maturity of Investment,479,0,--,115,GSK
"Investment, Net",18,0,--,0,GSK
Purchase of Investments,(163),(45),(59),(122),GSK
Sale of Intangible,772,9,13,126,GSK
Other Investing Cash Flow,(78),"(2,963)","(3,059)","(3,808)",GSK
"OtherInvestCashFlowItms,Tot","1,154","(2,992)","(3,111)","(6,725)",GSK
Total Cash from Investing,"(1,777)","(3,593)","(4,138)","(8,232)",GSK
Financing Cash Flow Items,"(1,401)",16,"8,742","9,314",GSK
Total Cash Dividends Paid,"(3,999)",(952),"(2,108)","(2,813)",GSK
Sale/Issuance of Common,21,17,20,25,GSK
Repurch/Retirement Common,--,(5),(3),--,GSK
"Iss (Retirmnt) of Stock,Net",21,12,17,25,GSK
Short Term Debt Issued,318,--,--,--,GSK
Short Term Debt Reduction,"(2,313)",(249),"(3,062)","(4,207)",GSK
"Short Term Debt, Net","(1,995)",(249),"(3,062)","(4,207)",GSK
Long Term Debt Issued,0,"9,205",--,--,GSK
Long Term Debt Reduction,(215),(59),(99),(149),GSK
"Long Term Debt, Net",(215),"9,146",(102),(158),GSK
"Iss (Retirmnt) of Debt, Net","(2,210)","8,897","(3,164)","(4,365)",GSK
Total Cash From Financing,"(7,589)","7,973","3,487","2,161",GSK
Foreign Exchange Effects,(29),12,83,106,GSK
Net Change in Cash,"(1,443)","6,934","3,609",(467),GSK
NetCash-BeginBal/RsvdforFutUse,"5,262","3,817","3,817","3,819",GSK
NetCash-EndBal/RsrvforFutUse,"3,819","10,751","7,426","3,352",GSK
"Depreciation, Supplemental","2,377",704,"1,335","2,291",GSK
