items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Total Revenue,"9,527","7,190","6,929","7,829",GSK
"Cost of Revenue, Total","3,675","2,690","2,136","2,386",GSK
"Sell/Gen/AdminExpenses,Tot","2,908","1,770","1,955","1,968",GSK
Research & Development,"1,363","1,088","1,155","1,297",GSK
Depreciation/Amortization,25,23,26,26,GSK
Restructuring Charge,247,51,134,73,GSK
Impair-Assets Held for Use,27,(16),55,17,GSK
Other Unusual Expnse (In),522,(571),546,"1,126",GSK
Unusual Expense (Income),796,(536),735,"1,216",GSK
"Other Operat Expse, Total",(135),(138),(159),(255),GSK
Total Operating Expense,"8,632","4,897","5,848","6,638",GSK
Total Operating Income,895,"2,293","1,081","1,191",GSK
"Inter/Invest Inc, Non-Oper",(189),(199),(185),(179),GSK
Income Before Tax,706,"2,094",896,"1,012",GSK
Income Tax - Total,(224),323,150,233,GSK
Income After Tax,930,"1,771",746,779,GSK
Minority Interest,(181),(365),(137),(38),GSK
Net Inc Before Extra Items,749,"1,406",609,741,GSK
Total Extraordinary Items,--,396,229,"9,574",GSK
Total Net Income,749,"1,802",838,"10,315",GSK
Income Available to Common Excl. Extra. Items,749,"1,406",609,741,GSK
Income Available to Common Incl. Extra. Items,749,"1,802",838,"10,315",GSK
Basic/Primary Weighted Average Shares,"4,007","3,218","3,220","4,088",GSK
Basic/Primary EPS Excl. Extra. Items,0.19,0.44,0.19,0.18,GSK
Basic/Primary EPS Incl. Extra. Items,0.19,0.56,0.26,2.52,GSK
Diluted Weighted Average Shares,"4,059","3,218","3,220","4,088",GSK
Diluted EPS Excl. Extra. Items,0.18,0.44,0.19,0.18,GSK
Diluted EPS Incl. Extra. Items,0.18,0.56,0.26,2.52,GSK
Div/Share-ComStockPrimIssue,--,0.18,0.00,0.00,GSK
Gross Divid - Common Stock,"1,152",704,654,555,GSK
Pro Forma Net Income,--,--,--,--,GSK
"Depreciat/Amort, Suppl",162,518,439,758,GSK
Total Special Items,797,(536),735,"1,216",GSK
Normalzd Income Before Tax,"1,503","1,558","1,631","2,228",GSK
Efct/SpecItemsIncTxs (STEC),401,(36),127,169,GSK
IncTxsExcl ImpctofSpec Itms,177,287,277,402,GSK
Normalized Income After Tax,"1,326","1,271","1,354","1,826",GSK
Normalzd Inc Avail to Common,"1,145",906,"1,217","1,788",GSK
Basic Normalized EPS,0.29,0.28,0.38,0.44,GSK
Diluted Normalized EPS,0.28,0.28,0.38,0.44,GSK
