items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Total Revenue,"3,359","3,647","3,837","3,942",GWW
"Cost of Revenue, Total","2,106","2,264","2,396","2,423",GWW
"Sell/Gen/AdminExpenses,Tot",836,849,907,916,GWW
Restructuring Charge,0,--,--,--,GWW
Impair-Assets Held for Use,0,--,--,--,GWW
Unusual Expense (Income),0,--,--,--,GWW
Total Operating Expense,"2,942","3,113","3,303","3,339",GWW
Total Operating Income,417,534,534,603,GWW
"Inter Expse,Net Non-Operat",(22),(23),(22),(25),GWW
OtherNon-OperatInc (Expnse),6,6,5,9,GWW
"Other, Net",6,6,5,9,GWW
Income Before Tax,401,517,517,587,GWW
Income Tax - Total,100,132,128,145,GWW
Income After Tax,301,385,389,442,GWW
Minority Interest,(18),(19),(18),(16),GWW
Net Inc Before Extra Items,283,366,371,426,GWW
Total Net Income,283,366,371,426,GWW
Income Available to Common Excl. Extra. Items,283,366,371,426,GWW
Income Available to Common Incl. Extra. Items,283,366,371,426,GWW
Basic/Primary Weighted Average Shares,51,51,51,51,GWW
Basic/Primary EPS Excl. Extra. Items,5.52,7.16,7.27,8.39,GWW
Basic/Primary EPS Incl. Extra. Items,5.52,7.16,7.27,8.39,GWW
Diluted Weighted Average Shares,52,51,51,51,GWW
Diluted EPS Excl. Extra. Items,5.48,7.12,7.23,8.34,GWW
Diluted EPS Incl. Extra. Items,5.48,7.12,7.23,8.34,GWW
Div/Share-ComStockPrimIssue,1.62,1.62,1.72,1.72,GWW
Gross Divid - Common Stock,84,84,87,90,GWW
Pro Forma Net Income,--,--,--,--,GWW
"Interest Expense, Suppl",22,23,22,25,GWW
"Depreciat/Amort, Suppl",49,52,55,52,GWW
Total Special Items,0,--,--,--,GWW
Normalzd Income Before Tax,401,517,517,587,GWW
Efct/SpecItemsIncTxs (STEC),0,--,--,--,GWW
IncTxsExcl ImpctofSpec Itms,100,132,128,145,GWW
Normalized Income After Tax,301,385,389,442,GWW
Normalzd Inc Avail to Common,283,366,371,426,GWW
Basic Normalized EPS,5.52,7.16,7.27,8.39,GWW
Diluted Normalized EPS,5.48,7.12,7.23,8.34,GWW
