items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Net Income,"2,365",445,887,"1,226",HIG
Depreciation/Depletion,680,168,332,485,HIG
Amortization,"1,680",440,893,"1,360",HIG
Deferred Taxes,85,41,(127),(184),HIG
Non-Cash Items,21,--,9,9,HIG
"Cash Taxes Pd, Supplemental",(496),(1),279,454,HIG
"Cash Interest Pd, Suppl",214,67,116,172,HIG
Changes in Working Capital,(680),(665),(591),28,HIG
Total Cash from Operations,"4,151",429,"1,403","2,924",HIG
Capital Expenditures,(133),(31),(77),(122),HIG
Acquisition of Business,0,--,--,--,HIG
Sale of Business,11,--,--,--,HIG
Sale/Maturity of Investment,"22,994","6,651","10,188","12,609",HIG
"Investment, Net","(22,972)","(5,735)","(8,507)","(11,561)",HIG
Purchase of Investments,"(1,317)",(443),(757),"(1,091)",HIG
Other Investing Cash Flow,"(1,049)",(316),(460),(540),HIG
"OtherInvestCashFlowItms,Tot","(2,333)",157,464,(583),HIG
Total Cash from Investing,"(2,466)",126,387,(705),HIG
Financing Cash Flow Items,14,(8),(22),(20),HIG
Cash Divids Paid - Common,(485),(130),(257),(383),HIG
Cash Divs Paid - Preferred,(21),(5),(10),(16),HIG
Total Cash Dividends Paid,(506),(135),(267),(399),HIG
"Common Stock, Net","(1,702)",(400),(850),"(1,200)",HIG
Options Exercised,25,(43),(34),(34),HIG
"Iss (Retirmnt) of Stock,Net","(1,677)",(443),(884),"(1,234)",HIG
Long Term Debt Issued,588,--,--,--,HIG
Long Term Debt Reduction,0,--,(600),(600),HIG
"Iss (Retirmnt) of Debt, Net",588,--,(600),(600),HIG
Total Cash From Financing,"(1,581)",(586),"(1,773)","(2,253)",HIG
Foreign Exchange Effects,(6),0,(6),(18),HIG
Net Change in Cash,98,(31),11,(52),HIG
NetCash-BeginBal/RsvdforFutUse,239,337,337,337,HIG
NetCash-EndBal/RsrvforFutUse,337,306,348,285,HIG
"Depreciation, Supplemental",680,168,332,485,HIG
