items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash & Equivalents,"3,394","4,864","5,153","13,558",HUM
Prop./Plant/Equip. - Net,"3,073","3,189","3,121","3,218",HUM
"Goodwill, Net","11,092","11,139","8,911","9,096",HUM
Intangibles - Gross,"3,443","3,473","2,594","2,659",HUM
Accum. Intangible Amort.,(804),(822),(838),(862),HUM
Intangibles - Net,"2,639","2,651","1,756","1,797",HUM
LT Invt. - Affiliate Comp.,141,138,174,738,HUM
LT Investments - Other,"13,972","13,484","13,417","13,499",HUM
Long Term Investments,"14,113","13,622","13,591","14,237",HUM
Insurance Receivables,"1,814","3,174","3,369","1,609",HUM
Disct. Ops. - LT Asset,--,--,"3,592",--,HUM
Other Assets,"8,233","7,669","7,327","7,250",HUM
"Other Assets, Total","8,233","7,669","7,327","7,250",HUM
Total Assets,"44,358","46,308","46,820","50,765",HUM
Payable/Accrued,"4,509","5,859","5,787","6,766",HUM
Policy Liabilities,"8,289","9,378","9,650","9,237",HUM
Notes Payable/ST Debt,326,"2,007",391,237,HUM
Curr. Port. LT Dbt/Cap Ls.,"1,953",--,"1,541","2,799",HUM
"Other Curr. Lblts, Total",254,288,264,"6,012",HUM
Total Long Term Debt,"10,541","11,285","11,290","7,798",HUM
Total Debt,"12,820","13,292","13,222","10,834",HUM
Minority Interest,23,23,20,63,HUM
Discont. Ops. - Lblts,--,--,480,--,HUM
Other Liabilities,"2,383","2,149","1,907","1,599",HUM
"Other Liabilities, Total","2,383","2,149","2,387","1,599",HUM
Total Liabilities,"28,278","30,989","31,330","34,511",HUM
"Pref. Stock-Non Rdmbl, Net",0,0,0,0,HUM
Common Stock,33,33,33,33,HUM
Additional Paid-In Capital,"3,082","3,103","3,153","3,234",HUM
Ret. Earn.(Accum. Deficit),"23,086","23,915","24,511","25,606",HUM
Treasury Stock - Common,"(10,163)","(11,160)","(11,156)","(11,152)",HUM
"Other Equity, Total",42,(572),"(1,051)","(1,467)",HUM
Total Equity,"16,080","15,319","15,490","16,254",HUM
Total Liabilities & Shareholders’ Equity,"44,358","46,308","46,820","50,765",HUM
Ttl Comm. Shares Outs.,129,126,127,127,HUM
Trsy. Shrs-Comm. Primary Iss.,70,72,72,72,HUM
