items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Total Revenue,"360,300","390,600","393,000","364,700",HXL
"Cost of Revenue, Total","291,200","303,900","303,500","282,900",HXL
"Sell/Gen/AdminExpenses,Tot","32,300","44,700","33,500","29,000",HXL
Research & Development,"11,600","10,900","11,300","11,600",HXL
Unusual Expense (Income),500,800,300,400,HXL
"Other Operat Expse, Total","1,700",200,"(19,400)",--,HXL
Total Operating Expense,"337,300","360,500","329,200","323,900",HXL
Total Operating Income,"23,000","30,100","63,800","40,800",HXL
"Inter Expse,Net Non-Operat","(9,200)","(9,100)","(8,900)","(9,000)",HXL
OtherNon-OperatInc (Expnse),"8,500",--,300,0,HXL
"Other, Net","8,500",--,300,0,HXL
Income Before Tax,"22,300","21,000","55,200","31,800",HXL
Income Tax - Total,"3,700","4,700","12,700","6,800",HXL
Income After Tax,"18,600","16,300","42,500","25,000",HXL
Equity In Affiliates,900,"1,500","2,200","1,800",HXL
Net Inc Before Extra Items,"19,500","17,800","44,700","26,800",HXL
Total Extraordinary Items,(600),--,--,--,HXL
Total Net Income,"18,900","17,800","44,700","26,800",HXL
Income Available to Common Excl. Extra. Items,"19,500","17,800","44,700","26,800",HXL
Income Available to Common Incl. Extra. Items,"18,900","17,800","44,700","26,800",HXL
Basic/Primary Weighted Average Shares,"84,100","84,300","84,400","84,400",HXL
Basic/Primary EPS Excl. Extra. Items,0.23,0.21,0.53,0.32,HXL
Basic/Primary EPS Incl. Extra. Items,0.22,0.21,0.53,0.32,HXL
Diluted Weighted Average Shares,"86,100","84,900","85,000","85,100",HXL
Diluted EPS Excl. Extra. Items,0.23,0.21,0.53,0.31,HXL
Diluted EPS Incl. Extra. Items,0.22,0.21,0.53,0.31,HXL
Div/Share-ComStockPrimIssue,--,0.00,0.10,0.10,HXL
Gross Divid - Common Stock,0,"8,500",0,0,HXL
Pro Forma Net Income,--,--,--,--,HXL
"Interest Expense, Suppl","9,200","9,100","8,900","9,000",HXL
"Depreciat/Amort, Suppl","35,600","32,200","31,700","31,000",HXL
Total Special Items,500,800,300,400,HXL
Normalzd Income Before Tax,"22,800","21,800","55,500","32,200",HXL
Efct/SpecItemsIncTxs (STEC),83,179,69,86,HXL
IncTxsExcl ImpctofSpec Itms,"3,783","4,879","12,769","6,886",HXL
Normalized Income After Tax,"19,017","16,921","42,731","25,314",HXL
Normalzd Inc Avail to Common,"19,917","18,421","44,931","27,114",HXL
Basic Normalized EPS,0.24,0.22,0.53,0.32,HXL
Diluted Normalized EPS,0.23,0.22,0.53,0.32,HXL
