items,2018,2019,2020,2021,2022,ticker
Cash & Equivalents,"1,464","2,116","6,442","2,562","2,796",INTU
Short Term Investments,252,624,608,"1,308",485,INTU
Cash and Short Term Invs,"1,716","2,740","7,050","3,870","3,281",INTU
"Trade Accts Recvble, Gross",--,90,161,487,477,INTU
Prov. for Doubtful Accts,--,(3),(12),(96),(31),INTU
"Trade Accts Recvble, Net",98,87,149,391,446,INTU
Notes Recvble - Short Term,--,--,--,--,509,INTU
Other Receivables,39,65,12,123,93,INTU
"Total Receivables, Net",137,152,161,514,"1,048",INTU
Prepaid Expenses,202,266,314,316,287,INTU
"Other Curr. Assets, Total",367,436,455,457,431,INTU
Total Current Assets,"2,422","3,594","7,980","5,157","5,047",INTU
Buildings,--,646,670,725,744,INTU
Land/Improvements,--,79,79,79,79,INTU
Machinery/Equipment,--,"1,281","1,096","1,098","1,119",INTU
Construction in Progress,--,65,90,122,283,INTU
Other Prop./Plant/Equip.,--,90,319,476,650,INTU
Prop./Plant/Equip. - Gross,--,"2,161","2,254","2,500","2,875",INTU
Accumulated Depreciation,--,"(1,381)","(1,294)","(1,340)","(1,438)",INTU
Prop./Plant/Equip. - Net,812,780,960,"1,160","1,437",INTU
"Goodwill, Net","1,611","1,655","1,654","5,613","13,736",INTU
Intangibles - Gross,--,742,744,"4,166","8,531",INTU
Accum. Intangible Amort.,--,(688),(716),(914),"(1,470)",INTU
Intangibles - Net,61,54,28,"3,252","7,061",INTU
Long Term Investments,13,13,19,43,98,INTU
Other Long Term Assets,215,58,(39),283,344,INTU
Total Assets,"5,134","6,283","10,931","15,516","27,734",INTU
Accounts Payable,178,274,305,623,737,INTU
Accrued Expenses,369,385,531,597,852,INTU
Notes Payable/ST Debt,0,0,0,0,0,INTU
Curr. Port. LT Dbt/Cap Ls.,50,50,"1,338",0,499,INTU
Dividends Payable,10,7,6,9,12,INTU
Customer Advances,587,625,652,684,808,INTU
Income Taxes Payable,--,--,--,--,8,INTU
Other Payables,9,0,--,--,--,INTU
Other Current Liabilities,540,625,697,742,714,INTU
"Other Curr. Lblts, Total","1,146","1,257","1,355","1,435","1,542",INTU
Total Current Liabilities,"1,743","1,966","3,529","2,655","3,630",INTU
Total Long Term Debt,388,386,"2,031","2,034","6,415",INTU
Total Debt,438,436,"3,369","2,034","6,914",INTU
Deferred Income Tax,68,37,2,525,619,INTU
"Other Liabilities, Total",119,145,263,433,629,INTU
Total Liabilities,"2,318","2,534","5,825","5,647","11,293",INTU
Redeemable Preferred Stock,0,0,0,0,--,INTU
Common Stock,"5,338",3,3,3,3,INTU
Additional Paid-In Capital,--,"5,772","6,179","10,545","17,722",INTU
Ret. Earn.(Accum. Deficit),"8,564","9,621","10,885","12,296","13,581",INTU
Treasury Stock - Common,"(11,050)","(11,611)","(11,929)","(12,951)","(14,805)",INTU
Unrealized Gain (Loss),--,1,6,3,(7),INTU
Cum. Trans. Adjustment,--,(37),(38),(27),(53),INTU
Other Comprehensive Income,(36),--,--,--,--,INTU
"Other Equity, Total",(36),(37),(38),(27),(53),INTU
Total Equity,"2,816","3,749","5,106","9,869","16,441",INTU
Total Liabilities & Shareholders’ Equity,"5,134","6,283","10,931","15,516","27,734",INTU
Ttl Comm. Shares Outs.,259,260,262,273,282,INTU
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,0,INTU
