items,Q2 2022,Q3 2022,Q4 2022,Q1 2023,ticker
Cash & Equivalents,"1,257","3,531","2,796","2,125",INTU
Short Term Investments,157,373,485,599,INTU
Cash and Short Term Invs,"1,414","3,904","3,281","2,724",INTU
"Trade Accts Recvble, Net",889,738,446,384,INTU
Notes Recvble - Short Term,--,--,509,566,INTU
Other Receivables,241,6,93,88,INTU
"Total Receivables, Net","1,130",744,"1,048","1,038",INTU
Prepaid Expenses,571,671,287,324,INTU
"Other Curr. Assets, Total",375,539,431,468,INTU
Total Current Assets,"3,490","5,858","5,047","4,554",INTU
Prop./Plant/Equip. - Net,"1,270","1,283","1,437","1,461",INTU
"Goodwill, Net","13,732","13,731","13,736","13,732",INTU
Intangibles - Gross,"8,532","8,532","8,531","8,531",INTU
Accum. Intangible Amort.,"(1,144)","(1,308)","(1,470)","(1,632)",INTU
Intangibles - Net,"7,388","7,224","7,061","6,899",INTU
Long Term Investments,90,98,98,98,INTU
Other Long Term Assets,325,312,344,331,INTU
Total Assets,"26,303","28,514","27,734","27,085",INTU
Accounts Payable,883,900,737,670,INTU
Accrued Expenses,494,851,852,698,INTU
Notes Payable/ST Debt,0,0,0,0,INTU
Curr. Port. LT Dbt/Cap Ls.,--,--,499,499,INTU
Dividends Payable,10,11,12,13,INTU
Customer Advances,822,741,808,698,INTU
Income Taxes Payable,2,198,8,7,INTU
Other Current Liabilities,757,890,714,740,INTU
"Other Curr. Lblts, Total","1,591","1,840","1,542","1,458",INTU
Total Current Liabilities,"2,968","3,591","3,630","3,325",INTU
Total Long Term Debt,"6,732","6,853","6,415","6,486",INTU
Total Debt,"6,732","6,853","6,914","6,985",INTU
Deferred Income Tax,506,608,619,588,INTU
"Other Liabilities, Total",502,501,629,619,INTU
Total Liabilities,"10,708","11,553","11,293","11,018",INTU
Redeemable Preferred Stock,0,0,--,0,INTU
Common Stock,"17,202","17,479",3,"18,082",INTU
Additional Paid-In Capital,--,--,"17,722",--,INTU
Ret. Earn.(Accum. Deficit),"12,235","13,832","13,581","13,396",INTU
Treasury Stock - Common,"(13,808)","(14,297)","(14,805)","(15,324)",INTU
"Other Equity, Total",(34),(53),(60),(87),INTU
Total Equity,"15,595","16,961","16,441","16,067",INTU
Total Liabilities & Shareholders’ Equity,"26,303","28,514","27,734","27,085",INTU
Ttl Comm. Shares Outs.,283,282,282,281,INTU
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,INTU
