items,2017,2018,2019,2020,2021,ticker
Cash and Short Term Invs,"3,094","1,504","1,981","2,564","1,527",ITW
"Trade Accts Recvble, Gross",--,--,--,"2,535","2,868",ITW
Prov. for Doubtful Accts,--,--,--,(29),(28),ITW
"Trade Accts Recvble, Net","2,628","2,622","2,461","2,506","2,840",ITW
Other Receivables,191,177,150,115,102,ITW
"Total Receivables, Net","2,819","2,799","2,611","2,621","2,942",ITW
Invent. - Finished Goods,703,731,670,681,888,ITW
Invent. - Work In Progress,141,161,131,136,208,ITW
Invent. - Raw Materials,465,523,452,454,716,ITW
LIFO Reserve,(89),(97),(89),(82),(118),ITW
Total Inventory,"1,220","1,318","1,164","1,189","1,694",ITW
Prepaid Expenses,145,157,146,149,211,ITW
"Other Curr. Assets, Total",--,--,351,0,--,ITW
Total Current Assets,"7,278","5,778","6,253","6,523","6,374",ITW
Buildings,"1,370","1,368","1,357","1,432","1,462",ITW
Land/Improvements,203,194,186,204,198,ITW
Machinery/Equipment,"3,301","3,352","3,551","3,824","3,898",ITW
Construction in Progress,123,154,133,133,142,ITW
Other Prop./Plant/Equip.,164,165,206,216,222,ITW
Prop./Plant/Equip. - Gross,"5,161","5,233","5,433","5,809","5,922",ITW
Accumulated Depreciation,"(3,383)","(3,442)","(3,498)","(3,816)","(3,891)",ITW
Prop./Plant/Equip. - Net,"1,778","1,791","1,935","1,993","2,031",ITW
"Goodwill, Net","4,752","4,633","4,492","4,690","4,965",ITW
Intangibles - Gross,"3,771","3,765","3,414","3,687","4,007",ITW
Accum. Intangible Amort.,"(2,499)","(2,681)","(2,563)","(2,906)","(3,035)",ITW
Intangibles - Net,"1,272","1,084",851,781,972,ITW
Long Term Investments,53,51,51,--,--,ITW
Pension Bene. - Overfunded,337,290,297,355,465,ITW
Def. Inc. Tax - LT Asset,505,554,516,533,552,ITW
Other Long Term Assets,805,689,673,737,718,ITW
Total Assets,"16,780","14,870","15,068","15,612","16,077",ITW
Accounts Payable,590,524,472,534,585,ITW
Accrued Expenses,"1,053","1,056","1,029","1,062","1,254",ITW
Notes Payable/ST Debt,849,1,0,0,210,ITW
Curr. Port. LT Dbt/Cap Ls.,1,"1,350",4,350,568,ITW
Dividends Payable,266,328,342,361,382,ITW
Customer Advances,205,215,188,222,394,ITW
Income Taxes Payable,89,68,48,60,77,ITW
Discontinued Operations,--,--,71,0,--,ITW
"Other Curr. Lblts, Total",560,611,649,643,853,ITW
Total Current Liabilities,"3,053","3,542","2,154","2,589","3,470",ITW
Total Long Term Debt,"7,478","6,029","7,754","7,772","6,909",ITW
Total Debt,"8,328","7,380","7,758","8,122","7,687",ITW
Deferred Income Tax,164,707,668,588,654,ITW
Minority Interest,4,4,4,1,1,ITW
Pension Benefits - Underfunded,393,382,413,432,383,ITW
Other LT Liabilities,"1,103",952,"1,049","1,049","1,035",ITW
"Other Liabilities, Total","1,496","1,334","1,462","1,481","1,418",ITW
Total Liabilities,"12,195","11,616","12,042","12,431","12,452",ITW
Common Stock,6,6,6,6,6,ITW
Additional Paid-In Capital,"1,218","1,253","1,304","1,362","1,432",ITW
Ret. Earn.(Accum. Deficit),"20,210","21,217","22,403","23,114","24,325",ITW
Treasury Stock - Common,"(15,562)","(17,545)","(18,982)","(19,659)","(20,636)",ITW
Cum. Trans. Adjustment,--,--,--,--,5,ITW
Min. Pension Lblty Adj.,--,--,--,--,135,ITW
Other Comprehensive Income,"(1,287)","(1,677)","(1,705)","(1,642)","(1,642)",ITW
"Other Equity, Total","(1,287)","(1,677)","(1,705)","(1,642)","(1,502)",ITW
Total Equity,"4,585","3,254","3,026","3,181","3,625",ITW
Total Liabilities & Shareholders’ Equity,"16,780","14,870","15,068","15,612","16,077",ITW
Ttl Comm. Shares Outs.,342,328,320,317,313,ITW
Trsy. Shrs-Comm. Primary Iss.,209,222,230,233,237,ITW
