items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Total Revenue,"3,679","3,939","4,011","4,011",ITW
"Cost of Revenue, Total","2,191","2,357","2,392","2,371",ITW
"Sell/Gen/AdminExpenses,Tot",621,652,659,624,ITW
Depreciation/Amortization,33,35,34,33,ITW
Total Operating Expense,"2,845","3,044","3,085","3,028",ITW
Total Operating Income,834,895,926,983,ITW
"Inter Expse,Net Non-Operat",(49),(48),(47),(52),ITW
OtherNon-OperatInc (Expnse),7,14,24,26,ITW
"Other, Net",7,14,24,26,ITW
Income Before Tax,792,861,903,957,ITW
Income Tax - Total,183,199,165,230,ITW
Income After Tax,609,662,738,727,ITW
Net Inc Before Extra Items,609,662,738,727,ITW
Total Net Income,609,662,738,727,ITW
Income Available to Common Excl. Extra. Items,609,662,738,727,ITW
Income Available to Common Incl. Extra. Items,609,662,738,727,ITW
Basic/Primary Weighted Average Shares,314,313,311,309,ITW
Basic/Primary EPS Excl. Extra. Items,1.94,2.12,2.38,2.35,ITW
Basic/Primary EPS Incl. Extra. Items,1.94,2.12,2.38,2.35,ITW
Diluted Weighted Average Shares,315,314,312,310,ITW
Diluted EPS Excl. Extra. Items,1.93,2.11,2.37,2.35,ITW
Diluted EPS Incl. Extra. Items,1.93,2.11,2.37,2.35,ITW
Div/Share-ComStockPrimIssue,1.22,1.22,1.22,1.22,ITW
Gross Divid - Common Stock,382,380,378,402,ITW
Pro Forma Net Income,--,--,--,--,ITW
"Interest Expense, Suppl",49,48,47,52,ITW
"Depreciat/Amort, Suppl",71,71,69,69,ITW
Normalzd Income Before Tax,792,861,903,957,ITW
IncTxsExcl ImpctofSpec Itms,183,199,165,230,ITW
Normalized Income After Tax,609,662,738,727,ITW
Normalzd Inc Avail to Common,609,662,738,727,ITW
Basic Normalized EPS,1.94,2.12,2.38,2.35,ITW
Diluted Normalized EPS,1.93,2.11,2.37,2.35,ITW
