items,Q1 2022,Q2 2022,Q3 2022,Q4 2022,ticker
Cash and Short Term Invs,70,56,66,109,JACK
"Trade Accts Recvble, Gross",57,50,74,90,JACK
Prov. for Doubtful Accts,(7),(6),(5),(6),JACK
"Trade Accts Recvble, Net",50,44,68,84,JACK
Notes Recvble - Short Term,1,1,2,9,JACK
Other Receivables,4,7,8,11,JACK
"Total Receivables, Net",55,52,78,104,JACK
Total Inventory,3,6,6,5,JACK
Prepaid Expenses,10,20,16,16,JACK
Restricted Cash - Current,18,29,27,27,JACK
Discont. Ops.-Curr. Assets,2,4,8,17,JACK
Other Current Assets,4,5,5,5,JACK
"Other Curr. Assets, Total",24,37,39,49,JACK
Total Current Assets,163,172,205,283,JACK
Buildings,--,"1,163","1,156","1,125",JACK
Land/Improvements,--,103,97,86,JACK
Construction in Progress,--,16,17,18,JACK
Other Prop./Plant/Equip.,"1,128","1,338","1,334","1,332",JACK
Prop./Plant/Equip. - Gross,"1,128","2,620","2,605","2,561",JACK
Accumulated Depreciation,(813),(819),(829),(811),JACK
Prop./Plant/Equip. - Net,"1,271","1,801","1,776","1,750",JACK
"Goodwill, Net",48,330,368,367,JACK
Intangibles - Gross,--,296,296,296,JACK
Accum. Intangible Amort.,--,0,0,(1),JACK
Intangibles - Net,0,296,296,296,JACK
Note Rcvble - Long Term,5,4,5,12,JACK
Other Long Term Assets,224,220,215,215,JACK
Total Assets,"1,759","2,824","2,864","2,923",JACK
Accounts Payable,22,49,49,66,JACK
Accrued Expenses,251,327,375,407,JACK
Notes Payable/ST Debt,0,0,0,0,JACK
Curr. Port. LT Dbt/Cap Ls.,1,34,30,30,JACK
"Other Curr. Lblts, Total",4,9,14,19,JACK
Total Current Liabilities,278,419,468,522,JACK
Total Long Term Debt,"1,275","1,813","1,806","1,800",JACK
Total Debt,"1,276","1,847","1,836","1,830",JACK
Deferred Income Tax,--,43,34,38,JACK
Pension Benefits - Underfunded,69,68,67,52,JACK
Other LT Liabilities,923,"1,265","1,257","1,248",JACK
"Other Liabilities, Total",992,"1,333","1,324","1,300",JACK
Total Liabilities,"2,545","3,607","3,632","3,659",JACK
"Pref. Stock-Non Rdmbl, Net",0,0,0,0,JACK
Common Stock,1,1,1,1,JACK
Additional Paid-In Capital,502,505,507,508,JACK
Ret. Earn.(Accum. Deficit),"1,794","1,793","1,806","1,843",JACK
Treasury Stock - Common,"(3,009)","(3,009)","(3,009)","(3,034)",JACK
"Other Equity, Total",(74),(73),(72),(54),JACK
Total Equity,(786),(784),(768),(736),JACK
Total Liabilities & Shareholders’ Equity,"1,759","2,824","2,864","2,923",JACK
Ttl Comm. Shares Outs.,21,21,21,21,JACK
Trsy. Shrs-Comm. Primary Iss.,62,62,62,62,JACK
