items,Q1 2022,Q2 2022,Q3 2022,Q4 2022,ticker
Net Income,39,47,70,116,JACK
Depreciation/Depletion,12,24,41,56,JACK
Deferred Taxes,2,6,8,8,JACK
Discontinued Operations,--,--,--,0,JACK
Unusual Items,1,11,17,(6),JACK
Other Non-Cash Items,14,18,19,20,JACK
Non-Cash Items,15,29,36,14,JACK
Accounts Receivable,20,26,1,(18),JACK
Inventories,0,0,0,0,JACK
Prepaid Expenses,3,(7),(3),(3),JACK
Accounts Payable,(5),1,3,16,JACK
Accrued Expenses,(48),(52),(43),(9),JACK
Changes in Working Capital,(35),(38),(51),(31),JACK
Total Cash from Operations,34,68,104,163,JACK
Capital Expenditures,(9),(21),(34),(46),JACK
Acquisition of Business,--,(581),(581),(581),JACK
Sale of Business,0,1,1,6,JACK
Sale of Fixed Assets,4,4,11,42,JACK
Other Investing Cash Flow,(1),(1),(1),0,JACK
"OtherInvestCashFlowItms,Tot",3,(577),(570),(532),JACK
Total Cash from Investing,(7),(598),(604),(579),JACK
Financing Cash Flow Items,(3),(21),(22),(22),JACK
Total Cash Dividends Paid,(9),(19),(28),(37),JACK
Sale/Issuance of Common,0,0,0,0,JACK
Repurch/Retirement Common,--,0,0,(25),JACK
"Iss (Retirmnt) of Stock,Net",0,0,0,(25),JACK
Long Term Debt Issued,--,"1,163","1,168","1,168",JACK
Long Term Debt Reduction,0,(582),(599),(606),JACK
"Iss (Retirmnt) of Debt, Net",0,581,569,562,JACK
Total Cash From Financing,(12),541,520,478,JACK
Net Change in Cash,15,11,19,62,JACK
NetCash-BeginBal/RsvdforFutUse,74,74,74,74,JACK
NetCash-EndBal/RsrvforFutUse,88,85,93,136,JACK
"Depreciation, Supplemental",12,24,41,56,JACK
