items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Net Income,"1,024",781,"1,046","1,481",KHC
Depreciation/Depletion,910,220,456,685,KHC
Deferred Taxes,"(1,042)",23,(107),(184),KHC
Unusual Items,"2,503",(24),591,859,KHC
Other Non-Cash Items,"1,563",(42),(15),104,KHC
Non-Cash Items,"4,066",(66),576,963,KHC
Accounts Receivable,87,(123),(222),(208),KHC
Inventories,(144),(382),(768),"(1,027)",KHC
Other Assets,(32),(91),(70),(136),KHC
Accounts Payable,408,6,202,299,KHC
Changes in Working Capital,406,(472),"(1,183)","(1,428)",KHC
Total Cash from Operations,"5,364",486,788,"1,517",KHC
Capital Expenditures,(905),(214),(435),(632),KHC
Acquisition of Business,(74),(261),(501),(501),KHC
Sale of Business,"5,014",--,--,--,KHC
Other Investing Cash Flow,3,6,15,95,KHC
"OtherInvestCashFlowItms,Tot","4,943",(255),(486),(406),KHC
Total Cash from Investing,"4,038",(469),(921),"(1,038)",KHC
Financing Cash Flow Items,(259),14,(66),(167),KHC
Total Cash Dividends Paid,"(1,959)",(490),(980),"(1,470)",KHC
Short Term Debt Issued,0,--,--,228,KHC
Short Term Debt Reduction,0,--,--,(228),KHC
"Short Term Debt, Net",0,--,--,0,KHC
Long Term Debt Issued,0,--,--,--,KHC
Long Term Debt Reduction,"(7,126)",(9),(676),"(1,174)",KHC
"Long Term Debt, Net","(7,126)",(9),(676),"(1,174)",KHC
"Iss (Retirmnt) of Debt, Net","(7,126)",(9),(676),"(1,174)",KHC
Total Cash From Financing,"(9,344)",(485),"(1,722)","(2,811)",KHC
Foreign Exchange Effects,(30),2,(72),(116),KHC
Net Change in Cash,28,(466),"(1,927)","(2,448)",KHC
NetCash-BeginBal/RsvdforFutUse,"3,418","3,446","3,446","3,446",KHC
NetCash-EndBal/RsrvforFutUse,"3,446","2,980","1,519",998,KHC
"Depreciation, Supplemental",910,220,456,685,KHC
