items,Q3 2022,Q4 2022,Q1 2023,Q2 2023,ticker
Cash and Short Term Invs,"2,754","3,532","2,233","2,916",MCK
"Total Receivables, Net","18,355","18,583","19,900","20,109",MCK
Total Inventory,"19,024","18,702","19,505","19,876",MCK
Prepaid Expenses,426,495,483,680,MCK
Restricted Cash - Current,405,403,107,42,MCK
Discont. Ops.-Curr. Assets,"5,534","4,516","3,155","2,825",MCK
"Other Curr. Assets, Total","5,939","4,919","3,262","2,867",MCK
Total Current Assets,"46,498","46,231","45,383","46,448",MCK
Prop./Plant/Equip. - Net,"3,645","3,640","3,681","3,619",MCK
"Goodwill, Net","9,462","9,451","9,368","9,239",MCK
Intangibles - Gross,"5,061","4,996","4,942","4,860",MCK
Accum. Intangible Amort.,"(2,931)","(2,937)","(2,966)","(2,988)",MCK
Intangibles - Net,"2,130","2,059","1,976","1,872",MCK
Long Term Investments,358,346,--,252,MCK
Other Long Term Assets,"1,615","1,571","1,887","1,651",MCK
Total Assets,"63,708","63,298","62,295","63,081",MCK
Accounts Payable,"37,183","38,086","39,708","41,003",MCK
Accrued Expenses,"4,626","4,840","4,370","4,563",MCK
Notes Payable/ST Debt,372,0,0,0,MCK
Curr. Port. LT Dbt/Cap Ls.,438,799,799,800,MCK
"Other Curr. Lblts, Total","4,833","4,741","2,324","1,991",MCK
Total Current Liabilities,"47,452","48,466","47,201","48,357",MCK
Total Long Term Debt,"5,518","5,080","4,976","4,813",MCK
Total Debt,"6,328","5,879","5,775","5,613",MCK
Deferred Income Tax,"1,369","1,418","1,541","1,660",MCK
Minority Interest,487,480,532,518,MCK
"Other Liabilities, Total","10,156","10,126","10,049","9,500",MCK
Total Liabilities,"64,982","65,570","64,299","64,848",MCK
"Pref. Stock-Non Rdmbl, Net",0,0,0,0,MCK
Common Stock,2,2,3,3,MCK
Additional Paid-In Capital,"7,411","7,275","7,350","7,609",MCK
Ret. Earn.(Accum. Deficit),"8,734","9,030","9,732","10,579",MCK
Treasury Stock - Common,"(15,766)","(17,045)","(18,141)","(18,844)",MCK
Cum. Trans. Adjustment,"(1,555)","(1,504)",(997),"(1,254)",MCK
Min. Pension Lblty Adj.,(106),(67),(34),(32),MCK
Other Comprehensive Income,6,37,83,172,MCK
"Other Equity, Total","(1,655)","(1,534)",(948),"(1,114)",MCK
Total Equity,"(1,274)","(2,272)","(2,004)","(1,767)",MCK
Total Liabilities & Shareholders’ Equity,"63,708","63,298","62,295","63,081",MCK
Ttl Comm. Shares Outs.,150,145,144,142,MCK
Trsy. Shrs-Comm. Primary Iss.,125,130,133,135,MCK
