items,2017,2018,2019,2020,2021,ticker
Total Revenue,"43,642","50,193","53,823","52,606","61,121",MS
"Cost of Revenue, Total","7,790","12,479","14,897","6,778","4,707",MS
Selling/Gen/Admin Expense,"5,898","6,363","6,419","6,663","8,420",MS
Labor & Related Expense,"17,166","17,632","18,837","20,854","24,628",MS
"Sell/Gen/AdminExpenses,Tot","23,064","23,995","25,256","27,517","33,048",MS
"Other Operat Expse, Total","2,385","2,482","2,369","3,893","3,698",MS
Total Operating Expense,"33,239","38,956","42,522","38,188","41,453",MS
Total Operating Income,"10,403","11,237","11,301","14,418","19,668",MS
Income Before Tax,"10,403","11,237","11,301","14,418","19,668",MS
Income Tax - Total,"2,968","2,350","2,064","3,239","4,548",MS
Income After Tax,"7,435","8,887","9,237","11,179","15,120",MS
Minority Interest,(105),(135),(195),(183),(86),MS
Net Inc Before Extra Items,"7,330","8,752","9,042","10,996","15,034",MS
Discontinued Operations,(19),(4),0,--,--,MS
Extraordinary Item,"(1,200)",--,--,--,--,MS
Total Extraordinary Items,"(1,219)",(4),0,--,--,MS
Total Net Income,"6,111","8,748","9,042","10,996","15,034",MS
Preferred Dividends,(523),(526),(524),(496),(468),MS
Misc Earnings Adjustment,--,--,(6),--,--,MS
Total Adjust to Net Income,(523),(526),(530),(496),(468),MS
Income Available to Common Excl. Extra. Items,"6,807","8,226","8,512","10,500","14,566",MS
Income Available to Common Incl. Extra. Items,"5,588","8,222","8,512","10,500","14,566",MS
Basic/Primary Weighted Average Shares,"1,780","1,708","1,617","1,603","1,785",MS
Basic/Primary EPS Excl. Extra. Items,3.82,4.82,5.26,6.55,8.16,MS
Basic/Primary EPS Incl. Extra. Items,3.14,4.81,5.26,6.55,8.16,MS
Diluted Weighted Average Shares,"1,821","1,738","1,640","1,624","1,814",MS
Diluted EPS Excl. Extra. Items,3.74,4.73,5.19,6.47,8.03,MS
Diluted EPS Incl. Extra. Items,3.07,4.73,5.19,6.47,8.03,MS
Div/Share-ComStockPrimIssue,0.90,1.10,1.30,1.40,2.10,MS
Gross Divid - Common Stock,"2,178","1,930","2,161","2,295","3,818",MS
Pro Forma Net Income,--,--,--,--,--,MS
"Interest Expense, Suppl","5,697","10,086","12,404","3,849","1,366",MS
"Depreciat/Amort, Suppl","1,753","1,844","2,643","3,769","4,216",MS
Total Special Items,--,--,--,231,456,MS
Normalzd Income Before Tax,"10,403","11,237","11,301","14,649","20,124",MS
Efct/SpecItemsIncTxs (STEC),--,--,--,(42),(104),MS
IncTxsExcl ImpctofSpec Itms,"2,968","2,350","2,064","3,197","4,444",MS
Normalized Income After Tax,"7,435","8,887","9,237","11,452","15,680",MS
Normalzd Inc Avail to Common,"6,807","8,226","8,512","10,773","15,126",MS
Basic Normalized EPS,3.82,4.82,5.26,6.72,8.47,MS
Diluted Normalized EPS,3.74,4.73,5.19,6.63,8.34,MS
