items,Q2 2014,Q3 2014,Q4 2014,Q1 2015,ticker
Total Current Assets,8,133,43,0,ROSN
Total Assets,8,133,43,0,ROSN
Payable/Accrued,19,21,24,78,ROSN
Accrued Expenses,8,1,0,--,ROSN
Notes Payable/ST Debt,163,174,143,153,ROSN
Total Current Liabilities,190,195,167,232,ROSN
Total Long Term Debt,0,0,0,0,ROSN
Total Debt,163,174,143,153,ROSN
Total Liabilities,190,195,167,232,ROSN
Common Stock,3,3,3,3,ROSN
Additional Paid-In Capital,283,471,511,511,ROSN
Ret. Earn.(Accum. Deficit),(468),(536),(638),(746),ROSN
Total Equity,(182),(62),(124),(231),ROSN
Total Liabilities & Shareholders’ Equity,8,133,43,0,ROSN
Ttl Comm. Shares Outs.,"26,600","27,100","27,100","27,100",ROSN
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,ROSN
