items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash and Short Term Invs,166,401,313,131,SHW
"Trade Accts Recvble, Gross","2,401","2,841","3,054","2,961",SHW
Prov. for Doubtful Accts,(49),(58),(72),(63),SHW
"Total Receivables, Net","2,413","2,852","3,048","2,973",SHW
Invent. - Finished Goods,"1,379","1,730","1,812","1,926",SHW
Invent. - Work In Progress,548,599,600,622,SHW
Total Inventory,"1,927","2,329","2,412","2,548",SHW
"Other Curr. Assets, Total",548,505,488,466,SHW
Total Current Assets,"5,054","6,086","6,260","6,117",SHW
Buildings,"1,158","1,141","1,137","1,134",SHW
Land/Improvements,258,247,255,246,SHW
Machinery/Equipment,"3,044","3,146","3,125","3,122",SHW
Construction in Progress,205,246,331,453,SHW
Other Prop./Plant/Equip.,"1,821","1,838","1,842","1,853",SHW
Prop./Plant/Equip. - Gross,"6,485","6,617","6,690","6,807",SHW
Accumulated Depreciation,"(2,797)","(2,871)","(2,886)","(2,913)",SHW
Prop./Plant/Equip. - Net,"3,688","3,745","3,804","3,894",SHW
"Goodwill, Net","7,135","7,059","7,106","7,318",SHW
Intangibles - Net,"4,002","4,004","3,955","3,958",SHW
Note Rcvble - Long Term,131,118,110,111,SHW
Other Long Term Assets,658,718,817,847,SHW
Total Assets,"20,667","21,730","22,053","22,246",SHW
Accounts Payable,"2,403","2,861","2,993","2,808",SHW
Accrued Expenses,"1,872","1,703","1,754","1,836",SHW
Notes Payable/ST Debt,764,"1,740","2,012",945,SHW
Curr. Port. LT Dbt/Cap Ls.,261,261,1,1,SHW
Customer Advances,260,211,253,301,SHW
Income Taxes Payable,160,178,186,205,SHW
"Other Curr. Lblts, Total",420,389,438,506,SHW
Total Current Liabilities,"5,720","6,953","7,198","6,096",SHW
Total Long Term Debt,"8,591","8,592","8,594","9,589",SHW
Total Debt,"9,615","10,593","10,606","10,535",SHW
Deferred Income Tax,768,760,754,692,SHW
Reserves,277,273,269,268,SHW
Pension Benefits - Underfunded,259,258,258,257,SHW
Other LT Liabilities,"2,614","2,660","2,756","2,747",SHW
"Other Liabilities, Total","3,151","3,191","3,282","3,271",SHW
Total Liabilities,"18,230","19,496","19,828","19,648",SHW
Common Stock,91,91,91,91,SHW
Ret. Earn.(Accum. Deficit),"2,122","2,342","2,763","3,293",SHW
Treasury Stock - Common,"(2,870)","(3,299)","(3,595)","(3,643)",SHW
Unrealized Gain (Loss),36,35,34,33,SHW
Cum. Trans. Adjustment,(702),(746),(919),"(1,067)",SHW
Other Equity,"3,793","3,843","3,880","3,920",SHW
Min. Pension Lblty Adj.,(32),(31),(30),(29),SHW
"Other Equity, Total","3,059","3,066","2,932","2,824",SHW
Total Equity,"2,437","2,234","2,225","2,598",SHW
Total Liabilities & Shareholders’ Equity,"20,667","21,730","22,053","22,246",SHW
Ttl Comm. Shares Outs.,261,260,259,259,SHW
Trsy. Shrs-Comm. Primary Iss.,11,11,11,11,SHW
