items,2017,2018,2019,2020,2021,ticker
Total Revenue,"4,164","4,642","5,220","4,597","6,285",SKX
"Cost of Revenue, Total","2,225","2,418","2,729","2,408","3,186",SKX
Selling/Gen/Admin Expense,"1,293","1,510","1,681","1,787","2,127",SKX
Advertising Expense,260,278,297,249,375,SKX
"Sell/Gen/AdminExpenses,Tot","1,554","1,788","1,978","2,036","2,502",SKX
Research & Development,19,19,17,18,25,SKX
Unusual Expense (Income),--,--,--,18,--,SKX
"Other Operat Expse, Total",(17),(21),(22),(16),(25),SKX
Total Operating Expense,"3,781","4,204","4,702","4,464","5,687",SKX
Total Operating Income,383,438,518,134,598,SKX
"Inter Expse,Net Non-Operat",(7),(6),(8),(16),(15),SKX
"Inter/Invest Inc, Non-Oper",2,10,12,6,--,SKX
OtherNon-OperatInc (Expnse),6,(10),(7),31,(14),SKX
"Other, Net",6,(10),(7),31,(14),SKX
Income Before Tax,384,432,516,155,570,SKX
Income Tax - Total,49,72,89,24,(245),SKX
Income After Tax,335,360,427,130,815,SKX
Minority Interest,(56),(70),(81),(48),(74),SKX
Net Inc Before Extra Items,279,290,347,83,741,SKX
Total Extraordinary Items,(100),11,--,16,1,SKX
Total Net Income,179,301,347,99,742,SKX
Income Available to Common Excl. Extra. Items,279,290,347,83,741,SKX
Income Available to Common Incl. Extra. Items,179,301,347,99,742,SKX
Basic/Primary Weighted Average Shares,156,156,153,154,156,SKX
Basic/Primary EPS Excl. Extra. Items,1.79,1.86,2.26,0.54,4.76,SKX
Basic/Primary EPS Incl. Extra. Items,1.15,1.93,2.26,0.64,4.77,SKX
Diluted Weighted Average Shares,157,156,154,155,157,SKX
Diluted EPS Excl. Extra. Items,1.78,1.85,2.25,0.53,4.72,SKX
Diluted EPS Incl. Extra. Items,1.14,1.92,2.25,0.64,4.73,SKX
Gross Divid - Common Stock,0,0,0,0,0,SKX
Pro Forma Net Income,--,--,--,--,--,SKX
"Interest Expense, Suppl",7,6,8,16,15,SKX
"Depreciat/Amort, Suppl",83,99,112,143,140,SKX
Total Special Items,--,--,--,18,--,SKX
Normalzd Income Before Tax,384,432,516,173,570,SKX
Efct/SpecItemsIncTxs (STEC),--,--,--,3,--,SKX
IncTxsExcl ImpctofSpec Itms,49,72,89,27,(245),SKX
Normalized Income After Tax,335,360,427,146,815,SKX
Normalzd Inc Avail to Common,279,290,347,98,741,SKX
Basic Normalized EPS,1.79,1.86,2.26,0.64,4.76,SKX
Diluted Normalized EPS,1.78,1.85,2.25,0.63,4.72,SKX
