items,2017,2018,2019,2020,2021,ticker
Total Revenue,"160,546","170,756","181,193","171,760","168,864",TBB
"Cost of Revenue, Total","77,810","79,419","84,141","79,920","79,807",TBB
"Sell/Gen/AdminExpenses,Tot","35,290","36,678","39,490","38,975","38,034",TBB
Depreciation/Amortization,"24,387","28,430","28,217","28,516","22,862",TBB
Impair-Assets Held for Use,--,--,--,"18,880","4,904",TBB
Other Unusual Expnse (In),"3,089",(693),"1,390",(936),(90),TBB
Unusual Expense (Income),"3,089",(693),"1,390","17,944","4,814",TBB
Total Operating Expense,"140,576","143,834","153,238","165,355","145,517",TBB
Total Operating Income,"19,970","26,922","27,955","6,405","23,347",TBB
"Inter Expse, Non-Operating","(7,203)","(8,450)","(8,622)","(8,048)","(7,838)",TBB
"Inter Capital, Non-Operat",903,493,200,123,954,TBB
"Inter Expse,Net Non-Operat","(6,300)","(7,957)","(8,422)","(7,925)","(6,884)",TBB
"Inter/Invest Inc, Non-Oper",(105),(228),207,291,929,TBB
OtherNon-OperatInc (Expnse),"1,574","6,136","(1,272)","(1,627)","9,555",TBB
"Other, Net","1,574","6,136","(1,272)","(1,627)","9,555",TBB
Income Before Tax,"15,139","24,873","18,468","(2,856)","26,947",TBB
Income Tax - Total,"5,563","5,638","3,493",965,"5,468",TBB
Income After Tax,"9,576","19,235","14,975","(3,821)","21,479",TBB
Minority Interest,(397),(583),"(1,072)","(1,355)","(1,398)",TBB
Net Inc Before Extra Items,"9,179","18,652","13,903","(5,176)","20,081",TBB
Total Extraordinary Items,"20,271",718,--,--,--,TBB
Total Net Income,"29,450","19,370","13,903","(5,176)","20,081",TBB
Total Adjust to Net Income,--,--,(3),(193),(207),TBB
Income Available to Common Excl. Extra. Items,"9,179","18,652","13,900","(5,369)","19,874",TBB
Income Available to Common Incl. Extra. Items,"29,450","19,370","13,900","(5,369)","19,874",TBB
Basic/Primary Weighted Average Shares,"6,164","6,778","7,319","7,157","7,168",TBB
Basic/Primary EPS Excl. Extra. Items,1.49,2.75,1.90,(0.75),2.77,TBB
Basic/Primary EPS Incl. Extra. Items,4.78,2.86,1.90,(0.75),2.77,TBB
Dilution Adjustment,13,19,21,--,22,TBB
Diluted Weighted Average Shares,"6,183","6,806","7,348","7,157","7,199",TBB
Diluted EPS Excl. Extra. Items,1.49,2.74,1.89,(0.75),2.76,TBB
Diluted EPS Incl. Extra. Items,4.77,2.85,1.89,(0.75),2.76,TBB
Div/Share-ComStockPrimIssue,1.96,2.00,2.04,2.08,2.08,TBB
Gross Divid - Common Stock,"12,157","14,117","15,028","14,871","14,964",TBB
Pro Forma Net Income,--,--,--,--,--,TBB
"Interest Expense, Suppl","6,300","7,957","17,044","15,973","14,722",TBB
"Interest Capitalized, Suppl",(903),(493),(200),(123),(954),TBB
"Depreciat/Amort, Suppl","19,761","20,103","20,285","20,277","18,629",TBB
Total Special Items,"4,777","1,309","3,046","19,589","5,170",TBB
Normalzd Income Before Tax,"19,916","26,182","21,514","16,733","32,117",TBB
Efct/SpecItemsIncTxs (STEC),"1,755",297,576,"6,856","1,049",TBB
IncTxsExcl ImpctofSpec Itms,"7,318","5,935","4,069","7,821","6,517",TBB
Normalized Income After Tax,"12,598","20,247","17,445","8,912","25,600",TBB
Normalzd Inc Avail to Common,"12,201","19,664","16,370","7,364","23,995",TBB
Basic Normalized EPS,1.98,2.90,2.24,1.03,3.35,TBB
Diluted Normalized EPS,1.98,2.89,2.23,1.03,3.34,TBB
