items,Q1 2022,Q2 2022,Q3 2022,Q4 2022,ticker
Interest & Fees on Loans,"6,011","6,188","7,674","9,793",TD
Inter & Divs/ Invest Securs,"1,442","1,710","2,679","3,919",TD
Interest on Deposits,69,131,429,987,TD
"Interest Income, Bank","7,522","8,029","10,782","14,699",TD
Interest on Deposit,776,"1,047","2,670","5,255",TD
Inter on Other Borrowings,444,605,"1,068","1,814",TD
Total Interest Expense,"1,220","1,652","3,738","7,069",TD
Net Interest Income,"6,302","6,377","7,044","7,630",TD
Loan Loss Provision,72,27,351,617,TD
NetInterIn after Loan Loss Provision,"6,230","6,350","6,693","7,013",TD
Insur Commish Fees& Premium,"1,317","1,347","1,406","1,310",TD
Credit Card Fees,"1,107","1,064","1,146","1,188",TD
Fees for Other Cust Serv,733,704,715,719,TD
Dealer Trading Acct Profit,114,(20),(132),(219),TD
Invest Securities Gains,"1,604","1,495","1,389","1,381",TD
Other Revenue,104,296,(643),"3,554",TD
"Non-Interest Income, Bank","4,979","4,886","3,881","7,933",TD
Labor & Related Expenses,"(3,278)","(3,282)","(3,327)","(3,507)",TD
Amortization of Intangibles,(160),(147),(145),(147),TD
Other Expense,"(3,285)","(3,196)","(3,453)","(3,614)",TD
"Non-Interest Expense, Bank","(6,723)","(6,625)","(6,925)","(7,268)",TD
Income Before Tax,"4,486","4,611","3,649","7,678",TD
Income Tax - Total,984,"1,002",703,"1,297",TD
Income After Tax,"3,502","3,609","2,946","6,381",TD
Equity In Affiliates,231,202,268,290,TD
Net Inc Before Extra Items,"3,733","3,811","3,214","6,671",TD
Total Net Income,"3,733","3,811","3,214","6,671",TD
Total Adjust to Net Income,(43),(66),(43),(107),TD
Income Available to Common Excl. Extra. Items,"3,690","3,745","3,171","6,564",TD
Income Available to Common Incl. Extra. Items,"3,690","3,745","3,171","6,564",TD
Basic/Primary Weighted Average Shares,"1,821","1,805","1,805","1,812",TD
Basic/Primary EPS Excl. Extra. Items,2.03,2.08,1.76,3.62,TD
Basic/Primary EPS Incl. Extra. Items,2.03,2.08,1.76,3.62,TD
Diluted Weighted Average Shares,"1,824","1,808","1,807","1,815",TD
Diluted EPS Excl. Extra. Items,2.02,2.07,1.75,3.62,TD
Diluted EPS Incl. Extra. Items,2.02,2.07,1.75,3.62,TD
Div/Share-ComStockPrimIssue,0.89,0.89,0.00,0.89,TD
Gross Divid - Common Stock,"1,622","1,603","1,604","1,613",TD
Pro Forma Net Income,--,--,--,--,TD
"Depreciat/Amort, Suppl",275,291,285,316,TD
Total Special Items,50,(204),52,103,TD
Normalzd Income Before Tax,"4,536","4,407","3,701","7,781",TD
Efct/SpecItemsIncTxs (STEC),11,(44),10,17,TD
IncTxsExcl ImpctofSpec Itms,995,958,713,"1,314",TD
Normalized Income After Tax,"3,541","3,449","2,988","6,467",TD
Normalzd Inc Avail to Common,"3,729","3,585","3,213","6,650",TD
Basic Normalized EPS,2.05,1.99,1.78,3.67,TD
Diluted Normalized EPS,2.04,1.98,1.78,3.66,TD
