items,2017,2018,2019,2020,2021,ticker
Net Income,129,114,54,(11),221,TEX
Depreciation/Depletion,67,60,50,50,50,TEX
Deferred Taxes,38,(9),(18),6,1,TEX
Discontinued Operations,(69),(2),0,19,(3),TEX
Unusual Items,1,8,74,5,28,TEX
Other Non-Cash Items,73,135,91,44,48,TEX
Non-Cash Items,5,140,164,69,73,TEX
"Cash Interest Pd, Suppl",60,58,71,58,51,TEX
Accounts Receivable,(1),(108),176,16,(139),TEX
Inventories,(34),(284),20,262,(230),TEX
Accounts Payable,25,213,(220),(157),173,TEX
Changes in Working Capital,(85),(210),(77),112,(52),TEX
Total Cash from Operations,153,94,173,225,293,TEX
Capital Expenditures,(44),(104),(109),(65),(60),TEX
Acquisition of Business,--,(7),--,--,(43),TEX
Sale of Business,776,3,178,16,0,TEX
Sale of Fixed Assets,803,2,4,3,2,TEX
Sale/Maturity of Investment,--,20,31,8,--,TEX
Purchase of Investments,--,--,--,--,(2),TEX
Other Investing Cash Flow,0,0,0,0,--,TEX
"OtherInvestCashFlowItms,Tot","1,579",18,213,26,(43),TEX
Total Cash from Investing,"1,536",(86),104,(39),(102),TEX
Financing Cash Flow Items,(32),(19),(21),(12),(23),TEX
Total Cash Dividends Paid,(30),(30),(31),(8),(34),TEX
"Iss (Retirmnt) of Stock,Net",(925),(428),(7),(56),(3),TEX
"Long Term Debt, Net",(36),(1),0,0,(17),TEX
Total Debt Issued,"1,011","1,382","1,617",170,600,TEX
Total Debt Reduction,"(1,594)","(1,150)","(1,661)",(176),"(1,104)",TEX
"Iss (Retirmnt) of Debt, Net",(620),232,(44),(6),(520),TEX
Total Cash From Financing,"(1,607)",(245),(104),(83),(580),TEX
Foreign Exchange Effects,46,(21),(6),26,(14),TEX
Net Change in Cash,128,(258),168,130,(403),TEX
NetCash-BeginBal/RsvdforFutUse,502,630,372,540,670,TEX
NetCash-EndBal/RsrvforFutUse,630,372,540,670,267,TEX
"Depreciation, Supplemental",67,60,50,50,50,TEX
