items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Interest & Fees on Loans,"1,647","1,660","1,886","2,520",UBS
Inter & Divs/ Invest Securs,386,366,284,143,UBS
Other Interest Income,506,526,565,692,UBS
Other Non-Bank Income,--,(1),--,--,UBS
"Interest Income, Bank","2,539","2,551","2,735","3,355",UBS
Total Interest Expense,768,781,"1,070","1,758",UBS
Net Interest Income,"1,771","1,770","1,665","1,597",UBS
Loan Loss Provision,(27),18,7,(3),UBS
NetInterIn after Loan Loss Provision,"1,798","1,752","1,658","1,600",UBS
Fees & Commish from Operat,"6,042","5,837","5,224","4,957",UBS
Invest Securities Gains,--,--,0,--,UBS
Unrealized Gains,"1,365","2,203","1,619","1,796",UBS
Other Unusual Income,(282),--,46,219,UBS
Other Revenue,322,55,813,74,UBS
"Non-Interest Income, Bank","7,447","8,095","7,702","7,046",UBS
Labor & Related Expenses,"(4,159)","(4,871)","(4,422)","(4,216)",UBS
Depreciation Expense,(568),(506),(503),(508),UBS
Amortization of Intangibles,(6),--,--,--,UBS
Litigation Expense,(827),(57),(221),49,UBS
Restructuring Charge,(58),(49),--,--,UBS
Other Expense,"(1,898)","(1,635)","(1,599)","(1,648)",UBS
"Non-Interest Expense, Bank","(7,516)","(7,118)","(6,745)","(6,323)",UBS
Income Before Tax,"1,729","2,729","2,615","2,323",UBS
Income Tax - Total,369,585,497,580,UBS
Income After Tax,"1,360","2,144","2,118","1,743",UBS
Minority Interest,(11),(8),(10),(9),UBS
Net Inc Before Extra Items,"1,349","2,136","2,108","1,734",UBS
Total Net Income,"1,349","2,136","2,108","1,734",UBS
Total Adjust to Net Income,(1),--,--,(1),UBS
Income Available to Common Excl. Extra. Items,"1,348","2,136","2,108","1,733",UBS
Income Available to Common Incl. Extra. Items,"1,348","2,136","2,108","1,733",UBS
Basic/Primary Weighted Average Shares,"3,427","3,380","3,305","3,217",UBS
Basic/Primary EPS Excl. Extra. Items,0.39,0.63,0.64,0.54,UBS
Basic/Primary EPS Incl. Extra. Items,0.39,0.63,0.64,0.54,UBS
Dilution Adjustment,2,0,(5),(1),UBS
Diluted Weighted Average Shares,"3,574","3,529","3,433","3,350",UBS
Diluted EPS Excl. Extra. Items,0.38,0.61,0.61,0.52,UBS
Diluted EPS Incl. Extra. Items,0.38,0.61,0.61,0.52,UBS
Div/Share-ComStockPrimIssue,--,0.00,0.00,0.00,UBS
Gross Divid - Common Stock,"3,400",--,--,--,UBS
Pro Forma Net Income,--,--,--,--,UBS
"Depreciat/Amort, Suppl",568,506,503,508,UBS
Total Special Items,"1,169",106,175,(268),UBS
Normalzd Income Before Tax,"2,898","2,835","2,790","2,055",UBS
Efct/SpecItemsIncTxs (STEC),249,23,33,(67),UBS
IncTxsExcl ImpctofSpec Itms,618,608,530,513,UBS
Normalized Income After Tax,"2,280","2,227","2,260","1,542",UBS
Normalzd Inc Avail to Common,"2,268","2,219","2,250","1,532",UBS
Basic Normalized EPS,0.66,0.66,0.68,0.48,UBS
Diluted Normalized EPS,0.64,0.63,0.65,0.46,UBS
