items,2017,2018,2019,2021,2022,ticker
Total Revenue,"1,223","1,590","1,709","1,734","1,897",WEN
"Cost of Revenue, Total",513,546,611,612,623,WEN
Selling/Gen/Admin Expense,297,309,324,332,375,WEN
Advertising Expense,--,350,368,375,443,WEN
"Sell/Gen/AdminExpenses,Tot",297,658,692,708,819,WEN
Depreciation/Amortization,126,129,132,133,126,WEN
"Inter/Invest Inc, Operating",--,(8),(9),(6),(11),WEN
Restructuring Charge,23,9,17,16,9,WEN
Impair-Assets Held for Use,4,5,7,8,2,WEN
Other Unusual Expnse (In),39,11,7,0,(14),WEN
Unusual Expense (Income),66,25,31,21,(5),WEN
Loss(Gain)/Sale Asts (Oper),--,--,--,(3),(2),WEN
"Other, Net",8,2,(3),(2),(3),WEN
"Other Operat Expse, Total",8,2,(3),(2),(3),WEN
Total Operating Expense,"1,009","1,352","1,455","1,465","1,548",WEN
Total Operating Income,215,238,254,269,349,WEN
"Inter Expse,Net Non-Operat",(118),(120),(116),(118),(109),WEN
"Inter/Invest Inc, Non-Oper",2,450,24,0,0,WEN
OtherNon-OperatInc (Expnse),2,6,9,2,1,WEN
"Other, Net",2,6,9,2,1,WEN
Income Before Tax,101,575,171,153,241,WEN
Income Tax - Total,50,113,35,35,40,WEN
Income After Tax,51,462,137,118,200,WEN
Net Inc Before Extra Items,51,462,137,118,200,WEN
Discontinued Operations,0,--,--,--,--,WEN
Extraordinary Item,143,(2),--,--,--,WEN
Total Extraordinary Items,143,(2),--,--,--,WEN
Total Net Income,194,460,137,118,200,WEN
Income Available to Common Excl. Extra. Items,51,462,137,118,200,WEN
Income Available to Common Incl. Extra. Items,194,460,137,118,200,WEN
Basic/Primary Weighted Average Shares,244,238,230,224,221,WEN
Basic/Primary EPS Excl. Extra. Items,0.21,1.94,0.60,0.53,0.91,WEN
Basic/Primary EPS Incl. Extra. Items,0.79,1.93,0.60,0.53,0.91,WEN
Diluted Weighted Average Shares,252,245,235,228,224,WEN
Diluted EPS Excl. Extra. Items,0.20,1.89,0.58,0.52,0.89,WEN
Diluted EPS Incl. Extra. Items,0.77,1.88,0.58,0.52,0.89,WEN
Div/Share-ComStockPrimIssue,0.28,0.34,0.42,0.29,0.43,WEN
Gross Divid - Common Stock,68,81,96,65,95,WEN
Pro Forma Net Income,--,--,--,--,--,WEN
"Interest Expense, Suppl",118,120,116,118,109,WEN
"Depreciat/Amort, Suppl",78,77,79,80,72,WEN
Total Special Items,66,25,31,21,(5),WEN
Normalzd Income Before Tax,167,600,203,174,236,WEN
Efct/SpecItemsIncTxs (STEC),32,5,6,5,(1),WEN
IncTxsExcl ImpctofSpec Itms,82,117,41,40,39,WEN
Normalized Income After Tax,85,482,162,134,196,WEN
Normalzd Inc Avail to Common,85,482,162,134,196,WEN
Basic Normalized EPS,0.35,2.03,0.70,0.60,0.89,WEN
Diluted Normalized EPS,0.34,1.97,0.69,0.59,0.88,WEN
