items,2017,2018,2019,2020,2021,ticker
Cash and Short Term Invs,"1,522",292,605,730,486,YUM
"Trade Accts Recvble, Gross",419,592,656,579,632,YUM
Prov. for Doubtful Accts,(19),(31),(72),(45),(36),YUM
"Trade Accts Recvble, Net",400,561,584,534,596,YUM
Other Receivables,175,36,39,35,50,YUM
"Total Receivables, Net",575,597,623,569,646,YUM
Total Inventory,13,--,--,--,--,YUM
Prepaid Expenses,159,117,130,125,138,YUM
Restricted Cash - Current,--,151,138,258,250,YUM
Discont. Ops.-Curr. Assets,37,24,25,7,12,YUM
Other Current Assets,201,26,6,--,--,YUM
"Other Curr. Assets, Total",238,201,169,265,262,YUM
Total Current Assets,"2,507","1,207","1,527","1,689","1,532",YUM
Buildings,"1,661","1,349","1,325","1,423","1,403",YUM
Land/Improvements,452,422,408,428,412,YUM
Machinery/Equipment,941,523,505,543,595,YUM
Other Prop./Plant/Equip.,123,59,710,922,876,YUM
Prop./Plant/Equip. - Gross,"3,177","2,353","2,948","3,316","3,286",YUM
Accumulated Depreciation,"(1,480)","(1,116)","(1,136)","(1,230)","(1,270)",YUM
Prop./Plant/Equip. - Net,"1,697","1,237","1,812","2,086","2,016",YUM
"Goodwill, Net",512,525,530,597,657,YUM
Intangibles - Gross,260,535,518,654,730,YUM
Accum. Intangible Amort.,(150),(293),(274),(311),(371),YUM
Intangibles - Net,110,242,244,343,359,YUM
Long Term Investments,--,214,137,0,--,YUM
Def. Inc. Tax - LT Asset,139,195,447,553,724,YUM
Restricted Cash - LT,--,31,25,36,35,YUM
Other Long Term Assets,346,479,509,548,643,YUM
Total Assets,"5,311","4,130","5,231","5,852","5,966",YUM
Accounts Payable,119,202,173,215,227,YUM
Accrued Expenses,273,314,386,518,687,YUM
Notes Payable/ST Debt,0,0,4,0,0,YUM
Curr. Port. LT Dbt/Cap Ls.,375,321,427,453,68,YUM
Dividends Payable,0,--,--,--,--,YUM
Income Taxes Payable,213,117,202,69,13,YUM
Other Current Liabilities,532,347,349,420,420,YUM
"Other Curr. Lblts, Total",745,464,551,489,433,YUM
Total Current Liabilities,"1,512","1,301","1,541","1,675","1,415",YUM
Long Term Debt,"9,429","9,751","10,061","10,207","11,121",YUM
Capital Lease Obligations,--,--,70,65,57,YUM
Total Long Term Debt,"9,429","9,751","10,131","10,272","11,178",YUM
Total Debt,"9,804","10,072","10,562","10,725","11,246",YUM
"Other Liabilities, Total",704,"1,004","1,575","1,796","1,746",YUM
Total Liabilities,"11,645","12,056","13,247","13,743","14,339",YUM
Common Stock,0,0,0,0,0,YUM
Ret. Earn.(Accum. Deficit),"(6,063)","(7,592)","(7,628)","(7,480)","(8,048)",YUM
Cum. Trans. Adjustment,(174),(245),(221),(182),(206),YUM
Min. Pension Lblty Adj.,(106),(82),(104),(96),(34),YUM
Other Comprehensive Income,9,(7),(63),(133),(85),YUM
"Other Equity, Total",(271),(334),(388),(411),(325),YUM
Total Equity,"(6,334)","(7,926)","(8,016)","(7,891)","(8,373)",YUM
Total Liabilities & Shareholders’ Equity,"5,311","4,130","5,231","5,852","5,966",YUM
Ttl Comm. Shares Outs.,332,306,300,300,289,YUM
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,0,YUM
