items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Net Income,"1,023",110,193,420,YUMC
Depreciation/Depletion,516,164,317,467,YUMC
Deferred Taxes,160,1,(7),(7),YUMC
Unusual Items,87,39,33,52,YUMC
Equity in Net Earnings/Loss,(672),0,0,0,YUMC
Other Non-Cash Items,465,131,251,364,YUMC
Non-Cash Items,(120),170,284,416,YUMC
"Cash Taxes Pd, Supplemental",255,23,93,124,YUMC
Accounts Receivable,(5),(2),(17),(6),YUMC
Inventories,(16),88,59,71,YUMC
Prepaid Expenses,(28),38,24,216,YUMC
Accrued Expenses,(461),(106),(198),(299),YUMC
Payable/Accrued,118,(322),(51),(19),YUMC
Changes in Working Capital,(448),(274),(178),33,YUMC
Total Cash from Operations,"1,131",171,609,"1,329",YUMC
Capital Expenditures,(689),(205),(347),(509),YUMC
Acquisition of Business,(115),(23),(23),(23),YUMC
Sale/Maturity of Investment,"6,383","1,281","2,461","4,226",YUMC
Purchase of Investments,"(6,439)","(1,041)","(2,145)","(4,290)",YUMC
Other Investing Cash Flow,5,1,2,3,YUMC
"OtherInvestCashFlowItms,Tot",(166),218,295,(84),YUMC
Total Cash from Investing,(855),13,(52),(593),YUMC
Financing Cash Flow Items,(35),1,(12),(20),YUMC
Total Cash Dividends Paid,(203),(51),(101),(152),YUMC
Sale/Issuance of Common,0,--,--,--,YUMC
Repurch/Retirement Common,(75),(224),(400),(411),YUMC
"Iss (Retirmnt) of Stock,Net",(75),(224),(400),(411),YUMC
Total Cash From Financing,(313),(274),(513),(583),YUMC
Foreign Exchange Effects,15,1,(33),(78),YUMC
Net Change in Cash,(22),(89),11,75,YUMC
NetCash-BeginBal/RsvdforFutUse,"1,158","1,136","1,136","1,136",YUMC
NetCash-EndBal/RsrvforFutUse,"1,136","1,047","1,147","1,211",YUMC
"Depreciation, Supplemental",516,164,317,467,YUMC
