items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash & Equivalents,"7,989","6,528","5,203","9,502",AMGN
Short Term Investments,48,16,"1,980","1,976",AMGN
Cash and Short Term Invs,"8,037","6,544","7,183","11,478",AMGN
"Total Receivables, Net","4,895","5,077","5,327","5,326",AMGN
Invent. - Finished Goods,"1,072","1,079","1,012","1,027",AMGN
Invent. - Work In Progress,"2,367","2,582","2,763","2,929",AMGN
Invent. - Raw Materials,647,750,779,801,AMGN
Total Inventory,"4,086","4,411","4,554","4,757",AMGN
"Other Curr. Assets, Total","2,367","2,488","2,258","2,501",AMGN
Total Current Assets,"19,385","18,520","19,322","24,062",AMGN
Prop./Plant/Equip. - Net,"5,184","5,142","5,158","5,188",AMGN
"Goodwill, Net","14,890","14,897","14,865","14,845",AMGN
Intangibles - Gross,"33,169","33,171","33,118","33,037",AMGN
Accum. Intangible Amort.,"(17,987)","(18,604)","(19,191)","(19,771)",AMGN
Intangibles - Net,"15,182","14,567","13,927","13,266",AMGN
Other Long Term Assets,"6,524","6,070","6,022","6,339",AMGN
Total Assets,"61,165","59,196","59,294","63,700",AMGN
Accounts Payable,"1,366","1,403","1,256","1,204",AMGN
Accrued Expenses,"10,731","10,639","10,545","11,584",AMGN
Notes Payable/ST Debt,0,0,0,0,AMGN
Curr. Port. LT Dbt/Cap Ls.,87,844,817,"1,543",AMGN
Total Current Liabilities,"12,184","12,886","12,618","14,331",AMGN
Total Long Term Debt,"33,222","36,010","35,705","37,161",AMGN
Total Debt,"33,309","36,854","36,522","38,704",AMGN
"Other Liabilities, Total","9,059","9,384","8,552","8,555",AMGN
Total Liabilities,"54,465","58,280","56,875","60,047",AMGN
Common Stock,"32,096","31,247","31,343","32,371",AMGN
Ret. Earn.(Accum. Deficit),"(24,600)","(29,568)","(28,252)","(28,066)",AMGN
Unrealized Gain (Loss),--,0,--,--,AMGN
Cum. Trans. Adjustment,(844),(895),(960),"(1,069)",AMGN
Other Comprehensive Income,48,132,288,417,AMGN
"Other Equity, Total",(796),(763),(672),(652),AMGN
Total Equity,"6,700",916,"2,419","3,653",AMGN
Total Liabilities & Shareholders’ Equity,"61,165","59,196","59,294","63,700",AMGN
Ttl Comm. Shares Outs.,558,534,535,534,AMGN
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,AMGN
