items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Total Revenue,"4,952","2,965","2,857","2,936",REGN
"Cost of Revenue, Total",983,405,297,318,REGN
Selling/Gen/Admin Expense,495,389,419,469,REGN
Labor & Related Expense,64,61,58,60,REGN
"Sell/Gen/AdminExpenses,Tot",560,450,476,529,REGN
Research & Development,786,844,794,911,REGN
Unusual Expense (Income),--,28,197,0,REGN
"Other Operat Expse, Total",(16),(20),(17),(46),REGN
Total Operating Expense,"2,312","1,707","1,747","1,713",REGN
Total Operating Income,"2,640","1,259","1,110","1,224",REGN
"Inter Expse,Net Non-Operat",(14),(14),(13),(15),REGN
"Inter/Invest Inc, Non-Oper",(138),(211),(164),254,REGN
OtherNon-OperatInc (Expnse),16,27,30,47,REGN
"Other, Net",16,27,30,47,REGN
Income Before Tax,"2,503","1,061",963,"1,510",REGN
Income Tax - Total,274,88,111,194,REGN
Income After Tax,"2,229",974,852,"1,316",REGN
Net Inc Before Extra Items,"2,229",974,852,"1,316",REGN
Total Net Income,"2,229",974,852,"1,316",REGN
Income Available to Common Excl. Extra. Items,"2,229",974,852,"1,316",REGN
Income Available to Common Incl. Extra. Items,"2,229",974,852,"1,316",REGN
Basic/Primary Weighted Average Shares,106,107,108,107,REGN
Basic/Primary EPS Excl. Extra. Items,20.97,9.12,7.90,12.31,REGN
Basic/Primary EPS Incl. Extra. Items,20.97,9.12,7.90,12.31,REGN
Diluted Weighted Average Shares,113,113,114,113,REGN
Diluted EPS Excl. Extra. Items,19.66,8.61,7.47,11.66,REGN
Diluted EPS Incl. Extra. Items,19.66,8.61,7.47,11.66,REGN
Div/Share-ComStockPrimIssue,--,0.00,0.00,0.00,REGN
Pro Forma Net Income,--,--,--,--,REGN
"Interest Expense, Suppl",14,14,13,15,REGN
"Depreciat/Amort, Suppl",75,74,74,93,REGN
Total Special Items,--,28,197,0,REGN
Normalzd Income Before Tax,"2,503","1,089","1,160","1,510",REGN
Efct/SpecItemsIncTxs (STEC),--,0,0,0,REGN
IncTxsExcl ImpctofSpec Itms,274,88,111,194,REGN
Normalized Income After Tax,"2,229","1,002","1,049","1,316",REGN
Normalzd Inc Avail to Common,"2,229","1,002","1,049","1,316",REGN
Basic Normalized EPS,20.97,9.38,9.72,12.31,REGN
Diluted Normalized EPS,19.66,8.86,9.20,11.66,REGN
