items,2017,2018,2019,2020,2021,ticker
Cash and Short Term Invs,"8,985","6,152","4,937","8,802","7,832",RTX
"Trade Accts Recvble, Gross","13,051","14,759","8,997","9,800","10,136",RTX
Prov. for Doubtful Accts,(456),(488),(254),(546),(475),RTX
"Total Receivables, Net","12,595","17,757","13,205","19,185","21,022",RTX
Invent. - Finished Goods,"3,845","4,358","3,477","3,472","3,069",RTX
Invent. - Work In Progress,"4,234","2,673","2,586","2,924","3,085",RTX
Invent. - Raw Materials,"2,038","3,052","2,984","3,015","3,024",RTX
Inventories - Other,(236),0,--,--,--,RTX
Total Inventory,"9,881","10,083","9,047","9,411","9,178",RTX
Discont. Ops.-Curr. Assets,--,--,"31,823",64,--,RTX
Other Current Assets,"1,397","1,511","2,565","5,914","4,018",RTX
"Other Curr. Assets, Total","1,397","1,511","34,388","5,978","4,018",RTX
Total Current Assets,"32,858","35,503","61,577","43,376","42,050",RTX
Buildings,"5,727","6,486","4,978","7,067","7,271",RTX
Land/Improvements,412,425,292,773,765,RTX
Machinery/Equipment,"13,476","15,119","12,936","15,994","16,729",RTX
Construction in Progress,"1,749","2,054","1,871","2,512","2,872",RTX
Other Prop./Plant/Equip.,--,--,"1,252","1,880","1,958",RTX
Prop./Plant/Equip. - Gross,"21,364","24,084","21,329","28,226","29,595",RTX
Accumulated Depreciation,"(11,178)","(11,787)","(9,755)","(11,384)","(12,665)",RTX
Prop./Plant/Equip. - Net,"10,186","12,297","11,574","16,842","16,930",RTX
"Goodwill, Net","27,910","48,112","36,609","54,285","54,436",RTX
Intangibles - Gross,"22,134","33,477","29,311","47,471","47,884",RTX
Accum. Intangible Amort.,"(6,251)","(7,053)","(4,838)","(6,932)","(9,368)",RTX
Intangibles - Net,"15,883","26,424","24,473","40,539","38,516",RTX
Long Term Investments,"2,372","3,023","3,463","3,144","2,848",RTX
Note Rcvble - Long Term,--,--,"4,462","9,931","11,361",RTX
Other Long Term Assets,"5,988","7,206","(2,543)","(5,964)","(4,737)",RTX
Total Assets,"96,920","134,211","139,615","162,153","161,404",RTX
Accounts Payable,"9,579","11,080","7,816","8,639","8,751",RTX
Accrued Expenses,"4,135","4,628","9,770","13,407","12,820",RTX
Notes Payable/ST Debt,392,"1,469","2,293",247,134,RTX
Curr. Port. LT Dbt/Cap Ls.,"2,104","2,876","3,258",550,24,RTX
Customer Advances,"4,547","5,720","9,014","12,889","13,720",RTX
Income Taxes Payable,285,460,--,--,--,RTX
Discontinued Operations,--,40,"14,443",116,--,RTX
Other Current Liabilities,"3,349","5,095",--,--,--,RTX
"Other Curr. Lblts, Total","8,181","11,315","23,457","13,005","13,720",RTX
Total Current Liabilities,"24,391","31,368","46,594","35,848","35,449",RTX
Total Long Term Debt,"24,989","41,192","37,701","31,026","31,327",RTX
Total Debt,"27,485","45,537","43,252","31,823","31,485",RTX
Minority Interest,"1,942","2,273","2,552","1,721","1,631",RTX
Pension Benefits - Underfunded,"3,036","4,018","2,487","10,342","7,855",RTX
Other LT Liabilities,"12,952","16,914","8,507","11,053","12,074",RTX
"Other Liabilities, Total","15,988","20,932","10,994","21,395","19,929",RTX
Total Liabilities,"67,310","95,765","97,841","89,990","88,336",RTX
"Pref. Stock-Non Rdmbl, Net",0,0,--,--,--,RTX
Common Stock,"17,574","22,514","23,019","36,930","37,483",RTX
Ret. Earn.(Accum. Deficit),"55,242","57,823","61,594","49,423","50,265",RTX
Treasury Stock - Common,"(35,596)","(32,482)","(32,626)","(10,407)","(12,727)",RTX
ESOP Debt Guarantee,(85),(76),(64),(49),(38),RTX
Unrealized Gain (Loss),5,0,--,--,--,RTX
Cum. Trans. Adjustment,"(2,950)","(3,442)","(3,211)",710,49,RTX
Min. Pension Lblty Adj.,"(4,652)","(5,718)","(6,772)","(4,483)","(1,828)",RTX
Other Comprehensive Income,72,(173),(166),39,(136),RTX
"Other Equity, Total","(7,530)","(9,333)","(10,149)","(3,734)","(1,915)",RTX
Total Equity,"29,610","38,446","41,774","72,163","73,068",RTX
Total Liabilities & Shareholders’ Equity,"96,920","134,211","139,615","162,153","161,404",RTX
Ttl Comm. Shares Outs.,799,861,864,"1,519","1,493",RTX
Trsy. Shrs-Comm. Primary Iss.,645,585,586,187,215,RTX
