items,Q1 2022,Q2 2022,Q3 2022,Q4 2022,ticker
Net Income,"30,305","78,211","117,657","171,698",WWD
Depreciation/Depletion,"30,721","61,331","91,258","120,628",WWD
Deferred Taxes,0,(55),(56),"(23,226)",WWD
Unusual Items,"(1,538)","(1,541)","(1,545)","(1,775)",WWD
Other Non-Cash Items,"11,892","13,957","17,136","20,109",WWD
Non-Cash Items,"10,354","12,416","15,591","18,334",WWD
"Cash Taxes Pd, Supplemental","(1,008)","14,397","18,385","22,079",WWD
"Cash Interest Pd, Suppl","11,244","12,458","23,509","27,435",WWD
Accounts Receivable,"18,840","(50,304)","(71,637)","(98,831)",WWD
Inventories,"(32,890)","(67,263)","(93,818)","(110,196)",WWD
Payable/Accrued,"(32,142)","15,454","36,117","122,963",WWD
Changes in Working Capital,"(32,090)","(101,795)","(138,434)","(93,796)",WWD
Total Cash from Operations,"39,290","50,108","86,016","193,638",WWD
Capital Expenditures,"(13,123)","(24,150)","(37,105)","(52,868)",WWD
Acquisition of Business,--,--,--,"(21,549)",WWD
Sale of Business,--,--,"6,000","6,000",WWD
Sale of Fixed Assets,1,5,4,43,WWD
Sale/Maturity of Investment,7,"11,305","11,305","12,557",WWD
Purchase of Investments,0,(8),"(9,619)","(9,632)",WWD
"OtherInvestCashFlowItms,Tot",8,"11,302","7,690","(12,581)",WWD
Total Cash from Investing,"(13,115)","(12,848)","(29,415)","(65,449)",WWD
Total Cash Dividends Paid,"(10,247)","(22,134)","(33,572)","(44,978)",WWD
Sale/Issuance of Common,"3,198","19,399","20,283","21,897",WWD
Repurch/Retirement Common,"(39,258)","(273,535)","(440,233)","(485,300)",WWD
"Iss (Retirmnt) of Stock,Net","(36,060)","(254,136)","(419,950)","(463,403)",WWD
Short Term Debt Issued,0,"11,500","477,400","952,000",WWD
Short Term Debt Reduction,0,"(11,500)","(428,200)","(885,200)",WWD
"Short Term Debt, Net",0,0,"49,200","66,800",WWD
"Long Term Debt, Net",(381),(564),(644),(797),WWD
"Iss (Retirmnt) of Debt, Net",(381),(564),"48,556","66,003",WWD
Total Cash From Financing,"(46,688)","(276,834)","(404,966)","(442,378)",WWD
Foreign Exchange Effects,(967),(533),(396),"(26,429)",WWD
Net Change in Cash,"(21,480)","(240,107)","(348,761)","(340,618)",WWD
NetCash-BeginBal/RsvdforFutUse,"448,462","448,462","448,462","448,462",WWD
NetCash-EndBal/RsrvforFutUse,"426,982","208,355","99,701","107,844",WWD
"Depreciation, Supplemental","30,721","61,331","91,258","120,628",WWD
