items,2018,2019,2020,2021,2022,ticker
Net Income,"2,371","3,257","2,753","5,965","7,130",DE
Depreciation/Depletion,"1,927","2,019","2,118","2,050","1,895",DE
Deferred Taxes,"1,480",(465),(11),(441),(66),DE
Unusual Items,(25),82,218,50,88,DE
Equity in Net Earnings/Loss,(26),9,(7),2,(326),DE
Other Non-Cash Items,174,125,191,76,277,DE
Non-Cash Items,123,216,402,128,39,DE
"Cash Taxes Pd, Supplemental",712,"1,111","1,069","2,075","1,940",DE
"Cash Interest Pd, Suppl","1,176","1,460","1,279","1,041","1,101",DE
Accounts Receivable,"(1,531)",(869),"2,009",969,"(2,483)",DE
Inventories,"(1,772)",(780),397,"(2,497)","(2,091)",DE
Payable/Accrued,722,46,(7),"1,884","1,133",DE
Changes in Working Capital,"(4,079)","(1,615)","2,221",24,"(4,299)",DE
Total Cash from Operations,"1,822","3,412","7,483","7,726","4,699",DE
Capital Expenditures,"(2,950)","(3,449)","(2,656)","(2,580)","(3,788)",DE
Acquisition of Business,"(5,245)",--,(66),(244),(498),DE
Sale of Business,156,93,--,--,--,DE
Sale of Fixed Assets,"1,483","1,648","1,783","2,094","2,093",DE
Sale/Maturity of Investment,76,89,93,109,--,DE
"Investment, Net",--,--,268,(281),(642),DE
Purchase of Investments,(133),(140),(130),(194),--,DE
Other Investing Cash Flow,"(1,563)","(2,165)","(2,611)","(4,654)","(5,650)",DE
"OtherInvestCashFlowItms,Tot","(5,226)",(475),(663),"(3,170)","(4,697)",DE
Total Cash from Investing,"(8,176)","(3,924)","(3,319)","(5,750)","(8,485)",DE
Financing Cash Flow Items,(93),(116),(133),(98),(92),DE
Total Cash Dividends Paid,(806),(943),(956),"(1,040)","(1,313)",DE
Sale/Issuance of Common,217,178,331,148,63,DE
Repurch/Retirement Common,(958),"(1,253)",(750),"(2,538)","(3,597)",DE
"Iss (Retirmnt) of Stock,Net",(741),"(1,075)",(419),"(2,390)","(3,534)",DE
"Short Term Debt, Net",473,(917),"(1,360)",818,"3,852",DE
Long Term Debt Issued,"8,288","9,986","9,271","8,722","10,358",DE
Long Term Debt Reduction,"(6,245)","(6,426)","(7,383)","(7,090)","(8,445)",DE
"Long Term Debt, Net","2,043","3,560","1,888","1,632","1,913",DE
"Iss (Retirmnt) of Debt, Net","2,516","2,643",528,"2,450","5,765",DE
Total Cash From Financing,876,509,(980),"(1,078)",826,DE
Foreign Exchange Effects,26,(56),32,55,(224),DE
Net Change in Cash,"(5,452)",(59),"3,216",953,"(3,184)",DE
NetCash-BeginBal/RsvdforFutUse,"9,467","4,015","3,956","7,172","8,125",DE
NetCash-EndBal/RsrvforFutUse,"4,015","3,956","7,172","8,125","4,941",DE
"Depreciation, Supplemental","1,927","2,019","2,118","2,050","1,895",DE
