items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Total Revenue,990,"1,003","1,077","1,121",TEX
"Cost of Revenue, Total",818,817,864,883,TEX
"Sell/Gen/AdminExpenses,Tot",102,111,109,116,TEX
Unusual Expense (Income),2,0,0,0,TEX
Total Operating Expense,922,928,973,"1,000",TEX
Total Operating Income,68,75,104,121,TEX
"Inter Expse,Net Non-Operat",(11),(11),(12),(14),TEX
"Inter/Invest Inc, Non-Oper",1,1,0,1,TEX
OtherNon-OperatInc (Expnse),10,0,(3),(1),TEX
"Other, Net",10,0,(3),(1),TEX
Income Before Tax,68,64,89,107,TEX
Income Tax - Total,10,12,15,26,TEX
Income After Tax,58,52,74,82,TEX
Net Inc Before Extra Items,58,52,74,82,TEX
Total Extraordinary Items,1,0,0,0,TEX
Total Net Income,59,52,74,82,TEX
Income Available to Common Excl. Extra. Items,58,52,74,82,TEX
Income Available to Common Incl. Extra. Items,59,52,74,82,TEX
Basic/Primary Weighted Average Shares,70,70,69,68,TEX
Basic/Primary EPS Excl. Extra. Items,0.83,0.75,1.08,1.21,TEX
Basic/Primary EPS Incl. Extra. Items,0.84,0.74,1.08,1.21,TEX
Diluted Weighted Average Shares,71,71,69,68,TEX
Diluted EPS Excl. Extra. Items,0.81,0.74,1.07,1.20,TEX
Diluted EPS Incl. Extra. Items,0.83,0.73,1.07,1.20,TEX
Div/Share-ComStockPrimIssue,0.13,0.13,0.13,0.13,TEX
Gross Divid - Common Stock,9,9,9,9,TEX
Pro Forma Net Income,--,--,--,--,TEX
"Interest Expense, Suppl",11,11,12,14,TEX
"Depreciat/Amort, Suppl",12,11,11,11,TEX
Total Special Items,2,0,0,0,TEX
Normalzd Income Before Tax,70,64,89,107,TEX
Efct/SpecItemsIncTxs (STEC),0,0,0,0,TEX
IncTxsExcl ImpctofSpec Itms,11,12,15,26,TEX
Normalized Income After Tax,59,52,74,82,TEX
Normalzd Inc Avail to Common,59,52,74,82,TEX
Basic Normalized EPS,0.85,0.75,1.08,1.21,TEX
Diluted Normalized EPS,0.83,0.74,1.07,1.20,TEX
