items,2018,2019,2020,2021,2022,ticker
Cash & Equivalents,"8,934","11,771","11,809","9,175","7,079",CSCO
Short Term Investments,"37,614","21,663","17,610","15,343","12,188",CSCO
Cash and Short Term Invs,"46,548","33,434","29,419","24,518","19,267",CSCO
"Trade Accts Recvble, Gross","5,683","5,627","5,615","5,875","6,705",CSCO
Prov. for Doubtful Accts,(129),(136),(143),(109),(83),CSCO
"Trade Accts Recvble, Net","5,554","6,351","6,672","7,166","7,922",CSCO
Notes Recvble - Short Term,"4,949","5,095","5,051","4,380","3,905",CSCO
"Total Receivables, Net","10,503","11,446","11,723","11,546","11,827",CSCO
Invent. - Finished Goods,"1,132",752,601,519,717,CSCO
Invent. - Work In Progress,0,10,25,54,150,CSCO
Invent. - Raw Materials,681,599,640,975,"1,691",CSCO
Inventories - Other,33,22,16,11,10,CSCO
Total Inventory,"1,846","1,383","1,282","1,559","2,568",CSCO
"Other Curr. Assets, Total","2,940","1,492","1,149","1,489","3,055",CSCO
Total Current Assets,"61,837","47,755","43,573","39,112","36,717",CSCO
Land/Improvements,"4,710","4,545","4,252","4,304","4,219",CSCO
Machinery/Equipment,"6,819","6,633","6,038","5,964","5,426",CSCO
Leases,356,485,337,273,185,CSCO
Other Prop./Plant/Equip.,358,376,"1,308","1,472","1,338",CSCO
Prop./Plant/Equip. - Gross,"12,243","12,039","11,935","12,013","11,168",CSCO
Accumulated Depreciation,"(9,237)","(9,250)","(8,561)","(8,580)","(8,168)",CSCO
Prop./Plant/Equip. - Net,"3,006","2,789","3,374","3,433","3,000",CSCO
"Goodwill, Net","31,706","33,529","33,806","38,168","38,304",CSCO
Intangibles - Gross,"5,415","4,487","4,297","5,592","4,456",CSCO
Accum. Intangible Amort.,"(2,863)","(2,286)","(2,721)","(1,973)","(1,887)",CSCO
Intangibles - Net,"2,552","2,201","1,576","3,619","2,569",CSCO
LT Invt. - Affiliate Comp.,118,87,71,--,--,CSCO
LT Investments - Other,978,"1,113","1,207",--,--,CSCO
Long Term Investments,"1,096","1,200","1,278",--,--,CSCO
Note Rcvble - Long Term,"4,882","5,818","5,714","4,884","4,009",CSCO
Def. Inc. Tax - LT Asset,"3,219","4,065","3,990","4,360","4,449",CSCO
Restricted Cash - LT,--,1,3,753,"1,500",CSCO
Other Long Term Assets,486,435,"1,539","3,168","3,454",CSCO
Total Assets,"108,784","97,793","94,853","97,497","94,002",CSCO
Accounts Payable,"1,904","2,059","2,218","2,362","2,281",CSCO
Accrued Expenses,"2,986","3,221","3,463","4,155","3,638",CSCO
Notes Payable/ST Debt,0,"4,193",0,0,600,CSCO
Curr. Port. LT Dbt/Cap Ls.,"5,238","5,998","3,005","2,508",499,CSCO
Customer Advances,"11,490","10,668","11,406","12,148","12,784",CSCO
Income Taxes Payable,"1,004","1,149",839,801,961,CSCO
Other Current Liabilities,"4,413","4,424","4,400","4,283","4,877",CSCO
"Other Curr. Lblts, Total","16,907","16,241","16,645","17,232","18,622",CSCO
Total Current Liabilities,"27,035","31,712","25,331","26,257","25,640",CSCO
Total Long Term Debt,"20,331","14,475","11,578","9,018","8,416",CSCO
Total Debt,"25,569","24,666","14,583","11,526","9,515",CSCO
Deferred Income Tax,141,95,81,134,55,CSCO
Minority Interest,0,0,--,--,--,CSCO
Pension Benefits - Underfunded,651,678,704,845,760,CSCO
Other LT Liabilities,"17,422","17,262","19,239","19,968","19,358",CSCO
"Other Liabilities, Total","18,073","17,940","19,943","20,813","20,118",CSCO
Total Liabilities,"65,580","64,222","56,933","56,222","54,229",CSCO
"Pref. Stock-Non Rdmbl, Net",0,0,0,0,0,CSCO
Common Stock,"42,820","40,266","41,202","42,346","42,714",CSCO
Ret. Earn.(Accum. Deficit),"1,233","(5,903)","(2,763)",(654),"(1,319)",CSCO
Unrealized Gain (Loss),(310),0,315,182,(379),CSCO
Cum. Trans. Adjustment,(528),(778),(828),(598),"(1,287)",CSCO
Other Comprehensive Income,(11),(14),(6),(1),44,CSCO
"Other Equity, Total",(539),(792),(834),(599),"(1,243)",CSCO
Total Equity,"43,204","33,571","37,920","41,275","39,773",CSCO
Total Liabilities & Shareholders’ Equity,"108,784","97,793","94,853","97,497","94,002",CSCO
Ttl Comm. Shares Outs.,"4,614","4,250","4,237","4,217","4,110",CSCO
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,0,CSCO
