items,Q4 2022,Q1 2023,Q2 2023,Q3 2023,ticker
Cash and Short Term Invs,"9,477","6,654","5,507","4,909",DELL
"Trade Accts Recvble, Gross","13,002","11,909","13,506","11,506",DELL
Prov. for Doubtful Accts,(90),(72),(75),(75),DELL
"Trade Accts Recvble, Net","12,912","11,837","13,431","11,431",DELL
Notes Recvble - Short Term,"5,089","4,796","4,860","4,915",DELL
"Total Receivables, Net","18,001","16,633","18,291","16,346",DELL
Invent. - Finished Goods,"1,390","1,269","1,387","1,099",DELL
Invent. - Work In Progress,855,885,892,954,DELL
Invent. - Raw Materials,"3,653","4,123","3,604","4,119",DELL
Total Inventory,"5,898","6,277","5,883","6,172",DELL
Restricted Cash - Current,534,546,571,300,DELL
Discont. Ops.-Curr. Assets,0,--,--,--,DELL
Other Current Assets,"11,123","11,266","12,010","11,060",DELL
"Other Curr. Assets, Total","11,657","11,812","12,581","11,360",DELL
Total Current Assets,"45,033","41,376","42,262","38,787",DELL
Land/Improvements,"3,095","3,052","3,008","3,020",DELL
Machinery/Equipment,"9,211","9,649","10,231","10,655",DELL
Other Prop./Plant/Equip.,871,837,784,727,DELL
Prop./Plant/Equip. - Gross,"13,177","13,538","14,023","14,402",DELL
Accumulated Depreciation,"(6,891)","(7,185)","(7,467)","(7,828)",DELL
Prop./Plant/Equip. - Net,"6,286","6,353","6,556","6,574",DELL
"Goodwill, Net","19,770","19,598","19,505","19,366",DELL
Intangibles - Gross,"30,561","30,560","30,559","30,558",DELL
Accum. Intangible Amort.,"(23,100)","(23,343)","(23,587)","(23,830)",DELL
Intangibles - Net,"7,461","7,217","6,972","6,728",DELL
Long Term Investments,"1,839","1,868","1,520","1,534",DELL
Note Rcvble - Long Term,"5,522","5,398","5,450","5,659",DELL
Disct. Ops. - LT Asset,0,--,--,--,DELL
Restricted Cash - LT,71,76,15,15,DELL
Other Long Term Assets,"6,753","6,520","6,495","6,509",DELL
Total Assets,"92,735","88,406","88,775","85,172",DELL
Accounts Payable,"27,143","25,585","25,339","22,507",DELL
Accrued Expenses,"7,578","6,598","6,810","7,915",DELL
Notes Payable/ST Debt,0,0,0,0,DELL
Curr. Port. LT Dbt/Cap Ls.,"5,823","5,925","6,647","6,767",DELL
Customer Advances,"14,261","14,329","14,724","14,106",DELL
Other Payables,"1,414",622,"1,269",712,DELL
Discontinued Operations,0,--,--,--,DELL
"Other Curr. Lblts, Total","15,675","14,951","15,993","14,818",DELL
Total Current Liabilities,"56,219","53,059","54,789","52,007",DELL
Total Long Term Debt,"21,131","21,197","20,287","20,562",DELL
Total Debt,"26,954","27,122","26,934","27,329",DELL
Minority Interest,105,107,105,101,DELL
Other LT Liabilities,"16,965","16,505","16,454","15,971",DELL
Discont. Ops. - Lblts,0,--,--,--,DELL
"Other Liabilities, Total","16,965","16,505","16,454","15,971",DELL
Total Liabilities,"94,420","90,868","91,635","88,641",DELL
Redeemable Preferred Stock,0,--,--,--,DELL
Common Stock,8,7,7,8,DELL
Additional Paid-In Capital,"7,890","7,770","7,998","8,208",DELL
Ret. Earn.(Accum. Deficit),"(8,188)","(7,369)","(7,106)","(7,102)",DELL
Treasury Stock - Common,(964),"(2,446)","(3,054)","(3,663)",DELL
Cum. Trans. Adjustment,(526),(812),(949),"(1,145)",DELL
Min. Pension Lblty Adj.,(34),(17),(21),(22),DELL
Other Comprehensive Income,129,405,265,247,DELL
"Other Equity, Total",(431),(424),(705),(920),DELL
Total Equity,"(1,685)","(2,462)","(2,860)","(3,469)",DELL
Total Liabilities & Shareholders’ Equity,"92,735","88,406","88,775","85,172",DELL
Shr Outs.-Com. Primary Iss.,283,273,260,244,DELL
Shr Outs.-Com. Stk. Iss. 2,379,379,379,379,DELL
Shr Outs.-Com. Stk. Iss. 3,95,95,95,95,DELL
Ttl Comm. Shares Outs.,757,747,734,718,DELL
Trsy. Shrs-Comm. Primary Iss.,20,48,62,79,DELL
Trsy. Shrs-Comm. Iss. 2,0,0,0,0,DELL
Trsy. Shrs-Comm. Iss. 3,0,0,0,0,DELL
