items,Q4 2022,Q1 2023,Q2 2023,Q3 2023,ticker
Total Revenue,"1,071","1,074","1,099","1,102",ZM
"Cost of Revenue, Total",257,262,274,271,ZM
Selling/Gen/Admin Expense,349,358,383,391,ZM
Labor & Related Expense,96,122,149,178,ZM
"Sell/Gen/AdminExpenses,Tot",445,481,532,569,ZM
Research & Development,117,144,173,196,ZM
Total Operating Expense,820,887,978,"1,035",ZM
Total Operating Income,252,187,122,67,ZM
"Inter/Invest Inc, Non-Oper",(120),(36),(35),(7),ZM
OtherNon-OperatInc (Expnse),6,(7),3,(5),ZM
"Other, Net",6,(7),3,(5),ZM
Income Before Tax,139,144,90,55,ZM
Income Tax - Total,(352),30,45,6,ZM
Income After Tax,491,114,46,48,ZM
Net Inc Before Extra Items,491,114,46,48,ZM
Total Net Income,491,114,46,48,ZM
Total Adjust to Net Income,0,0,0,0,ZM
Income Available to Common Excl. Extra. Items,490,114,46,48,ZM
Income Available to Common Incl. Extra. Items,490,114,46,48,ZM
Basic/Primary Weighted Average Shares,298,299,299,342,ZM
Basic/Primary EPS Excl. Extra. Items,1.64,0.38,0.15,0.14,ZM
Basic/Primary EPS Incl. Extra. Items,1.64,0.38,0.15,0.14,ZM
Diluted Weighted Average Shares,306,307,307,353,ZM
Diluted EPS Excl. Extra. Items,1.60,0.37,0.15,0.14,ZM
Diluted EPS Incl. Extra. Items,1.60,0.37,0.15,0.14,ZM
Div/Share-ComStockPrimIssue,--,0.00,0.00,0.00,ZM
Gross Divid - Common Stock,0,0,0,0,ZM
Pro Forma Net Income,--,--,--,--,ZM
"Depreciat/Amort, Suppl",13,15,20,20,ZM
Normalzd Income Before Tax,139,144,90,55,ZM
IncTxsExcl ImpctofSpec Itms,(352),30,45,6,ZM
Normalized Income After Tax,491,114,46,48,ZM
Normalzd Inc Avail to Common,490,114,46,48,ZM
Basic Normalized EPS,1.64,0.38,0.15,0.14,ZM
Diluted Normalized EPS,1.60,0.37,0.15,0.14,ZM
