items,2018,2019,2020,2021,2022,ticker
Cash & Equivalents,136,78,142,276,"1,013",ZS
Short Term Investments,163,286,"1,229","1,227",718,ZS
Cash and Short Term Invs,299,365,"1,371","1,503","1,731",ZS
"Trade Accts Recvble, Net",62,93,148,257,400,ZS
Notes Recvble - Short Term,--,--,--,--,1,ZS
"Total Receivables, Net",62,93,148,257,401,ZS
Prepaid Expenses,11,17,31,31,38,ZS
"Other Curr. Assets, Total",16,21,32,57,86,ZS
Total Current Assets,387,496,"1,582","1,848","2,257",ZS
Buildings,2,2,9,7,7,ZS
Machinery/Equipment,41,71,116,177,271,ZS
Other Prop./Plant/Equip.,1,2,38,45,73,ZS
Prop./Plant/Equip. - Gross,44,75,162,230,352,ZS
Accumulated Depreciation,(24),(34),(51),(77),(119),ZS
Prop./Plant/Equip. - Net,20,41,112,153,233,ZS
"Goodwill, Net",--,7,30,59,79,ZS
Intangibles - Gross,--,10,28,43,52,ZS
Accum. Intangible Amort.,--,(1),(4),(11),(20),ZS
Intangibles - Net,--,9,24,32,32,ZS
Long Term Investments,--,--,2,5,5,ZS
Deferred Charges,40,49,78,150,211,ZS
Restricted Cash - LT,1,--,--,--,--,ZS
Other Long Term Assets,0,2,6,11,17,ZS
Total Assets,448,604,"1,833","2,258","2,833",ZS
Accounts Payable,5,6,5,13,26,ZS
Accrued Expenses,36,34,81,136,185,ZS
Notes Payable/ST Debt,0,0,0,0,0,ZS
Customer Advances,141,221,337,571,924,ZS
Other Current Liabilities,2,--,--,--,--,ZS
"Other Curr. Lblts, Total",142,221,337,571,924,ZS
Total Current Liabilities,183,262,424,720,"1,134",ZS
Total Long Term Debt,0,0,862,914,969,ZS
Total Debt,0,0,862,914,969,ZS
"Other Liabilities, Total",25,34,63,95,156,ZS
Total Liabilities,208,296,"1,349","1,729","2,259",ZS
Redeemable Preferred Stock,0,--,--,0,0,ZS
Common Stock,0,0,0,0,0,ZS
Additional Paid-In Capital,438,533,824,"1,131","1,591",ZS
Ret. Earn.(Accum. Deficit),(196),(224),(340),(602),(992),ZS
Other Equity,(2),0,--,--,--,ZS
Other Comprehensive Income,0,0,0,(1),(26),ZS
"Other Equity, Total",(2),0,0,(1),(26),ZS
Total Equity,240,309,485,529,573,ZS
Total Liabilities & Shareholders’ Equity,448,604,"1,833","2,258","2,833",ZS
Ttl Comm. Shares Outs.,120,127,133,139,143,ZS
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,0,ZS
