items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Net Income,"15,689","6,277","17,992","29,230",CVX
Depreciation/Depletion,"17,925","3,654","7,354","11,555",CVX
Deferred Taxes,700,626,"1,341","1,710",CVX
Unusual Items,"(1,021)",(99),(466),(463),CVX
Equity in Net Earnings/Loss,"(1,998)","(1,441)","(3,166)","(4,768)",CVX
Other Non-Cash Items,132,469,61,(277),CVX
Non-Cash Items,"(2,887)","(1,071)","(3,571)","(5,508)",CVX
"Cash Taxes Pd, Supplemental","4,355","1,071","4,414","6,750",CVX
"Cash Interest Pd, Suppl",699,47,262,320,CVX
Accounts Receivable,"(7,548)","(5,289)","(8,625)","(4,428)",CVX
Inventories,(530),(222),(789),"(2,170)",CVX
Prepaid Expenses,19,137,(479),(479),CVX
Other Assets,(320),(56),(119),(101),CVX
Payable/Accrued,"5,475","3,768","8,219","5,282",CVX
Changes in Working Capital,"(2,240)","(1,431)","(1,279)",117,CVX
Total Cash from Operations,"29,187","8,055","21,837","37,104",CVX
Capital Expenditures,"(8,056)","(1,960)","(5,144)","(8,139)",CVX
Acquisition of Business,--,--,"(2,862)","(2,862)",CVX
Sale of Business,0,--,--,--,CVX
Sale of Fixed Assets,"1,791","1,283","2,349","2,485",CVX
Sale/Maturity of Investment,3,--,--,--,CVX
"Investment, Net",0,0,(1),82,CVX
Purchase of Investments,(4),--,--,--,CVX
Other Investing Cash Flow,401,12,29,38,CVX
"OtherInvestCashFlowItms,Tot","2,191","1,295",(485),(257),CVX
Total Cash from Investing,"(5,865)",(665),"(5,629)","(8,396)",CVX
Financing Cash Flow Items,(36),(5),(36),(103),CVX
Total Cash Dividends Paid,"(10,179)","(2,746)","(5,512)","(8,255)",CVX
"Iss (Retirmnt) of Stock,Net",38,"3,386","1,697","(2,000)",CVX
Short Term Debt Issued,"4,448",0,0,0,CVX
Short Term Debt Reduction,"(6,906)",0,0,0,CVX
"Short Term Debt, Net","(5,572)",61,36,278,CVX
Long Term Debt Issued,0,--,--,--,CVX
Long Term Debt Reduction,"(7,364)","(2,062)","(5,689)","(8,449)",CVX
"Long Term Debt, Net","(7,364)","(2,062)","(5,689)","(8,449)",CVX
"Iss (Retirmnt) of Debt, Net","(12,936)","(2,001)","(5,653)","(8,171)",CVX
Total Cash From Financing,"(23,113)","(1,366)","(9,504)","(18,529)",CVX
Foreign Exchange Effects,(151),(13),(143),(277),CVX
Net Change in Cash,58,"6,011","6,561","9,902",CVX
NetCash-BeginBal/RsvdforFutUse,"6,737","6,795","6,795","6,795",CVX
NetCash-EndBal/RsrvforFutUse,"6,795","12,806","13,356","16,697",CVX
"Depreciation, Supplemental","17,925","3,654","7,354","11,555",CVX
