items,2011,2012,2013,2014,ticker
Total Current Assets,23,39,2,43,ROSN
Other Long Term Assets,0,10,0,--,ROSN
Total Assets,23,49,2,43,ROSN
Payable/Accrued,0,7,5,24,ROSN
Accrued Expenses,--,--,11,0,ROSN
Notes Payable/ST Debt,0,50,108,143,ROSN
"Other Curr. Lblts, Total",0,0,--,--,ROSN
Total Current Liabilities,0,57,124,167,ROSN
Total Long Term Debt,0,0,0,0,ROSN
Total Debt,0,50,108,143,ROSN
Total Liabilities,0,57,124,167,ROSN
Common Stock,3,3,3,3,ROSN
Additional Paid-In Capital,21,21,208,511,ROSN
Ret. Earn.(Accum. Deficit),(1),(32),(332),(638),ROSN
Total Equity,22,(8),(121),(124),ROSN
Total Liabilities & Shareholders’ Equity,23,49,2,43,ROSN
Ttl Comm. Shares Outs.,"25,900","25,900","26,400","27,100",ROSN
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,ROSN
