items,2017,2018,2019,2020,2021,ticker
Cash,"4,552","3,777","4,168",--,"5,849",SHEL
Cash & Equivalents,"11,644","19,052","10,791","31,830","26,592",SHEL
Short Term Investments,"3,996","3,655","2,665",--,"4,416",SHEL
Cash and Short Term Invs,"20,192","26,484","17,624","31,830","36,857",SHEL
"Trade Accts Recvble, Gross","31,602","28,331","30,865",--,"36,214",SHEL
Prov. for Doubtful Accts,(881),(790),(649),--,"(1,497)",SHEL
"Trade Accts Recvble, Net","31,589","28,533","31,128","33,625","35,765",SHEL
Other Receivables,"9,036","8,543","8,004",--,"8,468",SHEL
"Total Receivables, Net","40,625","37,076","39,132","33,625","44,233",SHEL
Invent. - Finished Goods,"22,962","19,516","22,654",--,"22,145",SHEL
Invent. - Raw Materials,"2,261","1,601","1,417",--,"1,386",SHEL
Inventories - Other,--,--,--,--,"1,727",SHEL
Total Inventory,"25,223","21,117","24,071","19,457","25,258",SHEL
Prepaid Expenses,"3,940","5,355","4,282",--,"8,975",SHEL
Restricted Cash - Current,120,257,431,--,113,SHEL
Discont. Ops.-Curr. Assets,--,--,--,"1,258","1,960",SHEL
Other Current Assets,"5,304","7,193","7,149","5,783","11,369",SHEL
"Other Curr. Assets, Total","5,424","7,450","7,580","7,041","13,442",SHEL
Total Current Assets,"95,404","97,482","92,689","91,953","128,765",SHEL
Machinery/Equipment,"86,948","91,235","91,243",--,"88,434",SHEL
Natural Resources,"314,766","301,562","290,044",--,"284,255",SHEL
Other Prop./Plant/Equip.,"22,355","22,040","57,873",--,"64,080",SHEL
Prop./Plant/Equip. - Gross,"424,069","414,837","439,160",--,"436,769",SHEL
Accumulated Depreciation,"(197,689)","(191,662)","(200,811)",--,"(241,837)",SHEL
Prop./Plant/Equip. - Net,"226,380","223,175","238,349","209,700","194,932",SHEL
"Goodwill, Gross","14,154","14,338","14,973",--,"16,117",SHEL
Accum. Goodwill Amort.,(492),(622),(768),--,"(1,197)",SHEL
"Goodwill, Net","13,662","13,716","14,205",--,"14,920",SHEL
Intangibles - Gross,"16,535","16,757","17,077",--,"19,259",SHEL
Accum. Intangible Amort.,"(6,017)","(6,887)","(7,796)",--,"(9,486)",SHEL
Intangibles - Net,"10,518","9,870","9,281","22,710","9,773",SHEL
LT Invt. - Affiliate Comp.,"27,927","25,329","22,808","22,451","23,415",SHEL
LT Investments - Other,"7,222","3,074","2,989","3,222","3,797",SHEL
Long Term Investments,"35,149","28,403","25,797","25,673","27,212",SHEL
Note Rcvble - Long Term,"6,852","6,006","6,645","7,641","5,545",SHEL
Deferred Charges,"1,623","1,820","1,440",--,"1,520",SHEL
Pension Bene. - Overfunded,"2,799","6,051","4,717","2,474","8,471",SHEL
Def. Inc. Tax - LT Asset,"13,791","12,097","10,524","16,311","12,426",SHEL
Other Long Term Assets,919,574,689,"2,806",815,SHEL
Total Assets,"407,097","399,194","404,336","379,268","404,379",SHEL
Accounts Payable,"35,217","33,202","32,809",--,"38,929",SHEL
Payable/Accrued,--,--,--,"44,572",--,SHEL
Accrued Expenses,"11,020","10,540","13,677",--,"14,627",SHEL
Notes Payable/ST Debt,"1,211",693,"3,962",0,515,SHEL
Curr. Port. LT Dbt/Cap Ls.,"10,584","9,441","11,102","16,899","7,703",SHEL
Income Taxes Payable,"7,250","7,497","3,478","3,111","3,254",SHEL
Other Payables,"5,767","5,597","6,356",--,"9,617",SHEL
Discontinued Operations,--,--,--,196,"1,253",SHEL
Other Current Liabilities,"8,718","10,843","8,240","8,930","19,649",SHEL
"Other Curr. Lblts, Total","21,735","23,937","18,074","12,237","33,773",SHEL
Total Current Liabilities,"79,767","77,813","79,624","73,708","95,547",SHEL
Long Term Debt,"59,430","53,686","55,779","91,115","57,499",SHEL
Capital Lease Obligations,"14,440","13,004","25,581",--,"23,369",SHEL
Total Long Term Debt,"73,870","66,690","81,360","91,115","80,868",SHEL
Total Debt,"85,665","76,824","96,424","108,014","89,086",SHEL
Deferred Income Tax,"13,007","14,837","14,522","10,463","12,547",SHEL
Minority Interest,"3,456","3,888","3,987","3,227","3,360",SHEL
Reserves,"24,966","21,533","21,799","27,116","25,804",SHEL
Pension Benefits - Underfunded,"13,247","11,653","13,017","15,605","11,325",SHEL
Other LT Liabilities,"4,428","4,134","3,551","2,724","2,962",SHEL
"Other Liabilities, Total","42,641","37,320","38,367","45,445","40,091",SHEL
Total Liabilities,"212,741","200,548","217,860","223,958","232,413",SHEL
Common Stock,696,685,657,651,641,SHEL
Additional Paid-In Capital,154,154,154,154,154,SHEL
Ret. Earn.(Accum. Deficit),"216,467","221,097","210,901","180,949","191,427",SHEL
Treasury Stock - Common,(917),"(1,260)","(1,063)",(709),(610),SHEL
"Other Equity, Total","(22,044)","(22,030)","(24,173)","(25,735)","(19,646)",SHEL
Total Equity,"194,356","198,646","186,476","155,310","171,966",SHEL
Total Liabilities & Shareholders’ Equity,"407,097","399,194","404,336","379,268","404,379",SHEL
Shr Outs.-Com. Primary Iss.,"4,570","4,441","4,152","4,101","4,101",SHEL
Shr Outs.-Com. Stk. Iss. 2,"3,743","3,738","3,729","3,706","3,583",SHEL
Ttl Comm. Shares Outs.,"8,313","8,179","7,881","7,807","7,684",SHEL
Trsy. Shrs-Comm. Primary Iss.,27,31,0,0,0,SHEL
Trsy. Shrs-Comm. Iss. 2,3,7,0,0,0,SHEL
