items,2017,2018,2019,2020,2021,ticker
Total Revenue,"41,581","43,634","45,764","48,097","51,682",CHTR
"Cost of Revenue, Total","24,121","24,818","26,180","26,899","28,411",CHTR
"Sell/Gen/AdminExpenses,Tot","2,420","3,042","3,044","3,031","3,071",CHTR
Depreciation/Amortization,"10,588","10,318","9,926","9,704","9,345",CHTR
Litigation,--,--,--,--,220,CHTR
Other Unusual Expnse (In),370,150,86,233,173,CHTR
Unusual Expense (Income),386,235,128,201,473,CHTR
Loss(Gain)/Sale Asts (Oper),16,85,42,(32),80,CHTR
Total Operating Expense,"37,515","38,413","39,278","39,835","41,300",CHTR
Total Operating Income,"4,066","5,221","6,486","8,262","10,382",CHTR
"Inter Expse,Net Non-Operat","(3,090)","(3,540)","(3,797)","(3,848)","(4,037)",CHTR
"Inter/Invest Inc, Non-Oper",69,(187),(191),(46),(262),CHTR
OtherNon-OperatInc (Expnse),(17),192,(67),(66),305,CHTR
"Other, Net",(17),192,(67),(66),305,CHTR
Income Before Tax,"1,028","1,686","2,431","4,302","6,388",CHTR
Income Tax - Total,213,180,439,626,"1,068",CHTR
Income After Tax,815,"1,506","1,992","3,676","5,320",CHTR
Minority Interest,(220),(276),(324),(454),(666),CHTR
Net Inc Before Extra Items,595,"1,230","1,668","3,222","4,654",CHTR
Total Extraordinary Items,"9,300",--,--,--,--,CHTR
Total Net Income,"9,895","1,230","1,668","3,222","4,654",CHTR
Income Available to Common Excl. Extra. Items,595,"1,230","1,668","3,222","4,654",CHTR
Income Available to Common Incl. Extra. Items,"9,895","1,230","1,668","3,222","4,654",CHTR
Basic/Primary Weighted Average Shares,257,232,220,203,184,CHTR
Basic/Primary EPS Excl. Extra. Items,2.32,5.29,7.60,15.85,25.34,CHTR
Basic/Primary EPS Incl. Extra. Items,38.54,5.29,7.60,15.85,25.34,CHTR
Dilution Adjustment,219,--,--,--,70,CHTR
Diluted Weighted Average Shares,297,236,224,209,193,CHTR
Diluted EPS Excl. Extra. Items,2.74,5.22,7.45,15.40,24.47,CHTR
Diluted EPS Incl. Extra. Items,34.09,5.22,7.45,15.40,24.47,CHTR
Gross Divid - Common Stock,0,0,0,0,0,CHTR
Pro Forma Net Income,--,--,--,--,--,CHTR
"Interest Expense, Suppl","3,090","3,540","3,797","3,848","4,037",CHTR
"Depreciat/Amort, Suppl","7,888","7,918","7,800","7,804","7,745",CHTR
Total Special Items,386,235,128,201,473,CHTR
Normalzd Income Before Tax,"1,414","1,921","2,559","4,503","6,861",CHTR
Efct/SpecItemsIncTxs (STEC),80,25,23,29,79,CHTR
IncTxsExcl ImpctofSpec Itms,293,205,462,655,"1,147",CHTR
Normalized Income After Tax,"1,121","1,716","2,097","3,848","5,714",CHTR
Normalzd Inc Avail to Common,901,"1,440","1,773","3,394","5,048",CHTR
Basic Normalized EPS,3.51,6.20,8.08,16.69,27.48,CHTR
Diluted Normalized EPS,3.77,6.11,7.92,16.22,26.51,CHTR
