items,2017,2018,2019,2020,2021,ticker
Cash and Short Term Invs,285,856,632,"2,984","6,267",PARA
"Trade Accts Recvble, Gross","3,746","7,285","6,862","7,049","6,992",PARA
Prov. for Doubtful Accts,(49),(86),(25),(32),(8),PARA
"Total Receivables, Net","3,697","7,199","6,837","7,017","6,984",PARA
Total Inventory,"1,828","2,785","2,813","1,757","1,504",PARA
Prepaid Expenses,272,372,399,622,"1,176",PARA
Discont. Ops.-Curr. Assets,1,--,544,630,745,PARA
Other Current Assets,190,668,677,769,--,PARA
"Other Curr. Assets, Total",191,668,"1,221","1,399",745,PARA
Total Current Assets,"6,273","11,880","11,902","13,779","16,676",PARA
Buildings,769,"1,242","1,232","1,253",842,PARA
Land/Improvements,193,439,438,437,372,PARA
Machinery/Equipment,"1,927","3,899","4,052","4,151","4,112",PARA
Other Prop./Plant/Equip.,162,335,"1,933","1,761","1,790",PARA
Prop./Plant/Equip. - Gross,"3,051","5,915","7,655","7,602","7,116",PARA
Accumulated Depreciation,"(1,771)","(3,836)","(3,872)","(4,006)","(3,750)",PARA
Prop./Plant/Equip. - Net,"1,280","2,079","3,783","3,596","3,366",PARA
"Goodwill, Gross","18,245","29,880","29,899","29,966","29,938",PARA
Accum. Goodwill Amort.,"(13,354)","(13,354)","(13,354)","(13,354)","(13,354)",PARA
"Goodwill, Net","4,891","16,526","16,545","16,612","16,584",PARA
Intangibles - Gross,"2,818","3,334","3,437","3,265","3,233",PARA
Accum. Intangible Amort.,(152),(393),(447),(439),(461),PARA
Intangibles - Net,"2,666","2,943","2,990","2,826","2,772",PARA
Long Term Investments,--,--,753,601,627,PARA
Def. Inc. Tax - LT Asset,--,266,938,993,"1,206",PARA
Disct. Ops. - LT Asset,12,56,820,837,834,PARA
Other Long Term Assets,"5,721","10,747","11,854","13,419","16,555",PARA
Total Assets,"20,843","44,497","49,585","52,663","58,620",PARA
Accounts Payable,231,502,632,571,800,PARA
Accrued Expenses,921,"1,633","3,518","3,161","3,990",PARA
Notes Payable/ST Debt,679,0,0,0,0,PARA
Curr. Port. LT Dbt/Cap Ls.,19,"1,013",717,16,11,PARA
Customer Advances,219,643,737,978,"1,091",PARA
Other Payables,986,"1,828","1,861","2,005","2,159",PARA
Discontinued Operations,32,--,433,480,571,PARA
Other Current Liabilities,885,"2,702","1,150","1,085",857,PARA
"Other Curr. Lblts, Total","2,122","5,173","4,181","4,548","4,678",PARA
Total Current Liabilities,"3,972","8,321","9,048","8,296","9,479",PARA
Long Term Debt,"9,464","18,100","17,977","19,707","17,693",PARA
Capital Lease Obligations,--,--,25,10,5,PARA
Total Long Term Debt,"9,464","18,100","18,002","19,717","17,698",PARA
Total Debt,"10,162","19,113","18,719","19,733","17,709",PARA
Deferred Income Tax,480,656,565,778,"1,063",PARA
Minority Interest,--,293,336,882,675,PARA
Pension Benefits - Underfunded,"1,328","1,908","2,121","2,098","1,946",PARA
Other LT Liabilities,"3,579","4,770","6,043","5,301","5,144",PARA
Discont. Ops. - Lblts,42,--,263,220,213,PARA
"Other Liabilities, Total","4,949","6,678","8,427","7,619","7,303",PARA
Total Liabilities,"18,865","34,048","36,378","37,292","36,218",PARA
"Pref. Stock-Non Rdmbl, Net",--,--,--,--,0,PARA
Common Stock,1,1,1,1,1,PARA
Additional Paid-In Capital,"43,797","49,907","29,590","29,785","32,918",PARA
Ret. Earn.(Accum. Deficit),"(18,900)","5,569","8,494","10,375","14,343",PARA
Treasury Stock - Common,"(22,258)","(43,420)","(22,908)","(22,958)","(22,958)",PARA
Cum. Trans. Adjustment,159,--,(438),(303),(445),PARA
Min. Pension Lblty Adj.,(821),--,"(1,507)","(1,509)","(1,434)",PARA
Other Comprehensive Income,--,"(1,608)",(25),(20),(23),PARA
"Other Equity, Total",(662),"(1,608)","(1,970)","(1,832)","(1,902)",PARA
Total Equity,"1,978","10,449","13,207","15,371","22,402",PARA
Total Liabilities & Shareholders’ Equity,"20,843","44,497","49,585","52,663","58,620",PARA
Shr Outs.-Com. Primary Iss.,345,549,563,565,607,PARA
Shr Outs.-Com. Stk. Iss. 2,38,64,52,52,41,PARA
Ttl Comm. Shares Outs.,383,613,615,617,648,PARA
Trsy. Shrs-Comm. Primary Iss.,489,734,501,503,503,PARA
