items,2017,2018,2019,2020,2021,ticker
Total Revenue,"40,534","41,802","36,709","32,637","34,392",HON
"Cost of Revenue, Total","28,144","29,046","24,339","22,169","23,394",HON
Selling/Gen/Admin Expense,"6,087","6,051","5,519","4,604","4,581",HON
Labor & Related Expense,--,--,--,168,217,HON
"Sell/Gen/AdminExpenses,Tot","6,087","6,051","5,519","4,772","4,798",HON
"Inter Expense,Net Operatng",316,367,357,359,343,HON
"Interest Income, Operating",(151),(217),(255),(107),(102),HON
"Invest Income, Operating",(228),(507),(172),(134),(42),HON
"Inter/Invest Inc, Operating",(379),(724),(427),(241),(144),HON
Litigation,--,--,--,509,0,HON
Other Unusual Expnse (In),23,321,1,3,58,HON
Unusual Expense (Income),23,321,1,512,58,HON
"Other Operat Expse, Total",(607),(746),(639),(946),"(1,292)",HON
Total Operating Expense,"33,584","34,315","29,150","26,625","27,157",HON
Total Operating Income,"6,950","7,487","7,559","6,012","7,235",HON
Income Before Tax,"6,950","7,487","7,559","6,012","7,235",HON
Income Tax - Total,"2,342","1,099","1,610","1,147","1,625",HON
Income After Tax,"4,608","6,388","5,949","4,865","5,610",HON
Minority Interest,(43),(63),(87),(86),(68),HON
Net Inc Before Extra Items,"4,565","6,325","5,862","4,779","5,542",HON
Total Extraordinary Items,"(3,020)",440,281,--,--,HON
Total Net Income,"1,545","6,765","6,143","4,779","5,542",HON
Income Available to Common Excl. Extra. Items,"4,565","6,325","5,862","4,779","5,542",HON
Income Available to Common Incl. Extra. Items,"1,545","6,765","6,143","4,779","5,542",HON
Basic/Primary Weighted Average Shares,762,743,721,704,692,HON
Basic/Primary EPS Excl. Extra. Items,5.99,8.51,8.13,6.79,8.01,HON
Basic/Primary EPS Incl. Extra. Items,2.03,9.10,8.52,6.79,8.01,HON
Diluted Weighted Average Shares,772,753,730,711,700,HON
Diluted EPS Excl. Extra. Items,5.91,8.40,8.03,6.72,7.91,HON
Diluted EPS Incl. Extra. Items,2.00,8.98,8.41,6.72,7.91,HON
Div/Share-ComStockPrimIssue,2.74,3.06,3.36,3.63,3.77,HON
Gross Divid - Common Stock,"2,101","2,279","2,428","2,567","2,620",HON
Pro Forma Net Income,--,--,--,--,--,HON
"Interest Expense, Suppl",316,367,357,359,343,HON
"Depreciat/Amort, Suppl",717,721,673,644,674,HON
Total Special Items,996,"1,412",547,"1,087",627,HON
Normalzd Income Before Tax,"7,946","8,899","8,106","7,099","7,862",HON
Efct/SpecItemsIncTxs (STEC),336,207,117,207,141,HON
IncTxsExcl ImpctofSpec Itms,"2,678","1,306","1,727","1,354","1,766",HON
Normalized Income After Tax,"5,268","7,593","6,379","5,745","6,096",HON
Normalzd Inc Avail to Common,"5,225","7,530","6,292","5,659","6,028",HON
Basic Normalized EPS,6.86,10.13,8.73,8.04,8.71,HON
Diluted Normalized EPS,6.77,10.00,8.62,7.96,8.61,HON
