items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash & Equivalents,"4,564","3,247","2,722","3,404",MMM
Short Term Investments,201,112,262,185,MMM
Cash and Short Term Invs,"4,765","3,359","2,984","3,589",MMM
"Trade Accts Recvble, Gross","4,849","5,024","5,110","4,908",MMM
Prov. for Doubtful Accts,(189),(209),(196),(186),MMM
"Total Receivables, Net","4,660","4,815","4,914","4,722",MMM
Invent. - Finished Goods,"2,196","2,337","2,446","2,443",MMM
Invent. - Work In Progress,"1,577","1,669","1,788","1,829",MMM
Invent. - Raw Materials,"1,212","1,284","1,411","1,343",MMM
Total Inventory,"4,985","5,290","5,645","5,615",MMM
Prepaid Expenses,654,561,588,467,MMM
"Other Curr. Assets, Total",339,427,383,502,MMM
Total Current Assets,"15,403","14,452","14,514","14,895",MMM
Prop./Plant/Equip. - Gross,"27,213","27,157","27,013","26,666",MMM
Accumulated Depreciation,"(17,784)","(17,768)","(17,694)","(17,470)",MMM
Prop./Plant/Equip. - Net,"10,287","10,254","10,154","9,997",MMM
"Goodwill, Net","13,486","13,368","13,064","12,669",MMM
Intangibles - Gross,"8,769","8,709","8,644","8,488",MMM
Accum. Intangible Amort.,"(3,481)","(3,568)","(3,651)","(3,673)",MMM
Intangibles - Net,"5,288","5,141","4,993","4,815",MMM
Other Long Term Assets,"2,608","2,640","2,909","3,800",MMM
Total Assets,"47,072","45,855","45,634","46,176",MMM
Accounts Payable,"2,994","3,164","3,273","3,063",MMM
Accrued Expenses,"1,283",899,960,958,MMM
Notes Payable/ST Debt,0,0,350,0,MMM
Curr. Port. LT Dbt/Cap Ls.,"1,307","1,877","1,907","1,856",MMM
Customer Advances,529,549,503,506,MMM
Income Taxes Payable,260,274,228,270,MMM
Other Current Liabilities,"2,662","2,389","2,675","2,890",MMM
"Other Curr. Lblts, Total","3,451","3,212","3,406","3,666",MMM
Total Current Liabilities,"9,035","9,152","9,896","9,543",MMM
Total Long Term Debt,"16,056","14,801","14,019","13,849",MMM
Total Debt,"17,363","16,678","16,276","15,705",MMM
Minority Interest,71,74,74,76,MMM
Pension Benefits - Underfunded,"2,870","2,792","2,638","2,502",MMM
Other LT Liabilities,"3,994","4,106","5,265","6,126",MMM
"Other Liabilities, Total","6,864","6,898","7,903","8,628",MMM
Total Liabilities,"32,026","30,925","31,892","32,096",MMM
Common Stock,9,9,9,9,MMM
Additional Paid-In Capital,"6,429","6,559","6,607","6,654",MMM
Ret. Earn.(Accum. Deficit),"45,821","46,056","45,269","48,245",MMM
Treasury Stock - Common,"(30,463)","(30,860)","(30,781)","(32,843)",MMM
Cum. Trans. Adjustment,"(1,943)","(2,113)","(2,814)","(3,633)",MMM
Min. Pension Lblty Adj.,"(4,753)","(4,666)","(4,581)","(4,495)",MMM
Other Comprehensive Income,(54),(55),33,143,MMM
"Other Equity, Total","(6,750)","(6,834)","(7,362)","(7,985)",MMM
Total Equity,"15,046","14,930","13,742","14,080",MMM
Total Liabilities & Shareholders’ Equity,"47,072","45,855","45,634","46,176",MMM
Ttl Comm. Shares Outs.,572,569,570,553,MMM
Trsy. Shrs-Comm. Primary Iss.,372,375,374,391,MMM
