items,2017,2018,2019,2020,2021,ticker
Total Revenue,"79,139","79,591","57,714","55,179","57,350",IBM
"Cost of Revenue, Total","42,196","42,655","26,181","24,314","25,865",IBM
Selling/Gen/Admin Expense,"17,291","16,390","17,738","16,480","16,640",IBM
Labor & Related Expense,384,361,419,550,555,IBM
Advertising Expense,"1,445","1,466","1,591","1,509","1,413",IBM
"Sell/Gen/AdminExpenses,Tot","19,120","18,217","19,748","18,539","18,608",IBM
Research & Development,"5,590","5,379","5,963","6,262","6,488",IBM
Depreciation/Amortization,496,435,--,"1,104","1,116",IBM
"Inter Expense,Net Operatng",616,665,"1,572","1,288","1,155",IBM
"Interest Income, Operating",(144),(264),--,(105),(52),IBM
"Invest Income, Operating",(92),80,--,(9),(132),IBM
"Inter/Invest Inc, Operating",(236),(184),--,(114),(184),IBM
Other Unusual Expnse (In),"1,540","2,170",(577),"1,989",301,IBM
Unusual Expense (Income),"1,540","2,170",(577),"1,989",301,IBM
Other Operating Expense,(1),--,--,--,(1),IBM
"Other, Net","(1,582)","(1,088)","(2,379)",(775),(835),IBM
"Other Operat Expse, Total","(1,583)","(1,088)","(2,379)",(775),(836),IBM
Total Operating Expense,"67,739","68,249","50,508","52,607","52,513",IBM
Total Operating Income,"11,400","11,342","7,206","2,572","4,837",IBM
Income Before Tax,"11,400","11,342","7,206","2,572","4,837",IBM
Income Tax - Total,167,582,(86),"(1,470)",213,IBM
Income After Tax,"11,233","10,760","7,292","4,042","4,624",IBM
Net Inc Before Extra Items,"11,233","10,760","7,292","4,042","4,624",IBM
Discontinued Operations,(5),5,"2,285","1,658","1,030",IBM
Extraordinary Item,"(5,475)","(2,037)",(146),(110),89,IBM
Total Extraordinary Items,"(5,480)","(2,032)","2,139","1,548","1,119",IBM
Total Net Income,"5,753","8,728","9,431","5,590","5,743",IBM
Income Available to Common Excl. Extra. Items,"11,233","10,760","7,292","4,042","4,624",IBM
Income Available to Common Incl. Extra. Items,"5,753","8,728","9,431","5,590","5,743",IBM
Basic/Primary Weighted Average Shares,933,912,887,890,896,IBM
Basic/Primary EPS Excl. Extra. Items,12.04,11.80,8.22,4.54,5.16,IBM
Basic/Primary EPS Incl. Extra. Items,6.17,9.57,10.63,6.28,6.41,IBM
Diluted Weighted Average Shares,937,916,893,897,905,IBM
Diluted EPS Excl. Extra. Items,11.98,11.74,8.17,4.51,5.11,IBM
Diluted EPS Incl. Extra. Items,6.14,9.53,10.56,6.23,6.35,IBM
Div/Share-ComStockPrimIssue,5.90,6.21,6.43,6.51,6.55,IBM
Gross Divid - Common Stock,"5,506","5,666","5,707","5,797","5,869",IBM
Pro Forma Net Income,--,--,--,--,--,IBM
"Interest Expense, Suppl",616,665,"1,572","1,288","1,155",IBM
"Interest Capitalized, Suppl",(5),(3),(4),(5),(3),IBM
"Depreciat/Amort, Suppl","3,021","3,127","4,209","4,227","3,888",IBM
Total Special Items,"2,537","2,994",(37),"2,715","1,020",IBM
Normalzd Income Before Tax,"13,937","14,336","7,169","5,287","5,857",IBM
Efct/SpecItemsIncTxs (STEC),(279),(176),358,411,457,IBM
IncTxsExcl ImpctofSpec Itms,(112),406,272,"(1,059)",670,IBM
Normalized Income After Tax,"14,049","13,930","6,897","6,346","5,187",IBM
Normalzd Inc Avail to Common,"14,049","13,930","6,897","6,346","5,187",IBM
Basic Normalized EPS,15.06,15.27,7.77,7.13,5.79,IBM
Diluted Normalized EPS,14.99,15.20,7.73,7.08,5.73,IBM
