items,2018,2019,2020,2021,2022,ticker
Cash & Equivalents,"3,440","3,129","5,351","4,995","1,995",AMAT
Short Term Investments,590,489,387,464,586,AMAT
Cash and Short Term Invs,"4,030","3,618","5,738","5,459","2,581",AMAT
"Trade Accts Recvble, Gross","2,356","2,563","2,993","4,982","6,097",AMAT
Prov. for Doubtful Accts,(33),(30),(30),(29),(29),AMAT
"Trade Accts Recvble, Net","2,422","2,641","3,111","5,154","6,241",AMAT
Other Receivables,40,96,162,593,461,AMAT
"Total Receivables, Net","2,462","2,737","3,273","5,747","6,702",AMAT
Invent. - Finished Goods,"1,207",852,"1,140","1,049","1,687",AMAT
Invent. - Work In Progress,505,575,624,873,"1,029",AMAT
Invent. - Raw Materials,"1,020",802,870,"1,136","1,807",AMAT
Inventories - Other,989,"1,245","1,270","1,251","1,409",AMAT
Total Inventory,"3,721","3,474","3,904","4,309","5,932",AMAT
Prepaid Expenses,391,377,454,592,710,AMAT
Total Current Assets,"10,604","10,206","13,369","16,107","15,925",AMAT
Buildings,"1,448","1,590","1,655","1,780","2,027",AMAT
Land/Improvements,245,254,256,334,387,AMAT
Machinery/Equipment,"1,282","1,505","1,586","1,820","2,083",AMAT
Construction in Progress,203,120,237,326,389,AMAT
Other Prop./Plant/Equip.,634,602,898,"1,014","1,132",AMAT
Prop./Plant/Equip. - Gross,"3,812","4,071","4,632","5,274","6,018",AMAT
Accumulated Depreciation,"(2,405)","(2,542)","(2,776)","(3,046)","(3,322)",AMAT
Prop./Plant/Equip. - Net,"1,407","1,529","1,856","2,228","2,696",AMAT
"Goodwill, Net","3,368","3,399","3,466","3,479","3,700",AMAT
Intangibles - Gross,"1,988","1,988","2,041","2,041","2,311",AMAT
Accum. Intangible Amort.,"(1,775)","(1,832)","(1,888)","(1,937)","(1,972)",AMAT
Intangibles - Net,213,156,153,104,339,AMAT
Long Term Investments,"1,568","1,703","1,538","2,055","1,980",AMAT
Note Rcvble - Long Term,--,265,260,229,691,AMAT
Other Long Term Assets,154,--,--,--,--,AMAT
Total Assets,"17,633","19,024","22,353","25,825","26,726",AMAT
Accounts Payable,996,958,"1,124","1,472","1,755",AMAT
Accrued Expenses,"1,188","1,005","1,390","1,606","1,657",AMAT
Notes Payable/ST Debt,0,0,0,0,0,AMAT
Curr. Port. LT Dbt/Cap Ls.,--,600,0,--,--,AMAT
Dividends Payable,193,192,201,214,220,AMAT
Customer Advances,"1,201","1,336","1,321","2,076","3,142",AMAT
Income Taxes Payable,136,160,222,734,319,AMAT
Other Current Liabilities,208,196,201,242,286,AMAT
"Other Curr. Lblts, Total","1,738","1,884","1,945","3,266","3,967",AMAT
Total Current Liabilities,"3,922","4,447","4,459","6,344","7,379",AMAT
Total Long Term Debt,"5,309","4,713","5,448","5,452","5,457",AMAT
Total Debt,"5,309","5,313","5,448","5,452","5,457",AMAT
Pension Benefits - Underfunded,177,212,241,193,107,AMAT
Other LT Liabilities,"1,380","1,438","1,627","1,589","1,589",AMAT
"Other Liabilities, Total","1,557","1,650","1,868","1,782","1,696",AMAT
Total Liabilities,"10,788","10,810","11,775","13,578","14,532",AMAT
"Pref. Stock-Non Rdmbl, Net",--,--,--,0,0,AMAT
Common Stock,10,9,9,9,8,AMAT
Additional Paid-In Capital,"7,274","7,595","7,904","8,247","8,593",AMAT
Ret. Earn.(Accum. Deficit),"20,880","24,386","27,209","32,246","37,892",AMAT
Treasury Stock - Common,"(21,194)","(23,596)","(24,245)","(27,995)","(34,097)",AMAT
Unrealized Gain (Loss),7,11,20,(1),(75),AMAT
Cum. Trans. Adjustment,14,13,13,13,13,AMAT
Min. Pension Lblty Adj.,(137),(188),(199),(169),(88),AMAT
Other Comprehensive Income,(9),(16),(133),(103),(52),AMAT
"Other Equity, Total",(132),(191),(319),(259),(127),AMAT
Total Equity,"6,845","8,214","10,578","12,247","12,194",AMAT
Total Liabilities & Shareholders’ Equity,"17,633","19,024","22,353","25,825","26,726",AMAT
Ttl Comm. Shares Outs.,967,916,914,892,844,AMAT
Trsy. Shrs-Comm. Primary Iss.,"1,019","1,079","1,091","1,119","1,173",AMAT
