items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Total Revenue,"4,826","5,887","6,550","5,565",AMD
"Cost of Revenue, Total","2,400","3,069","3,522","3,211",AMD
Selling/Gen/Admin Expense,376,515,488,475,AMD
Labor & Related Expense,36,82,104,82,AMD
"Sell/Gen/AdminExpenses,Tot",412,597,592,557,AMD
Research & Development,811,"1,060","1,300","1,279",AMD
Depreciation/Amortization,--,293,616,590,AMD
Unusual Expense (Income),(28),(77),(5),(8),AMD
Total Operating Expense,"3,595","4,942","6,025","5,629",AMD
Total Operating Income,"1,231",945,525,(64),AMD
"Inter Expse,Net Non-Operat",(8),(13),(25),(31),AMD
"Inter/Invest Inc, Non-Oper",8,--,--,--,AMD
OtherNon-OperatInc (Expnse),(28),(36),(3),22,AMD
"Other, Net",(28),(36),(3),22,AMD
Income Before Tax,"1,203",896,497,(73),AMD
Income Tax - Total,229,113,54,(135),AMD
Income After Tax,974,783,443,62,AMD
Equity In Affiliates,0,3,4,4,AMD
Net Inc Before Extra Items,974,786,447,66,AMD
Total Net Income,974,786,447,66,AMD
Income Available to Common Excl. Extra. Items,974,786,447,66,AMD
Income Available to Common Incl. Extra. Items,974,786,447,66,AMD
Basic/Primary Weighted Average Shares,"1,210","1,393","1,618","1,615",AMD
Basic/Primary EPS Excl. Extra. Items,0.80,0.56,0.28,0.04,AMD
Basic/Primary EPS Incl. Extra. Items,0.80,0.56,0.28,0.04,AMD
Dilution Adjustment,0,--,--,--,AMD
Diluted Weighted Average Shares,"1,223","1,410","1,632","1,625",AMD
Diluted EPS Excl. Extra. Items,0.80,0.56,0.27,0.04,AMD
Diluted EPS Incl. Extra. Items,0.80,0.56,0.27,0.04,AMD
Div/Share-ComStockPrimIssue,0.00,0.00,0.00,0.00,AMD
Gross Divid - Common Stock,--,0,0,0,AMD
Pro Forma Net Income,--,--,--,--,AMD
"Interest Expense, Suppl",8,13,25,31,AMD
"Depreciat/Amort, Suppl",118,130,157,163,AMD
Total Special Items,(28),(77),(5),(8),AMD
Normalzd Income Before Tax,"1,175",819,492,(81),AMD
Efct/SpecItemsIncTxs (STEC),(5),(10),(1),(3),AMD
IncTxsExcl ImpctofSpec Itms,224,103,53,(138),AMD
Normalized Income After Tax,951,716,439,57,AMD
Normalzd Inc Avail to Common,951,719,443,61,AMD
Basic Normalized EPS,0.79,0.52,0.27,0.04,AMD
Diluted Normalized EPS,0.78,0.51,0.27,0.04,AMD
