items,2017,2018,2019,2020,2021,ticker
Cash and Short Term Invs,181,168,167,192,232,ROG
"Trade Accts Recvble, Gross",142,146,124,136,164,ROG
Prov. for Doubtful Accts,(2),(1),(2),(2),(1),ROG
"Trade Accts Recvble, Net",141,167,145,161,200,ROG
Other Receivables,6,4,4,3,3,ROG
"Total Receivables, Net",146,171,149,164,203,ROG
Invent. - Finished Goods,41,43,41,32,44,ROG
Invent. - Work In Progress,28,30,30,25,29,ROG
Invent. - Raw Materials,43,59,61,45,60,ROG
Total Inventory,113,133,133,102,133,ROG
Prepaid Expenses,3,3,5,3,2,ROG
Discont. Ops.-Curr. Assets,1,0,--,--,--,ROG
Other Current Assets,11,11,11,13,14,ROG
"Other Curr. Assets, Total",11,11,11,13,14,ROG
Total Current Assets,455,486,464,474,584,ROG
Buildings,135,175,166,156,164,ROG
Land/Improvements,15,22,22,23,25,ROG
Machinery/Equipment,238,256,282,325,323,ROG
Other Prop./Plant/Equip.,82,107,137,139,201,ROG
Prop./Plant/Equip. - Gross,470,560,606,642,712,ROG
Accumulated Depreciation,(290),(317),(341),(366),(368),ROG
Prop./Plant/Equip. - Net,180,243,265,277,344,ROG
"Goodwill, Net",237,265,263,270,370,ROG
Intangibles - Gross,220,249,248,253,319,ROG
Accum. Intangible Amort.,(59),(72),(89),(135),(143),ROG
Intangibles - Net,160,177,159,118,176,ROG
Long Term Investments,18,19,16,15,16,ROG
Note Rcvble - Long Term,64,60,74,64,59,ROG
Pension Bene. - Overfunded,--,--,13,5,5,ROG
Def. Inc. Tax - LT Asset,6,8,17,29,33,ROG
Other Long Term Assets,6,22,2,12,10,ROG
Total Assets,"1,125","1,279","1,273","1,264","1,599",ROG
Accounts Payable,36,40,33,36,65,ROG
Accrued Expenses,65,54,51,59,86,ROG
Notes Payable/ST Debt,0,0,0,0,0,ROG
Curr. Port. LT Dbt/Cap Ls.,1,0,0,5,0,ROG
Income Taxes Payable,6,7,11,9,10,ROG
Other Current Liabilities,6,6,5,4,4,ROG
"Other Curr. Lblts, Total",12,13,16,12,13,ROG
Total Current Liabilities,114,107,100,112,164,ROG
Long Term Debt,131,228,123,25,190,ROG
Capital Lease Obligations,6,5,4,0,0,ROG
Total Long Term Debt,137,233,127,25,190,ROG
Total Debt,137,234,128,30,190,ROG
Deferred Income Tax,11,11,9,8,29,ROG
Pension Benefits - Underfunded,10,2,2,2,2,ROG
Other LT Liabilities,87,78,101,96,94,ROG
"Other Liabilities, Total",97,80,103,98,96,ROG
Total Liabilities,359,431,339,243,480,ROG
Common Stock,18,18,19,19,19,ROG
Additional Paid-In Capital,129,132,139,148,164,ROG
Ret. Earn.(Accum. Deficit),685,776,824,874,982,ROG
Cum. Trans. Adjustment,(18),(30),(35),(11),(36),ROG
Min. Pension Lblty Adj.,(47),(49),(10),(9),(10),ROG
Other Comprehensive Income,0,0,(1),0,0,ROG
"Other Equity, Total",(65),(79),(47),(20),(45),ROG
Total Equity,767,848,934,"1,021","1,119",ROG
Total Liabilities & Shareholders’ Equity,"1,125","1,279","1,273","1,264","1,599",ROG
Ttl Comm. Shares Outs.,18,18,19,19,19,ROG
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,0,ROG
