items,Q1 2022,Q2 2022,Q3 2022,Q4 2022,ticker
Interest & Fees on Loans,"4,081","4,197","5,311","6,875",BMO
Inter & Divs/ Invest Securs,"1,067","1,252","1,505","1,766",BMO
Interest on Deposits,58,74,228,483,BMO
"Interest Income, Bank","5,206","5,523","7,044","9,124",BMO
Interest on Deposit,705,854,"1,743","3,409",BMO
Inter on Other Borrowings,482,767,"1,104","1,948",BMO
Total Interest Expense,"1,187","1,621","2,847","5,357",BMO
Net Interest Income,"4,019","3,902","4,197","3,767",BMO
Loan Loss Provision,(99),50,136,226,BMO
NetInterIn after Loan Loss Provision,"4,118","3,852","4,061","3,541",BMO
Fees & Commish from Operat,329,332,338,319,BMO
Commish & Fees/Secur Act,"1,182","1,030",914,919,BMO
Insur Commish Fees& Premium,(81),808,(413),369,BMO
Credit Card Fees,131,143,131,143,BMO
Fees for Other Cust Serv,385,334,351,370,BMO
Dealer Trading Acct Profit,"1,155","3,961",(660),"5,106",BMO
Invest Securities Gains,138,86,85,(28),BMO
Foreign Currency Gains,22,59,47,53,BMO
Other Revenue,170,144,154,139,BMO
"Non-Interest Income, Bank","3,431","6,897",947,"7,390",BMO
Labor & Related Expenses,"(2,299)","(2,087)","(2,135)","(2,274)",BMO
Amortization of Intangibles,(150),(147),(151),(156),BMO
Other Expense,"(1,205)","(2,152)","(1,031)","(2,564)",BMO
"Non-Interest Expense, Bank","(3,654)","(4,386)","(3,317)","(4,994)",BMO
Income Before Tax,"3,895","6,363","1,691","5,937",BMO
Income Tax - Total,962,"1,607",326,"1,454",BMO
Income After Tax,"2,933","4,756","1,365","4,483",BMO
Net Inc Before Extra Items,"2,933","4,756","1,365","4,483",BMO
Total Net Income,"2,933","4,756","1,365","4,483",BMO
Total Adjust to Net Income,(55),(52),(47),(77),BMO
Income Available to Common Excl. Extra. Items,"2,878","4,704","1,318","4,406",BMO
Income Available to Common Incl. Extra. Items,"2,878","4,704","1,318","4,406",BMO
Basic/Primary Weighted Average Shares,648,658,673,676,BMO
Basic/Primary EPS Excl. Extra. Items,4.44,7.15,1.96,6.52,BMO
Basic/Primary EPS Incl. Extra. Items,4.44,7.15,1.96,6.52,BMO
Diluted Weighted Average Shares,650,660,675,678,BMO
Diluted EPS Excl. Extra. Items,4.43,7.13,1.95,6.50,BMO
Diluted EPS Incl. Extra. Items,4.43,7.13,1.95,6.50,BMO
Div/Share-ComStockPrimIssue,1.06,1.33,1.33,1.39,BMO
Gross Divid - Common Stock,862,894,938,940,BMO
Pro Forma Net Income,--,--,--,--,BMO
"Depreciat/Amort, Suppl",195,192,192,201,BMO
Total Special Items,12,37,84,193,BMO
Normalzd Income Before Tax,"3,907","6,400","1,775","6,130",BMO
Efct/SpecItemsIncTxs (STEC),3,9,16,47,BMO
IncTxsExcl ImpctofSpec Itms,965,"1,616",342,"1,501",BMO
Normalized Income After Tax,"2,942","4,784","1,433","4,629",BMO
Normalzd Inc Avail to Common,"2,887","4,732","1,386","4,552",BMO
Basic Normalized EPS,4.45,7.19,2.06,6.73,BMO
Diluted Normalized EPS,4.44,7.17,2.05,6.72,BMO
