items,2017,2018,2019,2020,2021,ticker
Cash & Equivalents,"6,006","9,077","6,480","6,795","9,684",KO
Short Term Investments,"14,669","7,038","4,695","4,119","2,941",KO
Cash and Short Term Invs,"20,675","16,115","11,175","10,914","12,625",KO
"Trade Accts Recvble, Gross","4,144","4,186","4,495","3,670","4,028",KO
Prov. for Doubtful Accts,(477),(501),(524),(526),(516),KO
"Total Receivables, Net","3,667","3,685","3,971","3,144","3,512",KO
Invent. - Finished Goods,693,773,851,791,982,KO
Invent. - Raw Materials,"1,729","2,025","2,180","2,106","2,133",KO
Inventories - Other,233,273,348,369,299,KO
Total Inventory,"2,655","3,071","3,379","3,266","3,414",KO
Prepaid Expenses,"1,902","1,946","1,829","1,916","2,994",KO
Discont. Ops.-Curr. Assets,"7,548",--,--,--,--,KO
Other Current Assets,98,113,57,--,--,KO
"Other Curr. Assets, Total","7,646",113,57,--,--,KO
Total Current Assets,"36,545","24,930","20,411","19,240","22,545",KO
Buildings,"3,917","4,322","4,576","4,782","4,349",KO
Land/Improvements,334,485,659,676,652,KO
Machinery/Equipment,"12,198","12,804","13,686","14,242","13,861",KO
Other Prop./Plant/Equip.,--,--,"1,372","1,548","1,418",KO
Prop./Plant/Equip. - Gross,"16,449","17,611","20,293","21,248","20,280",KO
Accumulated Depreciation,"(8,246)","(8,013)","(8,083)","(8,923)","(8,942)",KO
Prop./Plant/Equip. - Net,"8,203","9,598","12,210","12,325","11,338",KO
"Goodwill, Net","9,401","14,109","16,764","17,506","19,363",KO
Intangibles - Gross,"7,667","7,799","10,402","11,392","15,474",KO
Accum. Intangible Amort.,(432),(321),(400),(348),(224),KO
Intangibles - Net,"7,235","7,478","10,002","11,044","15,250",KO
LT Invt. - Affiliate Comp.,"20,856","19,412","19,025","19,273","17,598",KO
LT Investments - Other,"1,096",867,854,812,818,KO
Long Term Investments,"21,952","20,279","19,879","20,085","18,416",KO
Other Long Term Assets,"4,560","4,148","4,703","4,636","5,313",KO
Total Assets,"87,896","83,216","86,381","87,296","94,354",KO
Accounts Payable,"2,288","2,719","3,804","3,517","4,602",KO
Accrued Expenses,"6,284","6,642","7,416","6,491","8,899",KO
Notes Payable/ST Debt,"13,205","13,835","10,994","2,183","3,307",KO
Curr. Port. LT Dbt/Cap Ls.,"3,298","5,003","4,253",485,"1,338",KO
Income Taxes Payable,410,411,414,788,686,KO
Other Payables,--,--,--,"1,137","1,118",KO
Deferred Income Tax,0,--,--,--,--,KO
Discontinued Operations,"1,521",--,--,--,--,KO
Other Current Liabilities,188,172,92,--,--,KO
"Other Curr. Lblts, Total","2,119",583,506,"1,925","1,804",KO
Total Current Liabilities,"27,194","28,782","26,973","14,601","19,950",KO
Total Long Term Debt,"31,182","25,376","27,516","40,125","38,116",KO
Total Debt,"47,685","44,214","42,763","42,793","42,761",KO
Deferred Income Tax,"2,522","2,354","2,284","1,833","2,821",KO
Minority Interest,"1,905","2,077","2,117","1,985","1,861",KO
"Other Liabilities, Total","8,021","7,646","8,510","9,453","8,607",KO
Total Liabilities,"70,824","66,235","67,400","67,997","71,355",KO
Common Stock,"1,760","1,760","1,760","1,760","1,760",KO
Additional Paid-In Capital,"15,864","16,520","17,154","17,601","18,116",KO
Ret. Earn.(Accum. Deficit),"60,430","63,234","65,855","66,555","69,094",KO
Treasury Stock - Common,"(50,677)","(51,719)","(52,244)","(52,016)","(51,641)",KO
Unrealized Gain (Loss),493,50,75,28,(62),KO
Cum. Trans. Adjustment,"(8,957)","(11,045)","(11,270)","(12,028)","(12,595)",KO
Min. Pension Lblty Adj.,"(1,722)","(1,693)","(2,140)","(2,407)","(1,693)",KO
Other Comprehensive Income,(119),(126),(209),(194),20,KO
"Other Equity, Total","(10,798)","(12,864)","(13,619)","(14,629)","(14,268)",KO
Total Equity,"17,072","16,981","18,981","19,299","22,999",KO
Total Liabilities & Shareholders’ Equity,"87,896","83,216","86,381","87,296","94,354",KO
Ttl Comm. Shares Outs.,"4,259","4,268","4,280","4,302","4,325",KO
Trsy. Shrs-Comm. Primary Iss.,"2,781","2,772","2,760","2,738","2,715",KO
