items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash and Short Term Invs,"4,709","2,336","1,873","2,828",MCD
"Total Receivables, Net","1,872","1,674","1,837","1,890",MCD
Total Inventory,56,50,43,43,MCD
Prepaid Expenses,511,597,"1,167",979,MCD
Total Current Assets,"7,149","4,656","4,919","5,741",MCD
Prop./Plant/Equip. - Gross,"41,917","41,773","40,114","39,097",MCD
Accumulated Depreciation,"(17,196)","(17,338)","(16,780)","(16,399)",MCD
Prop./Plant/Equip. - Net,"38,273","37,813","36,129","34,891",MCD
"Goodwill, Net","2,783","2,814","2,722","2,651",MCD
Long Term Investments,"1,201","1,177","1,074",964,MCD
Other Long Term Assets,"4,450","4,417","4,403","4,255",MCD
Total Assets,"53,854","50,878","49,248","48,502",MCD
Accounts Payable,"1,007",719,739,795,MCD
Accrued Expenses,"2,653","2,923","2,237","2,305",MCD
Notes Payable/ST Debt,0,0,0,0,MCD
Curr. Port. LT Dbt/Cap Ls.,0,--,--,--,MCD
"Other Curr. Lblts, Total",361,594,504,386,MCD
Total Current Liabilities,"4,020","4,235","3,480","3,486",MCD
Total Long Term Debt,"35,623","33,989","34,577","34,866",MCD
Total Debt,"35,623","33,989","34,577","34,866",MCD
Deferred Income Tax,"2,076","2,049","2,250","2,145",MCD
"Other Liabilities, Total","16,737","16,597","15,311","14,570",MCD
Total Liabilities,"58,455","56,869","55,618","55,068",MCD
"Pref. Stock-Non Rdmbl, Net",0,0,0,0,MCD
Common Stock,17,17,17,17,MCD
Additional Paid-In Capital,"8,232","8,307","8,379","8,460",MCD
Ret. Earn.(Accum. Deficit),"57,535","57,614","57,785","58,752",MCD
Treasury Stock - Common,"(67,810)","(69,287)","(70,304)","(71,235)",MCD
"Other Equity, Total","(2,574)","(2,642)","(2,246)","(2,560)",MCD
Total Equity,"(4,601)","(5,991)","(6,370)","(6,566)",MCD
Total Liabilities & Shareholders’ Equity,"53,854","50,878","49,248","48,502",MCD
Ttl Comm. Shares Outs.,745,740,736,732,MCD
Trsy. Shrs-Comm. Primary Iss.,916,921,925,928,MCD
