items,2018,2019,2020,2021,2022,ticker
Total Revenue,870,950,"1,022","1,144","1,468",JACK
"Cost of Revenue, Total",270,388,403,455,683,JACK
Selling/Gen/Admin Expense,335,294,345,336,443,JACK
Labor & Related Expense,--,--,--,4,7,JACK
Advertising Expense,--,--,--,20,33,JACK
"Sell/Gen/AdminExpenses,Tot",335,294,345,359,482,JACK
Depreciation/Amortization,59,55,53,47,56,JACK
Restructuring Charge,11,8,1,0,20,JACK
Impair-Assets Held for Use,0,0,--,--,6,JACK
Other Unusual Expnse (In),(41),7,38,(2),2,JACK
Unusual Expense (Income),(29),9,29,(9),(3),JACK
Loss(Gain)/Sale Asts (Oper),2,(6),(10),(7),(31),JACK
"Other, Net",1,2,0,2,1,JACK
"Other Operat Expse, Total",1,2,0,2,1,JACK
Total Operating Expense,636,748,830,854,"1,220",JACK
Total Operating Income,233,202,191,290,248,JACK
"Inter Expse,Net Non-Operat",(47),(86),(67),(68),(87),JACK
"Inter/Invest Inc, Non-Oper",1,1,1,0,0,JACK
OtherNon-OperatInc (Expnse),(2),(1),(3),(1),0,JACK
"Other, Net",(2),(1),(3),(1),0,JACK
Income Before Tax,186,116,122,222,162,JACK
Income Tax - Total,49,24,33,56,46,JACK
Income After Tax,137,92,89,166,116,JACK
Net Inc Before Extra Items,137,92,89,166,116,JACK
Discontinued Operations,17,3,0,0,--,JACK
Extraordinary Item,(33),0,0,--,--,JACK
Total Extraordinary Items,(15),3,0,0,--,JACK
Total Net Income,121,94,90,166,116,JACK
Income Available to Common Excl. Extra. Items,137,92,89,166,116,JACK
Income Available to Common Incl. Extra. Items,121,94,90,166,116,JACK
Basic/Primary Weighted Average Shares,28,26,23,22,21,JACK
Basic/Primary EPS Excl. Extra. Items,4.80,3.55,3.87,7.40,5.46,JACK
Basic/Primary EPS Incl. Extra. Items,4.26,3.66,3.88,7.40,5.46,JACK
Diluted Weighted Average Shares,29,26,23,22,21,JACK
Diluted EPS Excl. Extra. Items,4.75,3.52,3.84,7.37,5.45,JACK
Diluted EPS Incl. Extra. Items,4.21,3.62,3.86,7.37,5.45,JACK
Div/Share-ComStockPrimIssue,1.60,1.60,1.20,1.68,1.76,JACK
Gross Divid - Common Stock,46,41,28,38,37,JACK
Pro Forma Net Income,--,--,--,--,--,JACK
"Interest Expense, Suppl",47,86,67,68,87,JACK
"Depreciat/Amort, Suppl",59,55,53,47,56,JACK
Total Special Items,(29),9,29,(9),(3),JACK
Normalzd Income Before Tax,157,125,151,212,159,JACK
Efct/SpecItemsIncTxs (STEC),(8),2,8,(2),(1),JACK
IncTxsExcl ImpctofSpec Itms,42,26,41,54,45,JACK
Normalized Income After Tax,116,99,111,159,114,JACK
Normalzd Inc Avail to Common,116,99,111,159,114,JACK
Basic Normalized EPS,4.06,3.84,4.79,7.09,5.36,JACK
Diluted Normalized EPS,4.01,3.81,4.76,7.07,5.35,JACK
