items,2017,2018,2019,2020,2021,ticker
Cash & Equivalents,22,25,37,147,302,SHAK
Short Term Investments,63,62,37,37,80,SHAK
Cash and Short Term Invs,85,87,74,184,382,SHAK
"Total Receivables, Net",6,11,10,9,14,SHAK
Total Inventory,1,2,2,3,4,SHAK
Prepaid Expenses,2,2,2,7,10,SHAK
Total Current Assets,93,101,88,203,410,SHAK
Buildings,167,228,302,343,414,SHAK
Machinery/Equipment,44,60,79,91,114,SHAK
Construction in Progress,16,29,30,40,47,SHAK
Other Prop./Plant/Equip.,18,30,300,336,385,SHAK
Prop./Plant/Equip. - Gross,245,347,711,809,959,SHAK
Accumulated Depreciation,(58),(85),(122),(166),(223),SHAK
Prop./Plant/Equip. - Net,187,262,589,643,737,SHAK
Other Long Term Assets,4,5,11,12,13,SHAK
Total Assets,471,611,968,"1,145","1,458",SHAK
Accounts Payable,8,12,14,23,20,SHAK
Accrued Expenses,20,37,70,76,92,SHAK
Notes Payable/ST Debt,0,0,0,0,0,SHAK
Curr. Port. LT Dbt/Cap Ls.,--,--,2,2,3,SHAK
"Other Curr. Lblts, Total",6,11,14,8,7,SHAK
Total Current Liabilities,34,60,99,110,121,SHAK
Long Term Debt,--,--,--,--,244,SHAK
Capital Lease Obligations,15,21,4,4,4,SHAK
Total Long Term Debt,15,21,4,4,248,SHAK
Total Debt,15,21,6,6,251,SHAK
Minority Interest,55,47,23,27,26,SHAK
"Other Liabilities, Total",198,256,543,598,653,SHAK
Total Liabilities,301,384,669,738,"1,048",SHAK
Common Stock,0,0,0,0,0,SHAK
Additional Paid-In Capital,153,196,244,395,406,SHAK
Ret. Earn.(Accum. Deficit),16,30,54,12,4,SHAK
"Other Equity, Total",0,0,0,0,0,SHAK
Total Equity,169,226,299,407,410,SHAK
Total Liabilities & Shareholders’ Equity,471,611,968,"1,145","1,458",SHAK
Shr Outs.-Com. Primary Iss.,27,30,34,39,39,SHAK
Shr Outs.-Com. Stk. Iss. 2,10,8,3,3,3,SHAK
Ttl Comm. Shares Outs.,37,37,38,42,42,SHAK
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,0,SHAK
Trsy. Shrs-Comm. Iss. 2,0,0,0,0,0,SHAK
