items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash & Equivalents,302,279,278,257,SHAK
Short Term Investments,80,80,80,80,SHAK
Cash and Short Term Invs,382,359,358,337,SHAK
"Total Receivables, Net",14,12,12,12,SHAK
Total Inventory,4,4,4,4,SHAK
Prepaid Expenses,10,12,14,14,SHAK
Total Current Assets,410,387,388,367,SHAK
Prop./Plant/Equip. - Gross,959,636,665,714,SHAK
Accumulated Depreciation,(223),(237),(254),(272),SHAK
Prop./Plant/Equip. - Net,737,745,773,812,SHAK
Other Long Term Assets,13,14,15,15,SHAK
Total Assets,"1,458","1,450","1,480","1,502",SHAK
Accounts Payable,20,13,16,17,SHAK
Accrued Expenses,92,97,102,113,SHAK
Notes Payable/ST Debt,0,0,0,0,SHAK
Curr. Port. LT Dbt/Cap Ls.,3,3,3,3,SHAK
"Other Curr. Lblts, Total",7,13,13,12,SHAK
Total Current Liabilities,121,126,134,145,SHAK
Long Term Debt,244,244,244,244,SHAK
Capital Lease Obligations,4,4,4,4,SHAK
Total Long Term Debt,248,248,248,248,SHAK
Total Debt,251,251,251,250,SHAK
Minority Interest,26,25,25,25,SHAK
"Other Liabilities, Total",653,650,671,681,SHAK
Total Liabilities,"1,048","1,049","1,077","1,098",SHAK
Common Stock,0,0,0,0,SHAK
Additional Paid-In Capital,406,407,411,413,SHAK
Ret. Earn.(Accum. Deficit),4,(7),(8),(10),SHAK
"Other Equity, Total",0,0,0,0,SHAK
Total Equity,410,400,403,403,SHAK
Total Liabilities & Shareholders’ Equity,"1,458","1,450","1,480","1,502",SHAK
Shr Outs.-Com. Primary Iss.,39,39,39,39,SHAK
Shr Outs.-Com. Stk. Iss. 2,3,3,3,3,SHAK
Ttl Comm. Shares Outs.,42,42,42,42,SHAK
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,SHAK
Trsy. Shrs-Comm. Iss. 2,0,0,0,0,SHAK
