items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash and Short Term Invs,"1,972","1,672","1,439","1,785",DD
"Trade Accts Recvble, Gross","2,187","2,361","2,304","2,295",DD
Prov. for Doubtful Accts,(28),(34),(37),(38),DD
"Total Receivables, Net","2,159","2,327","2,267","2,257",DD
Invent. - Finished Goods,"1,201","1,290","1,312","1,334",DD
Invent. - Work In Progress,446,475,526,519,DD
Invent. - Raw Materials,323,360,405,392,DD
Inventories - Other,116,113,113,114,DD
Total Inventory,"2,086","2,238","2,356","2,359",DD
Prepaid Expenses,165,180,179,208,DD
Restricted Cash - Current,12,9,8,8,DD
Discont. Ops.-Curr. Assets,"7,909","8,017","7,757","7,733",DD
"Other Curr. Assets, Total","7,921","8,026","7,765","7,741",DD
Total Current Assets,"14,303","14,443","14,006","14,350",DD
Buildings,"1,954","1,950","1,931","1,904",DD
Land/Improvements,440,429,412,394,DD
Machinery/Equipment,"6,467","6,538","6,530","6,462",DD
Construction in Progress,"1,034",966,944,944,DD
Other Prop./Plant/Equip.,422,419,430,386,DD
Prop./Plant/Equip. - Gross,"10,317","10,302","10,247","10,090",DD
Accumulated Depreciation,"(4,142)","(4,215)","(4,253)","(4,227)",DD
Prop./Plant/Equip. - Net,"6,175","6,087","5,994","5,863",DD
"Goodwill, Net","16,981","16,878","16,610","16,302",DD
Intangibles - Gross,"10,222","10,139","9,983","9,770",DD
Accum. Intangible Amort.,"(4,000)","(4,099)","(4,178)","(4,220)",DD
Intangibles - Net,"6,222","6,040","5,805","5,550",DD
LT Invt. - Affiliate Comp.,817,719,731,733,DD
LT Investments - Other,102,102,105,46,DD
Long Term Investments,919,821,836,779,DD
Deferred Charges,938,944,999,"1,030",DD
Def. Inc. Tax - LT Asset,116,127,137,122,DD
Restricted Cash - LT,53,53,53,103,DD
Total Assets,"45,707","45,393","44,440","44,099",DD
Accounts Payable,"2,102","2,176","2,135","2,061",DD
Accrued Expenses,"1,015",944,981,974,DD
Notes Payable/ST Debt,150,404,0,0,DD
Curr. Port. LT Dbt/Cap Ls.,0,1,661,"1,287",DD
Customer Advances,25,34,23,16,DD
Income Taxes Payable,201,197,352,284,DD
Discontinued Operations,"1,438","1,366","1,342","1,392",DD
"Other Curr. Lblts, Total","1,664","1,597","1,717","1,692",DD
Total Current Liabilities,"4,931","5,122","5,494","6,014",DD
Long Term Debt,"10,630","10,632","10,623","10,562",DD
Capital Lease Obligations,2,2,2,2,DD
Total Long Term Debt,"10,632","10,634","10,625","10,564",DD
Total Debt,"10,782","11,039","11,286","11,851",DD
Deferred Income Tax,"1,459","1,276",590,464,DD
Minority Interest,617,615,609,594,DD
Pension Benefits - Underfunded,762,733,694,625,DD
Other LT Liabilities,873,837,900,929,DD
"Other Liabilities, Total","1,635","1,570","1,594","1,554",DD
Total Liabilities,"19,274","19,217","18,912","19,190",DD
Common Stock,5,5,5,5,DD
Additional Paid-In Capital,"49,574","49,487","49,176","49,199",DD
Ret. Earn.(Accum. Deficit),"(23,187)","(23,096)","(22,808)","(22,692)",DD
Cum. Trans. Adjustment,(88),(353),"(1,033)","(1,862)",DD
Min. Pension Lblty Adj.,73,66,65,94,DD
Other Comprehensive Income,56,67,123,165,DD
"Other Equity, Total",41,(220),(845),"(1,603)",DD
Total Equity,"26,433","26,176","25,528","24,909",DD
Total Liabilities & Shareholders’ Equity,"45,707","45,393","44,440","44,099",DD
Ttl Comm. Shares Outs.,512,509,501,497,DD
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,DD
